M/W,Class,BWT,Name / BY,,,SQUAT,,SQ,BENCH PRESS,,,BP,Sub.,,DEADLIFT,,DL,Total,Wilks pts,
M,93,90.2,Vic Yellen/ M3,YNE,187.5,200,,200,100,105,110,110,310,185,195,200,200,510,325.58,4
M,93,91.8,Mark Macey/ M2,SE,175,175,185,185,110,120,125,120,305,200,215,215,200,505,318.89,5
M,93,91.7,Richard Scott/ M2,NM,145,155,160,160,90,100,100,100,260,160,172.5,185,172.5,432.5,272.79,6
M,93,90.5,Simon Lee/ M1,SE,200,200,200, ----- ,125,,, ----- ,Disq,,,, ----- ,Disq,,
M,105,102.9,Darren Wood/ M1,SW,240,252.5,260,252.5,150,160,160,150,402.5,260,270,,270,672.5,404.35,1
M,105,94,John Chocholski/ M2,YNE,180,190,195,195,120,130,130,130,325,225,235,250,235,560,350.03,2
M,105,104.3,Kieran Barry/ M1,GL,195,202.5,207.5,207.5,120,122.5,125,125,332.5,207.5,217.5,222.5,222.5,555,332.77,3
M,105,100.2,David Battisson/ M3,EM,150,160,160,150,115,120,125,125,275,185,200,205,200,475,289.08,4
,,,Mens Masters 120 and 120Kg+,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M,120,117.3,Colin Wright/ M1,NI,252.5,272.5,285,285,160,170,180,170,455,290,305,312.5,312.5,767.5,444.25,1
M,120,110.8,Simon Norcup/ M1,NM,255,270,275,275,170,185,190,190,465,285,297.5,302.5,297.5,762.5,447.21,2
M,120,114,Russ Kirby/ M1,SE,245,260,275,275,175,185,192.5,192.5,467.5,260,275,282.5,282.5,750,436.82,3
M,120,110.9,Andy Rodney/M1,EM,210,230,240,240,135,155,162.5,162.5,402.5,250,272.5,306,272.5,675,396.15,4
M,120+,131,Roy Jakins/ M1,YNE,220,230,240,230,160,165,171,165,395,225,235,240,240,635,358.66,1
M,120+,149.5,Rhoori Latham/ M1,YNE,210,220,220,210,155,160,162.5,160,370,230,240,245,240,610,337.51,2
M,120+,123.8,Chris Woodhead/ M1,YNE,230,245,252.5,252.5,110,120,120,110,362.5,220,237.5,247.5,237.5,600,342.47,3
M/W,Class,BWT,Name / BY,,,SQUAT,SQ,,BENCH PRESS,,,BP,Sub.,,DEADLIFT,,DL,Total,Wilks pts,
,,,,,1,2,3,result,1,2,3,result,Tot.,1,2,3,result,,,
,,,,,,,,,,,,,,,,,,,,
,,,Junior Men Up to 74Kg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M,66,65.2,Ross Lawton/U20,YNE,150,160,160,160,80,85,90,85,245,175,190,195,190,435,345.03,1
M,66,65.6,James McIlWaine/ U18,NI,140,142.5,142.5,140,85,90,90,85,225,155,155,160,160,385,303.82,2
M,66,63.4,Sam Pile/ U18,SE,120,130,135,135,65,72.5,77.5,77.5,212.5,140,150,160,160,372.5,302.54,3
M,66,64.8,Ben Murrell/ U18,NM,100,110,115,110,65,70,72.5,70,180,175,185,195.5,185,365,291,5
M,66,62.8,Jake Riddel/ U18,NM,85,90,95,90,55,60,60,55,145,130,140,145,140,285,233.39,6
M,66,65,Benjamin Cattermole/ U18,EM,152.5,152.5,152.5, ----- ,92.5,,,0,Disq,,,, ----- ,Disq,,
M,74,69.9,Andrew Dixon/ U20,SE,140,155,160,160,85,95,95,85,245,200,210,226,226,471,353.35,1
M,74,72.7,Dominic Manifold/ U20,SM,150,160,167.5,160,95,102.5,110,102.5,262.5,190,200,205,205,467.5,340.59,2
M,74,72.4,Jack Kay/ U18,SM,150,150,157.5,157.5,90,92.5,92.5,90,247.5,200,212.5,215,212.5,460,336.14,3
M,74,72.8,Andrew Houldershaw/ U20,NM,115,122.5,130,122.5,77.5,80,85,85,207.5,170,180,185,185,392.5,285.66,4
M,66,63,Philip Marshall,YNE,117.5,122.5,125,117.5,90,95,98,95,212.5,147.5,157.5,160,157.5,370,302.16,4
M,66,66,Travis Short/ U18,NM,65,70,75,75,52.5,57.5,60,57.5,132.5,110,125,135,135,267.5,210.04,7
,,,Junior Men 83 & 93Kg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M,83,76.1,Alistair Cannings/ J,SW,195,207.5,215,215,120,130,135,130,345,210,225,232.5,232.5,577.5,407.4,1
M,83,79,Robert Richardson/ J,YNE,175,175,180,180,115,120,125,120,300,200,230,253.5,230,530,364.74,2
M,83,82.5,Owen Lilly/ J,EM,170,180,190,180,107.5,115,115,107.5,287.5,220,220,227.5,220,507.5,339.98,3
M,83,82.5,Tom Rowell/ J,EM,155,165,170,170,85,92.5,100,100,270,205,220,230,230,500,334.95,4
M,83,80.7,Jordan Major/ U18,NM,90,95,100,100,65,70,72.5,72.5,172.5,130,152.5,170,152.5,325,220.67,5
M,93,90.4,Mat Gibson/ J,SW,220,245,250,245,150,150,167.5,150,395,240,255,255,240,635,404.47,1
M,93,92.3,Alexander Carvell/ U20,YNE,160,175,175,175,125,133.5,140,133.5,308.5,220,235,240,235,543.5,342.66,2
M,93,92.2,Daniel Burns/ U20,YNE,180,190,190,190,115,125,125,115,305,220,220,232.5,220,525,331.17,3
,,,Junior Men 105Kg and Above,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M,105,105,Daniel Fletcher/ U18,SE,150,160,165,160,100,107.5,107.5,107.5,267.5,180,192.5,200,192.5,460,274.87,2
M,105,104.1,David Mills/ J,YNE,245,245,245, ----- ,100,,, ----- ,Disq,,,, ----- ,Disq,,
M,120,108.1,Daniel Skinner/ U20,WM,210,230,230,210,150,161,170,161,371,255,276,276,255,626,370.42,1
M,120,111.4,David Cridland/ U18,SE,150,160,170,160,105,112.5,115,112.5,272.5,170,182,,182,454.5,266.46,2
M,120+,128.1,Shaun Kelly/ U20,YNE,220,230,235,230,137.5,142.5,147.5,142.5,372.5,255,262.5,267.5,262.5,635,360.12,1
M,120+,121.3,Jonathan Cathcart/ J,NI,167.5,180,190,180,137.5,150,155,150,330,210,230,245,230,560,321.17,2
M,105,95.3,Paul Bennett/U20,YNE,210,210,210,210,125,132.5,135,132.5,342.5,240,255.5,258,240,582.5,361.82,1
M/W,Class,BWT,Name / BY,,,SQUAT,,SQ,BENCH PRESS,,,BP,Sub.,,DEADLIFT,,DL,Total,Wilks pts,
,,,,,1,2,3,result,1,2,3,result,Tot.,1,2,3,result,,,
,,,,,,,,,,,,,,,,,,,,
,,,Senior Men Up to 83Kg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M,66,62.7,Paul Bartlett,YNE,160,167.5,167.5,167.5,97.5,102.5,105,102.5,270,180,192.5,197.5,192.5,462.5,379.27,1
M,66,63,Aaron Gidion,GL,135,142.5,147.5,142.5,132.5,137.5,140.5,137.5,280,170,180,187.5,180,460,375.66,2
M,66,65.6,James Withington,YNE,145,150,150,145,102.5,107.5,110,107.5,252.5,190,200,205,200,452.5,357.09,3
M,74,73.2,Paul Cooper,YNE,180,187.5,192.5,187.5,150,157.5,160.5,157.5,345,260,270,,270,615,445.83,1
M,74,72.1,Scott Bradwell,YNE,160,170,172.2,170,137.5,137.5,140,140,310,195,205,210,210,520,381.14,2
M,74,73.8,Wayne Smith,NM,155,160,165,160,120,122.5,125,125,285,175,192.5,200,192.5,477.5,344.13,3
M,83,81.1,Vince Mwayi,EM,225,240,251,240,160,170,176,170,410,270,290,300,290,700,473.84,1
M,83,82,Ben Croft,YNE,200,207.5,210,207.5,130,132.5,135,132.5,340,240,260,267.5,267.5,607.5,408.46,2
M,83,81.7,Paul McCaffrey,YNE,220,230,240,230,132.5,140,145,140,370,220,235,245,235,605,407.69,3
M,83,81.4,Chris Lineham,SW,180,190,195,190,145,152.5,152.5,145,335,220,230,240,240,575,388.34,4
M,83,78.7,Martin Smith,SW,170,182.5,190,182.5,135,140,145,145,327.5,220,232.5,242.5,232.5,560,386.33,5
M,83,81.5,Jamie Capewell ,NM,180,190,200,190,120,130,130,120,310,220,240,250,240,550,371.18,6
M,83,81.3,Leo Double,GL,165,170,175,175,115,117.5,120,117.5,292.5,215,220,225,220,512.5,346.39,7
,,,Senior Men 93 & 105Kg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M,93,92.5,Stephen Manuel,NW,230,240,250,250,165,175,180.5,175,425,285,300,312.5,300,725,456.61,1
M,93,89.2,Pierre Shillingford,GL,205,215,225,215,150,160,165,165,380,250,265,275,275,655,420.07,2
M,93,91.9,Ian Kendrick,EM,220,230,240,240,140,150,150,140,380,245,255,265,255,635,401.19,3
M,93,90.1,Ian Shaw,NW,212.5,220,230,220,120,125,127.5,127.5,347.5,275,285,290,285,632.5,403.56,4
M,93,92.6,Richard Cross,YNE,215,215,220,215,135,142.5,142.5,135,350,260,280,280,260,610,383.98,5
M,93,92.2,Mustafa Munir,YNE,170,185,190,185,117.5,125,130,125,310,250,275,275,275,560,353.24,6
M,93,91.8,Steven Cook,SW,180,192.5,195,195,110,122.5,125,122.5,317.5,200,222.5,225,225,542.5,342.93,7
M,93,91.9,Ivan Otim ,GL,160,170,175,175,110,115,117.5,117.5,292.5,230,250,255,250,542.5,342.75,8
M,105,102.9,Robert Rees,GL,220,235,235,235,155,165,,165,400,280,310,320,310,710,427.37,1
M,105,102.7,Darrell Brown,NM,215,220,230,220,125,130,135,135,355,230,245,255,255,610,367.44,2
M,105,101.1,Gary Croft,NM,160,180,185,185,160,160,165,160,345,200,235,255,255,600,363.58,3
M,105,103.6,Ryan Faldo,GL,205,215,220,220,135,140,140,140,360,220,232.5,237.5,237.5,597.5,358.76,4
,,,Senior Men 120 & 120+ Kg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M,120,119.2,Tony Cliffe,EM,270,290,300,300,185,195,202.5,202.5,502.5,300,320,,320,822.5,473.62,1
M,120,117.3,Dan Chesham,WM,240,255,262.5,262.5,160,170,172.5,170,432.5,290,305,312.5,305,737.5,426.34,2
M,120,114.3,Rhys John,W,255,262.5,267.5,262.5,180,187.5,187.5,180,442.5,285,292.5,295,285,727.5,423.41,3
M,120,116.2,Luke Conboy,YNE,260,270,275,270,170,177.5,180.5,177.5,447.5,260,270,272.5,272.5,720,417.22,4
M,120,114.9,Matthew Brownhill,NM,220,240,240,220,160,170,170,160,380,240,260,280,260,640,371.96,5
M,120,111.3,Andy Hutchings,EM,200,215,222.5,222.5,145,150,150,145,367.5,240,255,255,255,622.5,365.04,6
M,120,117.7,Jon Askey,WM,220,230,230,220,127.5,137.5,137.5,137.5,357.5,230,255,255,255,612.5,353.78,7
M,120,116.8,Aaron Thompson,NM,240,250,250,240,150,160,,150,390,,,, ----- ,Disq,,
M,120+,154.4,Michael Jones,W,275,300,310,310,205,205,220,205,515,300,315,325,325,840,462.87,1
M,120+,142.9,Matthew Pearce,W,285,285,295,295,195,202,207.5,202,497,265,280,285,280,777,432.88,2
