Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
5,Aleksandr Chernyshov,Александр Чернышов,1966,66,210,160,195,,565,M,SBD,Single-ply,Open,67.5
6,Oleg Morenets,Олег Моренец,1967,67.5,200,135,210,,545,M,SBD,Single-ply,Open,67.5
7,Vladimir Ardelyan,Владимир Арделян,1968,67.5,190,130,215,,535,M,SBD,Single-ply,Open,67.5
8,Oleg Ocheretnyuk,Олег Очеретнюк,1972,65.3,205,132.5,185,,522.5,M,SBD,Single-ply,Open,67.5
9,Andrey Krikun,Андрей Крикун,1974,66,190,125,200,,515,M,SBD,Single-ply,Open,67.5
10,Sergey Odarich,Сергей Одарич,1970,66.5,185,110,205,,500,M,SBD,Single-ply,Open,67.5
1,Sirazhutdin Bazaev,Сиражутдин Базаев,1968,74.3,280.5,170,285,,735,M,SBD,Single-ply,Open,75
2,Vasiliy Kurtyak,Василий Куртяк,1961,74.2,262.5,167.5,280,,710,M,SBD,Single-ply,Open,75
3,Vitaliy Krivtsov,Виталий Кривцов,1951,74,270,160,260,,690,M,SBD,Single-ply,Open,75
4,Dmitriy Solovev,Дмитрий Соловьев,1970,73.1,260,182.5,245,,687.5,M,SBD,Single-ply,Open,75
5,Yuriy Pigarev,Юрий Пигарев,1962,74.15,235,160,230,,625,M,SBD,Single-ply,Open,75
6,Dmitriy Romenskiy,Дмитрий Роменский,1971,74.5,220,145,235,,600,M,SBD,Single-ply,Open,75
DQ,Aleksey Dmitriev,Алексей Дмитриев,1974,75,210,145,,,,M,SBD,Single-ply,Open,75
1,Sergey Romanenko,Сергей Романенко,1972,81.6,310,160,290,295.5,760,M,SBD,Single-ply,Open,82.5
2,Aleksandr Slatenkov,Александр Слатенков,1966,82.5,270,175,292.5,,737.5,M,SBD,Single-ply,Open,82.5
3,Vladimir Makhnyuk,Владимир Махнюк,1958,82.5,275,207.5,255,,737.5,M,SBD,Single-ply,Open,82.5
4,Dmitriy Chikin,Дмитрий Чикин,1966,82,280,155,280,,715,M,SBD,Single-ply,Open,82.5
5,Sergey Karyy,Сергей Карый,1973,81.6,275,160,260,,695,M,SBD,Single-ply,Open,82.5
6,Aleksandr Pashkevich,Александр Пашкевич,1970,82.4,230,132.5,262.5,,625,M,SBD,Single-ply,Open,82.5
7,Vladimir Vodolazhchenko,Владимир Водолажченко,1970,82.5,230,140,235,,605,M,SBD,Single-ply,Open,82.5
8,Aleksandr Tsilinchenko,Александр Цилинченко,1973,82,235,137.5,230,,602.5,M,SBD,Single-ply,Open,82.5
9,Dmitriy Provotorov,Дмитрий Провоторов,1963,82.45,210,147.5,200,,557.5,M,SBD,Single-ply,Open,82.5
10,Andrey Boyko,Андрей Бойко,1964,82.5,190,135,210,,535,M,SBD,Single-ply,Open,82.5
DQ,Nikolay Komarov,Николай Комаров,1962,81.3,,,,,,M,SBD,Single-ply,Open,82.5
1,Vladimir Ukhach,Владимир Ухач,1960,90,320,232.5,315,,867.5,M,SBD,Single-ply,Open,90
2,Viktor Ganchur,Виктор Ганчур,1958,89.6,320,195,290,,805,M,SBD,Single-ply,Open,90
3,Nikolay Kurakin,Николай Куракин,1967,89.45,270,190,315,,775,M,SBD,Single-ply,Open,90
4,Yuriy Kostenko,Юрий Костенко,1971,89.6,262.5,180,295,,737.5,M,SBD,Single-ply,Open,90
5,Denis Cherednik,Денис Чередник,1975,89.1,265,167.5,275,,707.5,M,SBD,Single-ply,Open,90
6,Sergey Subbota,Сергей Суббота,1962,89.7,280,160,260,,700,M,SBD,Single-ply,Open,90
7,Vasiliy Strelbitskiy,Василий Стрельбицкий,1962,89.9,270,170,260,,700,M,SBD,Single-ply,Open,90
8,Nikolay Natyazhko,Николай Натяжко,1962,88.8,265,155,270,,690,M,SBD,Single-ply,Open,90
9,Vitaliy Lyalyuk,Виталий Лялюк,1971,89.95,260,160,265,,685,M,SBD,Single-ply,Open,90
10,Dmitriy Solodkiy,Дмитрий Солодкий,1971,87.5,230,195,245,,660,M,SBD,Single-ply,Open,90
11,Igor Grabovskiy,Игорь Грабовский,1968,88.2,230,157.5,215,,602.5,M,SBD,Single-ply,Open,90
12,Sergey Levsha,Сергей Левша,1959,90,200,150,242.5,,592.5,M,SBD,Single-ply,Open,90
13,Igor Shendrik,Игорь Шендрик,1976,87,200,140,220,,560,M,SBD,Single-ply,Open,90
1,Mikhail Starov,Михаил Старов,1973,98,330,190,315,,835,M,SBD,Single-ply,Open,100
2,Aleksey Solovev,Алексей Соловьев,1975,97.5,310,222.5,287.5,,820,M,SBD,Single-ply,Open,100
3,Albert Voytsekhovskiy,Альберт Войцеховский,1970,100,315,175,325,,815,M,SBD,Single-ply,Open,100
4,Igor Ulyatovskiy,Игорь Улятовский,1969,99.4,290,202.5,280,,772.5,M,SBD,Single-ply,Open,100
5,Oleg Korolev,Олег Королев,1971,93,270,180,270,,720,M,SBD,Single-ply,Open,100
6,Vladimir Lebedev,Владимир Лебедев,1950,99.5,270,170,280,,720,M,SBD,Single-ply,Open,100
7,Viktor Dubovoy,Виктор Дубовой,1971,97.5,250,157.5,242.5,,650,M,SBD,Single-ply,Open,100
8,Viktor Medvedkov,Виктор Медведков,1973,98,230,135,240,,600,M,SBD,Single-ply,Open,100
DQ,Valeriy Voytsekhovskiy,Валерий Войцеховский,1972,98.4,320,175,,,,M,SBD,Single-ply,Open,100
DQ,Leonid Akinin,Леонид Акинин,1966,97,,,,,,M,SBD,Single-ply,Open,100
1,Valeriy Melnik,Валерий Мельник,1958,108,320,215,307.5,,842.5,M,SBD,Single-ply,Open,110
2,Igor Antipenko,Игорь Антипенко,1968,108,325,180,315,,820,M,SBD,Single-ply,Open,110
3,Aleksey Pletenenko,Алексей Плетененко,1961,103.9,295,182.5,312.5,,790,M,SBD,Single-ply,Open,110
4,Vladimir Kovalev,Владимир Ковалев,1975,101.85,280,180,280,,740,M,SBD,Single-ply,Open,110
5,Vladimir Barabash,Владимир Барабаш,1971,105.7,285,160,285,,730,M,SBD,Single-ply,Open,110
6,Sergey Klyuenko,Сергей Клюенко,1969,106.8,270,150,300,,720,M,SBD,Single-ply,Open,110
7,Nikolay Khitsenko,Николай Хиценко,1961,109,282.5,182.5,255,,720,M,SBD,Single-ply,Open,110
8,Aleksandr Kanygin,Александр Каныгин,1974,105,240,160,265,,665,M,SBD,Single-ply,Open,110
9,Florin Ivanov,Флорин Иванов,1975,109.6,245,155,240,,640,M,SBD,Single-ply,Open,110
10,Mikhail Isaev,Михаил Исаев,1969,103.5,200,170,230,,610,M,SBD,Single-ply,Open,110
DQ,Anatoliy Grishchenkov,Анатолий Грищенков,1960,108.2,290,212.5,,,,M,SBD,Single-ply,Open,110
1,Viktor Pirogov,Виктор Пирогов,1956,111,330,175,280,,785,M,SBD,Single-ply,Open,125
2,Sergey Pervak,Сергей Первак,1958,123,290,220,275,,785,M,SBD,Single-ply,Open,125
3,Anatoliy Mishkovskiy,Анатолий Мишковский,1962,116,290,210,270,,770,M,SBD,Single-ply,Open,125
4,Sergey Grishin,Сергей Гришин,1967,118,270,195,280,,745,M,SBD,Single-ply,Open,125
1,Yuriy Spinov,Юрий Спинов,1962,142.3,425,205,370,,1000,M,SBD,Single-ply,Open,125+
2,Vasiliy Orobets,Василий Оробец,1966,143.7,340,210,320,,870,M,SBD,Single-ply,Open,125+
