Place,,,,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
-,Тараторкин Дмитрий,,,1996,72,,,,,120,120,125,-130,125,,,,-,
-,Бологов Михаил,,,1986,72.95,,,,,145,145,152.5,-157.5,152.5,,,,-,
-,Канзюба Сергей,,,1984,74,,,,,-130,-130,-137.5,-140,-,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Степанов Юрий,,,1990,81.5,215,230,240,240,155,155,165,170,170,250,265,-272.5,265,675
2,Мироненко Владимир,,,1982,82.1,230,245,255,255,160,160,-167.5,-170,160,240,255,-272.5,255,670
3,Горелик Иван,,,1988,82.75,215,230,-242.5,230,165,165,170,175,175,200,220,230,230,635
4,Погорелов Роман,,,1986,82.55,210,230,-240,230,140,140,150,-152.5,150,220,240,245,245,625
5,Миноченко Дмитрий,,,1985,81.65,220,-230,-240,220,-150,-150,150,-157.5,150,220,240,-265,240,610
6,Дикалов Игорь,,,1996,79.2,170,185,-190,185,120,120,130,132.5,132.5,170,190,-200,190,507.5
7,Мамаев Александр,,,1982,82.15,130,145,-152.5,145,120,120,130,-135,130,190,205,215,215,490
8,Дудченко Никита,,,1996,80.8,145,160,-167.5,160,115,115,125,132.5,132.5,160,170,180,180,472.5
9,Мориц Александр,,,1989,83,-165,-165,165,165,100,100,110,-120,110,-190,190,-200,190,465
10,Ириков Георгий,,,1994,82.6,150,160,165,165,-105,-105,112.5,-117.5,112.5,160,175,185,185,462.5
11,Карасёв Иван,,,1992,75.1,-150,150,155,155,115,115,-120,-120,115,190,-200,,190,460
12,Пермяков Андрей,,,1993,80.6,150,-160,-160,150,105,105,115,-125,115,160,170,-185,170,435
13,Макушев Игорь,,,1997,81.65,130,140,145,145,110,110,120,-125,120,140,160,170,170,435
14,Бортников Андрей,,,1995,78.2,110,120,140,140,100,100,110,120,120,120,140,155,155,415
15,Дубина Степан,,,1993,81.55,130,-140,-140,130,90,90,100,-102.5,100,170,-185,-185,170,400
16,Аубакиров Ерлан,,,1992,81.6,130,135,-140,135,-105,-105,110,-115,110,130,140,150,150,395
17,Волков Петр,,,2000,78.45,100,120,130,130,-65,-65,-70,70,70,120,130,,130,330
-,Власов Юрий,,,1987,78.55,,,,,135,135,-140,-140,135,,,,-,
