26/06/2018,WPC POWER CLASSIC-Kg Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg), Squat  1, Squat  2, Squat  3, Squat  4,,Bench 1,Bench 2,Bench 3,Bench 4,,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,PL Total,Coeff Score,Age  & Coeff,Pl-Div-WtCl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPARS Arnaud FRA,28,M_O_CR_WPC,75,75,205,220,230,,,120,127.5,-132.5,,,220,237.5,-245,,595,409.68725,0,2-M_O_CR_WPC-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BABIN Jérémy FRA,28,M_O_CR_WPC,82.4,82.5,240,252.5,257.5,,,147.5,155,-157.5,,,255,265,272.5,,685,441.8935,0,"1-M_O_CR_WPC-82,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TODD David GB,35,M_O_CR_WPC,82.2,82.5,230,240,-250,,,150,155,-162.5,,,260,272.5,285,,680,439.382,0,"2-M_O_CR_WPC-82,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLUSKA Vincent FRA,30,M_O_CR_WPC,81.8,82.5,210,220,227.5,,,120,140,152.5,,,240,247.5,252.5,,632.5,409.9865,0,"3-M_O_CR_WPC-82,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacDONALD Luke GB,38,M_O_CR_WPC,81.6,82.5,-240,-240,-240,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHERNOV Kostiantyn UKR,33,M_O_CR_WPC,89.2,90,260,-285,285,,,160,172.5,180,,,240,260,270,,735,451.9515,0,1-M_O_CR_WPC-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOCZYDLOWSKI Jacek GB,36,M_O_CR_WPC,89.7,90,225,235,245,,,155,165,-170,,,237.5,252.5,-262.5,,662.5,406.1125,0,2-M_O_CR_WPC-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALJUKIVI Keit EST,24,M_O_CR_WPC,87,90,230,240,-245,,,140,-145,145,,,225,-232.5,-232.5,,610,380.5485,0,3-M_O_CR_WPC-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORAIS Joaquim POR,60,M_M5_CR_WPC,107.9,110,180,200.5,205,,,145,155,160.5,,,200,215,217.5,,583,330.2112,442.483008,1-M_M5_CR_WPC-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADUREIRA Pedro POR,48,M_M2_CR_WPC,110.1,125,225,245,-255,,,150,157.5,-165,,,260,277.5,280,,682.5,383.803875,421.0328509,1-M_M2_CR_WPC-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
