Name,WeightClassKg,Sex,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
W. Johnson,82.5,M,Open,,,,,SBD,Single-ply
B. Newby,82.5,M,Open,,,,,SBD,Single-ply
K. O'Brien,82.5,M,Open,,,,,SBD,Single-ply
S. Kmiecik,82.5,M,Open,,,,,SBD,Single-ply
Larry Mistric,90,M,Open,,,,,SBD,Single-ply
J. Joyner,90,M,Open,,,,,SBD,Single-ply
D. Burrell,90,M,Open,,,,,SBD,Single-ply
C. Garcia,90,M,Open,,,,,SBD,Single-ply
P. Beckham,90,M,Open,,,,,SBD,Single-ply
M. Reed,90,M,Open,,,,,SBD,Single-ply
H. Pitard,90,M,Open,,,,,SBD,Single-ply
C. Guiton,90,M,Open,,,,,SBD,Single-ply
J. McDowell,90,M,Open,,,,,SBD,Single-ply
K. Black,90,M,Open,,,,,SBD,Single-ply
S. McGough,90,M,Open,,,,,SBD,Single-ply
P. Talley,90,M,Open,,,,,SBD,Single-ply
M. Corder,90,M,Open,,,,,SBD,Single-ply
W. Thaxton,90,M,Open,,,,,SBD,Single-ply
J. Mason,90,M,Open,,,,,SBD,Single-ply
L. Ingerson,90,M,Open,,,,,SBD,Single-ply
D. Cummings,90,M,Open,,,,,SBD,Single-ply
G. Evans,90,M,Open,,,,,SBD,Single-ply
C. Sturgis,90,M,Open,,,,,SBD,Single-ply
S. Robinson,90,M,Open,,,,,SBD,Single-ply
R. Keller,90,M,Open,,,,,SBD,Single-ply
Gil Thompson,100,M,Open,,,,,SBD,Single-ply
W. Smith,100,M,Open,,,,,SBD,Single-ply
C. Perkins,100,M,Open,,,,,SBD,Single-ply
P. Elmore,100,M,Open,,,,,SBD,Single-ply
J. Schmidt,100,M,Open,,,,,SBD,Single-ply
G. Edwards,100,M,Open,,,,,SBD,Single-ply
M. Echols,100,M,Open,,,,,SBD,Single-ply
K. Walker,100,M,Open,,,,,SBD,Single-ply
C. Sanders,110,M,Open,,,,,SBD,Single-ply
M. Bandera,110,M,Open,,,,,SBD,Single-ply
F. Christman,110,M,Open,,,,,SBD,Single-ply
R. Osborn,110,M,Open,,,,,SBD,Single-ply
P. Holmes,110,M,Open,,,,,SBD,Single-ply
J. Haga,110,M,Open,,,,,SBD,Single-ply
R. Jones,110,M,Open,,,,,SBD,Single-ply
R. Roy,110,M,Open,,,,,SBD,Single-ply
B. Frost,110,M,Open,,,,,SBD,Single-ply
B. D'Angelo,110,M,Open,,,,,SBD,Single-ply
B. Bates,110,M,Open,,,,,SBD,Single-ply
E. Polk,110,M,Open,,,,,SBD,Single-ply
C. Maley,110,M,Open,,,,,SBD,Single-ply
D. Matthews,110,M,Open,,,,,SBD,Single-ply
C. Patterson,125,M,Open,,,,,SBD,Single-ply
J. Alexander,125,M,Open,,,,,SBD,Single-ply
M. Hood,125,M,Open,,,,,SBD,Single-ply
B. Lobins,125,M,Open,,,,,SBD,Single-ply
S. Bryan,125,M,Open,,,,,SBD,Single-ply
W. Miller,125,M,Open,,,,,SBD,Single-ply
D. Patterson,125,M,Open,,,,,SBD,Single-ply
O. Guiton,125+,M,Open,,,,,SBD,Single-ply
E. Lane,125+,M,Open,,,,,SBD,Single-ply
D. Martin,125+,M,Open,,,,,SBD,Single-ply
B. Young,125+,M,Open,,,,,SBD,Single-ply
T. Daley,,M,Teen 14-15,,,,,SBD,Single-ply
G. Herbert,,M,Teen 14-15,,,,,SBD,Single-ply
D. Pratt,,M,Teen 14-15,,,,,SBD,Single-ply
P. McCarty,,M,Teen 14-15,,,,,SBD,Single-ply
T. Springer,,M,Teen 16-17,,,,,SBD,Single-ply
C. Cunningham,,M,Teen 16-17,,,,,SBD,Single-ply
M. Snowden,,M,Teen 16-17,,,,,SBD,Single-ply
B. McGee,,M,Teen 16-17,,,,,SBD,Single-ply
B. White,,M,Teen 16-17,,,,,SBD,Single-ply
R. Sims,,M,Teen 16-17,,,,,SBD,Single-ply
B. Hadley,,M,Teen 16-17,,,,,SBD,Single-ply
G. Cunningham,,M,Teen 16-17,,,,,SBD,Single-ply
D. Jones,,M,Teen 16-17,,,,,SBD,Single-ply
W. Short,,M,Teen 16-17,,,,,SBD,Single-ply
S. McGough,,M,Teen 18-19,,,,,SBD,Single-ply
T. Fields,,M,Teen 18-19,,,,,SBD,Single-ply
D. Kern,,M,Teen 18-19,,,,,SBD,Single-ply
D. Silmon,,M,Teen 18-19,,,,,SBD,Single-ply
H. Morphis,,M,Teen 18-19,,,,,SBD,Single-ply
H. Willard,,M,Teen 18-19,,,,,SBD,Single-ply
J. Russell,,M,Teen 18-19,,,,,SBD,Single-ply
L. Hargrove,,M,Teen 18-19,,,,,SBD,Single-ply
T. Allen,,M,Teen 18-19,,,,,SBD,Single-ply
J. Canerday,,M,Teen 18-19,,,,,SBD,Single-ply
J. Elmore,,M,Teen 18-19,,,,,SBD,Single-ply
