Place,Name,Division,BirthYear,BodyweightKg,Best3BenchKg,WeightClassKg,Sex,CyrillicName,Equipment,Event,TotalKg
8,Sergiy Kharchenko,Open,1988,104.1,220,105,M,Сергей Харченко,Single-ply,B,220
9,Andriy Semenkov,Open,1989,104.05,215,105,M,Андрій Семенков,Single-ply,B,215
10,Taras Fedorchak,Open,1981,103.15,205,105,M,Тарас Федорчак,Single-ply,B,205
1,Yuriy Kovalchuk,Open,1979,119.65,300.5,120,M,Юрій Ковальчук,Single-ply,B,300.5
2,Valeriy Beginin,Open,1979,117.55,290,120,M,Валерий Бегинин,Single-ply,B,290
3,Andriy Krasilov,Open,1979,114,287.5,120,M,Андрій Красілов,Single-ply,B,287.5
4,Mykola Koltakov,Open,1983,119.15,287.5,120,M,Микола Колтаков,Single-ply,B,287.5
5,Oleksandr Teteruk,Open,1983,118.65,275,120,M,Олександр Тетерук,Single-ply,B,275
6,Maksym Golovenko,Open,1988,114.25,255,120,M,Максим Головенко,Single-ply,B,255
7,Valeriy Serdyuk,Open,1976,118.35,255,120,M,Валерій Сердюк,Single-ply,B,255
8,Mykhaylo Shapovalov,Open,1990,115.9,250,120,M,Михайло Шаповалов,Single-ply,B,250
9,Yuriy Kolesnyk,Open,1973,111.25,245,120,M,Юрій Колесник,Single-ply,B,245
1,Bogdan Grytsan,Open,1981,148.85,300,120+,M,Богдан Грицан,Single-ply,B,300
2,Maksim Scherba,Open,1981,126.15,265,120+,M,Максим Щерба,Single-ply,B,265
DQ,Oleksandr Isaev,Open,1979,134.6,,120+,M,Олександр Ісаєв,Single-ply,B,
1,Katerina Tkachuk,Sub-Juniors,2000,51.9,65,52,F,Катерина Ткачук,Single-ply,B,65
2,Karina Lositska,Sub-Juniors,1996,50.35,37.5,52,F,Карина Лосицька,Single-ply,B,37.5
1,Evgeniya Gavrilchenko,Sub-Juniors,1996,53.15,50,57,F,Євгенія Гаврильченко,Single-ply,B,50
2,Nataliya Gargunovska,Sub-Juniors,1998,52.5,47.5,57,F,Наталія Гаргуновська,Single-ply,B,47.5
1,Elina Ustinova,Sub-Juniors,1997,64.85,60,72,F,Еліна Устінова,Single-ply,B,60
1,Dariya Shashkova,Sub-Juniors,1997,74.2,50,84,F,Дарія Шашкова,Single-ply,B,50
1,Maksim Petryaev,Sub-Juniors,1998,51.25,90,53,M,Максим Петряєв,Single-ply,B,90
2,Maksim Ustimenko,Sub-Juniors,1998,51.45,72.5,53,M,Максим Устименко,Single-ply,B,72.5
3,Vladislav Baranov,Sub-Juniors,1997,52,72.5,53,M,Владислав Баранов,Single-ply,B,72.5
1,Mikhaylo Derzhko,Sub-Juniors,1997,58.95,125,59,M,Михайло Держко,Single-ply,B,125
2,Ruslan Ruzimuradov,Sub-Juniors,1998,57.5,122.5,59,M,Руслан Рузімурадов,Single-ply,B,122.5
1,Dmytro Bordyug,Sub-Juniors,1996,66,142.5,66,M,Дмитро Бордюг,Single-ply,B,142.5
2,Ivan Kondratyuk,Sub-Juniors,1998,62.95,112.5,66,M,Іван Кондратюк,Single-ply,B,112.5
3,Andriy Zinenko,Sub-Juniors,1996,65.05,100,66,M,Андрій Зіненко,Single-ply,B,100
4,Kostyantin Bukhanevich,Sub-Juniors,1998,65,97.5,66,M,Костянтин Буханевич,Single-ply,B,97.5
5,Viktor Maslov,Sub-Juniors,1997,63.65,85,66,M,Віктор Маслов,Single-ply,B,85
1,Andriy Bilyk,Sub-Juniors,1998,72.65,150,74,M,Андрій Білик,Single-ply,B,150
2,Dmitro Bobilev,Sub-Juniors,1996,72.7,135,74,M,Дмитро Бобилєв,Single-ply,B,135
3,Dmitro Kushnir,Sub-Juniors,1997,73.15,127.5,74,M,Дмитро Кушнір,Single-ply,B,127.5
4,Vadim Kulish,Sub-Juniors,1997,73.2,127.5,74,M,Вадим Куліш,Single-ply,B,127.5
5,Denis Potomakha,Sub-Juniors,1997,68.95,112.5,74,M,Денис Потомаха,Single-ply,B,112.5
1,Andrei Balukov,Sub-Juniors,1996,82.9,187.5,83,M,Андрей Балуков,Single-ply,B,187.5
1,Artur Zalyotov,Sub-Juniors,1998,85.25,195,93,M,Артур Зальотов,Single-ply,B,195
2,Vladlen Miroshnichenko,Sub-Juniors,1996,91.55,170,93,M,Владлен Мирошниченко,Single-ply,B,170
3,Yuriy Verkholyuk,Sub-Juniors,1996,91.95,135,93,M,Юрій Верхолюк,Single-ply,B,135
1,Vasil Lesko,Sub-Juniors,1996,101.2,160,105,M,Василь Лесько,Single-ply,B,160
1,Mikhaylo Parfenyuk,Sub-Juniors,1997,112.2,140,120,M,Михайло Парфенюк,Single-ply,B,140
