Name,State,Country,Division,BodyweightKg,WeightClassKg,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,BirthDate,Sex,Equipment,AgeRange
Angela Lauder,,Scotland,FR-M2,92.10,84+,,115.0,122.5,130.0,130.0,65.0,70.0,75.0,75.0,145.0,150.0,-160.0,150.0,355.0,4,SBD,,F,Raw,49.5-58.5
Elaine Jackson,GL,,FR-M2,107.60,84+,,105.0,115.0,125.0,125.0,57.5,62.5,67.5,67.5,142.5,152.5,162.5,162.5,355.0,5,SBD,,F,Raw,49.5-58.5
Rajesh Babu,GL,,M-M1,58.40,59,1980,107.5,117.5,127.5,127.5,107.5,112.5,116.0,116.0,180.0,190.0,200.0,200.0,443.5,1,SBD,,M,Raw,39.5-48.5
Shaun Bateman,SW,,M-M2,58.30,59,1967,130.0,140.0,-145.0,140.0,95.0,97.5,-100.0,97.5,170.0,180.0,-185.0,180.0,417.5,1,SBD,,M,Raw,49.5-58.5
Henry Chay,NW,,M-M3,58.40,59,1961,125.0,135.0,140.0,140.0,70.0,-75.0,-77.5,70.0,170.0,180.0,185.0,185.0,395.0,1,SBD,,M,Raw,59.5-68.5
Richard Gould,NW,,M-M3,57.90,59,1960,100.0,107.5,112.5,112.5,70.0,75.0,77.5,77.5,140.0,147.5,150.0,150.0,340.0,2,SBD,,M,Raw,59.5-68.5
Ted Byrne,NM,,M-M4,57.70,59,1951,110.0,-120.0,-127.5,110.0,65.0,70.0,-75.0,70.0,165.0,180.0,185.5,185.5,365.5,1,SBD,,M,Raw,69.5-99
Ted Brown,SM,,M-M4,54.60,59,1930,50.0,60.0,-65.0,60.0,55.0,60.0,65.0,65.0,80.0,90.0,100.0,100.0,225.0,2,SBD,,M,Raw,69.5-99
Simon Voakes,SM,,M-M1,63.80,66,1981,135.0,145.0,-150.0,145.0,102.5,-107.5,-110.0,102.5,175.0,185.0,192.5,192.5,440.0,1,SBD,,M,Raw,39.5-48.5
Greig Murray,,Scotland,M-M2,65.40,66,1971,155.0,165.0,-180.0,165.0,115.0,122.5,-125.0,122.5,210.0,230.0,-253.5,230.0,517.5,1,SBD,,M,Raw,39.5-48.5
George Travis,NW,,M-M4,66.00,66,1945,-110.0,110.0,-120.0,110.0,70.0,75.0,-77.5,75.0,120.0,130.0,-140.0,130.0,315.0,1,SBD,,M,Raw,69.5-99
Malcom Long,GL,,M-M1,73.30,74,,190.0,200.0,205.0,205.0,130.0,135.0,137.5,137.5,225.0,245.0,-255.0,245.0,587.5,1,SBD,,M,Raw,39.5-48.5
Danny Potter,NW,,M-M1,73.80,74,,170.0,185.0,200.0,200.0,135.0,145.0,-155.0,145.0,210.0,230.0,-255.0,230.0,575.0,2,SBD,,M,Raw,39.5-48.5
Nicholas Bently,SE,,M-M1,73.60,74,,145.0,155.0,160.0,160.0,107.5,115.0,-120.0,115.0,195.0,215.0,-220.0,215.0,490.0,3,SBD,,M,Raw,39.5-48.5
Phil Richard,,Wales,M-M2,74.00,74,,195.0,205.0,215.0,215.0,130.0,136.0,,136.0,212.5,230.0,-241.0,230.0,581.0,1,SBD,,M,Raw,49.5-58.5
Bernard McGurk,,Scotland,M-M2,68.50,74,,170.0,180.0,-185.0,180.0,107.5,112.5,-115.0,112.5,210.0,220.0,-225.0,220.0,512.5,2,SBD,,M,Raw,49.5-58.5
John Laird,,Wales,M-M2,72.70,74,,145.0,155.0,-160.0,155.0,102.5,110.0,-112.5,110.0,185.0,195.0,-200.0,195.0,460.0,3,SBD,,M,Raw,49.5-58.5
Cliff Haynes,EM,,M-M3,72.80,74,,150.0,165.0,175.0,175.0,110.0,125.0,130.0,130.0,190.0,210.0,-221.5,210.0,515.0,1,SBD,,M,Raw,59.5-68.5
Nigel Gillis,NM,,M-M3,67.30,74,,165.0,182.5,192.5,192.5,102.5,107.5,110.0,110.0,175.0,192.5,200.0,200.0,502.5,2,SBD,,M,Raw,59.5-68.5
Allen Ottolangui,EM,,M-M3,73.70,74,,165.0,-180.0,180.0,180.0,95.0,-100.0,100.0,100.0,-180.0,180.0,,180.0,460.0,3,SBD,,M,Raw,59.5-68.5
Ernie Parkes,SE,,M-M4,72.70,74,,-125.0,125.0,135.0,135.0,77.5,82.5,87.5,87.5,185.0,197.5,210.0,210.0,432.5,1,SBD,,M,Raw,69.5-99
Ian Card,EM,,M-M1,82.00,83,,207.5,220.0,225.0,225.0,107.5,120.0,127.5,127.5,240.0,260.0,-267.5,260.0,612.5,1,SBD,,M,Raw,39.5-48.5
Mark Hughes,YNE,,M-M1,83.00,83,,215.0,225.0,230.0,230.0,135.0,145.0,-150.0,145.0,210.0,220.0,230.0,230.0,605.0,2,SBD,,M,Raw,39.5-48.5
Grant Surgarman,EM,,M-M2,80.70,83,,165.0,175.0,185.0,185.0,110.0,120.0,-125.0,120.0,225.0,240.0,-250.0,240.0,545.0,1,SBD,,M,Raw,49.5-58.5
David Horne,SM,,M-M2,81.80,83,,140.0,147.5,152.5,152.5,100.0,-107.5,-107.5,100.0,190.0,205.0,210.0,210.0,462.5,2,SBD,,M,Raw,49.5-58.5
Phil Guise,WM,,M-M3,82.50,83,,155.0,170.0,185.0,185.0,105.0,110.0,115.0,115.0,155.0,170.0,185.0,185.0,485.0,1,SBD,,M,Raw,59.5-68.5
Clive Lingard,WM,,M-M4,82.10,83,,90.0,100.0,110.0,110.0,-90.0,90.0,-95.0,90.0,130.0,150.0,-165.0,150.0,350.0,1,SBD,,M,Raw,69.5-99
Thomas Celestin,GL,,M-M1,92.40,93,,220.0,235.0,-240.0,235.0,110.0,-115.0,,110.0,280.0,305.0,311.0,311.0,656.0,1,SBD,,M,Raw,39.5-48.5
Robert Love,,Scotland,M-M1,91.40,93,,225.0,240.0,-250.0,240.0,135.0,142.5,147.5,147.5,230.0,242.5,247.5,247.5,635.0,2,SBD,,M,Raw,39.5-48.5
Michele Tegon,GL,,M-M1,91.50,93,,230.0,240.0,247.5,247.5,147.5,-152.5,152.5,152.5,225.0,235.0,-250.0,235.0,635.0,3,SBD,,M,Raw,39.5-48.5
Robert Rodney,GL,,M-M2,91.40,93,,210.0,225.0,232.5,232.5,130.0,140.0,150.0,150.0,270.0,-317.5,,270.0,652.5,1,SBD,,M,Raw,49.5-58.5
David Clifford,NW,,M-M2,90.50,93,,210.0,225.0,-232.5,225.0,130.0,140.0,-145.0,140.0,220.0,235.0,252.5,252.5,617.5,2,SBD,,M,Raw,49.5-58.5
William Porter,GL,,M-M3,90.10,93,,-135.0,135.0,145.0,145.0,85.0,90.0,-95.0,90.0,165.0,185.0,195.0,195.0,430.0,1,SBD,,M,Raw,59.5-68.5
Kevin Jane,EM,,M-M4,92.50,93,,-195.0,195.0,-210.0,195.0,115.0,120.0,-122.5,120.0,215.0,237.5,-242.5,237.5,552.5,1,SBD,,M,Raw,69.5-99
Ross Brimsted,SE,,M-M1,104.70,105,,265.0,282.5,,282.5,160.0,170.0,-180.0,170.0,280.0,300.0,317.5,317.5,770.0,1,SBD,,M,Raw,39.5-48.5
Alistar Maag,NM,,M-M1,103.00,105,,200.0,210.0,220.0,220.0,-125.0,135.0,-145.0,135.0,250.0,260.0,275.0,275.0,630.0,2,SBD,,M,Raw,39.5-48.5
Russel Kirby,SE,,M-M2,104.10,105,,260.0,275.0,282.5,282.5,100.0,112.5,117.5,117.5,200.0,225.0,250.0,250.0,650.0,1,SBD,,M,Raw,49.5-58.5
Christopher Lynn,SW,,M-M2,102.01,105,,210.0,215.0,220.0,220.0,120.0,125.0,127.5,127.5,230.0,242.5,250.0,250.0,597.5,2,SBD,,M,Raw,49.5-58.5
