WeightClassKg,Name,Event,Equipment,Sex,Country,Division,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place
90,Damien Lecompte,B,Multi-ply,M,Belgium,Junior,,-122.5,122.5,127.5,,127.5,,127.5,2
90,Jeremy Hecre,B,Multi-ply,M,France,Junior,,180,,,,180,,180,1
100,Kristof V. Ransbeeck,B,Multi-ply,M,Belgium,Junior,,150,-160,-160,,150,,150,1
110,Ivars Cīrulis,B,Multi-ply,M,Latvia,Junior,,230,251,,,251,,251,1
110,Edwing Jean,B,Multi-ply,M,France,Junior,,145,-152.5,-152.5,,145,,145,2
125,Tobias Jde,B,Multi-ply,M,Germany,Junior,,235,250,-260,,250,,250,1
140,Vugar Namazov,B,Multi-ply,M,Azerbaijan,Junior,,170,,,,170,,170,1
67.5,Philippe Herzog,B,Multi-ply,M,Switzerland,40-44,,175,180,185.5,,185.5,,185.5,1
82.5,Stefano Marescotti,B,Multi-ply,M,Italy,40-44,,190,-203.5,-203.5,,190,,190,1
82.5,Bertold Rien,B,Multi-ply,M,Germany,40-44,,170,180,190,,190,,190,2
90,Idel Roulot,B,Multi-ply,M,France,40-44,,190,-195,195,,195,,195,1
90,Marc Casabianca,B,Multi-ply,M,France,40-44,,170,-180,-180,,170,,170,2
90,Yago Rose,B,Multi-ply,M,Germany,40-44,,-145,145,155,,155,,155,3
100,Robert Brasseur,B,Multi-ply,M,France,40-44,,230,240,-252.5,,240,,240,1
100,Stanislaw Kalesa,B,Multi-ply,M,Poland,40-44,,190,-200,200,,200,,200,2
100,Lauris Pauvlans,B,Multi-ply,M,Latvia,40-44,,160,180,190,,190,,190,3
100,Jevgeniss Valbergs,B,Multi-ply,M,Latvia,40-44,,-140,140,155,,155,,155,4
110,Rainers Kudoms,B,Multi-ply,M,Latvia,40-44,,200,215,-220,,215,,215,1
110,Marc Savoca,B,Multi-ply,M,France,40-44,,-170,175,185,,185,,185,2
125,Dominique Seminatote,B,Multi-ply,M,France,40-44,,200,-202.5,202.5,,202.5,,202.5,1
125,Geoffrey Nadin,B,Multi-ply,M,UK,40-44,,185,190,-205.5,,190,,190,2
140,Mario Böttcher,B,Multi-ply,M,Germany,40-44,,200,230,250,,250,,250,1
67.5,Martin Heindl,B,Multi-ply,M,Austria,45-49,,115,-125,125,,125,,125,1
75,Uwe Werner,B,Multi-ply,M,Germany,45-49,,170,180,-190,,180,,180,1
75,Pascal Lepaire,B,Multi-ply,M,France,45-49,,140,150,160,,160,,160,2
82.5,Dietmar Rien,B,Multi-ply,M,Germany,45-49,,150,-160,160,,160,,160,1
82.5,Didier Theux,B,Multi-ply,M,France,45-49,,137.5,145,150,,150,,150,2
82.5,Thioney Tifaoui,B,Multi-ply,M,France,45-49,,132.5,137.5,145,,145,,145,3
82.5,Francois A. Mattei,B,Multi-ply,M,France,45-49,,135,-142.5,-147.5,,135,,135,4
90,Eugeniusz Mehlich,B,Multi-ply,M,Poland,45-49,,165,170,172.5,,172.5,,172.5,1
90,Marcel Laine,B,Multi-ply,M,France,45-49,,155,160,167.5,,167.5,,167.5,2
90,Michael Neubert,B,Multi-ply,M,Germany,45-49,,140,145,150,,150,,150,3
100,Wiestlaw Wrobel,B,Multi-ply,M,Poland,45-49,,160,170,-175,,170,,170,2
100,Colin Wheeler,B,Multi-ply,M,UK,45-49,,155,162.5,172.5,,172.5,,172.5,1
110,Erhard Schubert,B,Multi-ply,M,Germany,45-49,,185,-195,195,,195,,195,1
125,Viktors Pevko,B,Multi-ply,M,Latvia,45-49,,240,250,-260,,250,,250,1
125,Andreas Mrosek,B,Multi-ply,M,Germany,45-49,,230,-240,250,,250,,250,2
125,John Walker,B,Multi-ply,M,UK,45-49,,210,220,227.5,,227.5,,227.5,3
125,Pekka J. Rantanen,B,Multi-ply,M,Finland,45-49,,205,-215,222.5,,222.5,,222.5,4
140,Wojciech Bialic,B,Multi-ply,M,Poland,45-49,,200,-205,205,,205,,205,1
67.5,Louis Guerio,B,Multi-ply,M,France,50-54,,-107.5,115,121,,121,,121,1
82.5,Klaus G. Krüger,B,Multi-ply,M,Germany,50-54,,175,180,185,,185,,185,1
90,Marek Morawski,B,Multi-ply,M,Germany,50-54,,150,157.5,162.5,,162.5,,162.5,1
100,Josef Teslar,B,Multi-ply,M,Slovenia,50-54,,180,190,200,-210,200,,200,1
100,Heinz Nobel,B,Multi-ply,M,Switzerland,50-54,,-152,155,162.5,,162.5,,162.5,2
100,D. Douet,B,Multi-ply,M,France,50-54,,145,155,-157.5,,155,,155,3
125,Dusan Toman,B,Multi-ply,M,Slovenia,50-54,,-180,180,190,,190,,190,1
125,Josef Pöllendorfer,B,Multi-ply,M,Austria,50-54,,150,160,-180,,160,,160,2
60,Christian Gandon,B,Multi-ply,M,France,55-59,,-95,95,97.5,,97.5,,97.5,1
75,Joachim Winterscheidt,B,Multi-ply,M,Germany,55-59,,115,120,125,,125,,125,1
90,Roland Götz,B,Multi-ply,M,Germany,55-59,,152.5,160,162.5,,162.5,,162.5,1
82.5,Manuel Fantarosa,B,Multi-ply,M,France,60-64,,120,130,135,,135,,135,1
110,Jean Marc Lebolay,B,Multi-ply,M,Finland,60-64,,177.5,182.5,187.5,,187.5,,187.5,1
67.5,Raphael Furfari,B,Multi-ply,M,France,65-69,,-115,115,120,125,120,,120,1
75,Marcel E. Fortwengler,B,Multi-ply,M,Switzerland,65-69,,145,-152.5,-152.5,,145,,145,1
90,Konrad Högg,B,Multi-ply,M,Austria,65-69,,135,145,150,,150,,150,1
75,Pierre Pothee,B,Multi-ply,M,France,75-79,,60,65,-70,,65,,65,1
60,Rupert Wick,B,Multi-ply,M,Germany,Open,,135,-142.5,-142.5,,135,,135,1
67.5,Marcine Herok,B,Multi-ply,M,Poland,Open,,110,120,122.5,,122.5,,122.5,1
75,Jean Luc Garcia,B,Multi-ply,M,France,Open,,200,-213,213,,213,,213,1
82.5,Jani Pentti,B,Multi-ply,M,Finland,Open,,200,215,225,,225,,225,1
82.5,Didier Cauchois,B,Multi-ply,M,France,Open,,165,-170,170,,170,,170,2
90,Oliver Beck,B,Multi-ply,M,Germany,Open,,200,212.5,220,,220,,220,2
90,Anchezet Sadkowsky,B,Multi-ply,M,Poland,Open,,-210,210,-217.5,,210,,210,3
90,Torsten Vogel,B,Multi-ply,M,Germany,Open,,195,200,205,,205,,205,4
90,Grigoriys Melkumjans,B,Multi-ply,M,Latvia,Open,,200,205,-210,,205,,205,5
90,Salvatore Piscopo,B,Multi-ply,M,France,Open,,-200,-200,200,,200,,200,6
90,Mika Ekebon,B,Multi-ply,M,Finland,Open,,-230,-230,-230,,,,,DQ
100,Jarkko Salminen,B,Multi-ply,M,Finland,Open,,-205,205,215,,215,,215,1
100,Michal Tumidajsky,B,Multi-ply,M,Poland,Open,,-210,-215,-215,,,,,DQ
110,Massimo Sobrero,B,Multi-ply,M,Italy,Open,,200,-207.5,207.5,,207.5,,207.5,2
110,Mustafa Cakmakci,B,Multi-ply,M,Germany,Open,,190,-215,-215,,190,,190,1
110,Frideric Spitz,B,Multi-ply,M,France,Open,,150,-165,-165,,150,,150,2
110,Ives Scheyltjens,B,Multi-ply,M,Belgium,Open,,-170,,,,,,,DQ
125,Jean-Marc Chenin,B,Multi-ply,M,France,Open,,230,237.5,-247.5,,237.5,,237.5,2
125,Bahtiyu Guliyev,B,Multi-ply,M,Azerbaijan,Open,,220,232.5,245,,245,,245,1
125,Jaroslav Barde,B,Multi-ply,M,Poland,Open,,200,-210,232.5,,232.5,,232.5,3
140,Kari Kaliola,B,Multi-ply,M,Finland,Open,,-260,262.5,272.5,,272.5,,272.5,1
140,Mareks Leitis,B,Multi-ply,M,Latvia,Open,,215,225,230,,230,,230,2
90+,Daisy Houthuys,SBD,Multi-ply,F,Belgium,18-19,110,,,,,47.5,110,267.5,1
67.5,Alisa Salahova,SBD,Multi-ply,F,Azerbaijan,Junior,145,,,,,60,115.5,320.5,1
56,Yveline Dujardin,SBD,Multi-ply,F,Belgium,Mas 40-44,160,,,,,92.5,150,402.5,1
56,Ingrid Geerinck,SBD,Multi-ply,F,Belgium,Mas 40-44,80,,,,,40,90,210,2
56,Karin Heindl,SBD,Multi-ply,F,Austria,Mas 45-49,90,,,,,42.5,95,227.5,1
67.5,Aurelia Troche,SBD,Multi-ply,F,France,Mas 45-49,82.5,,,,,58,125,265.5,1
75,Marie J. Burrick,SBD,Multi-ply,F,Belgium,Mas 45-49,102.5,,,,,50,115,267.5,1
48,Claudia Spiess,SBD,Multi-ply,F,France,Open Ladies,,,,,,,,,DQ
56,Marie L. Hellal,SBD,Multi-ply,F,France,Open Ladies,140,,,,,70,157.5,367.5,1
60,Jayne Thomas,SBD,Multi-ply,F,UK,Open Ladies,,,,,,,,,DQ
67.5,Andrea Zrcher,SBD,Multi-ply,F,Switzerland,Open Ladies,250,,,,,100,210,560,1
75,Wendy Michiels,SBD,Multi-ply,F,Belgium,Open Ladies,180,,,,,107.5,185,472.5,1
82.5,Jonna Alaspää,SBD,Multi-ply,F,Finland,Open Ladies,157,,,,,70,150,377,1
90,Tarja Rantanen,SBD,Multi-ply,F,Finland,Open Ladies,,,,,,,,,DQ
52,Bernoit Moyon,SBD,Multi-ply,M,France,13-15 Men,60,,,,,30,90,180,1
67.5,Joachim Probst,SBD,Multi-ply,M,Germany,13-15 Men,95,,,,,65,110,270,1
90,Vladislav Gacic,SBD,Multi-ply,M,Slovenia,13-15 Men,190,,,,,120,210,520,1
67.5,Roman Galbavy,SBD,Multi-ply,M,Slovenia,16-17 Men,170.5,,,,,105,200,475.5,1
82.5,Michal Krajci,SBD,Multi-ply,M,Slovenia,16-17 Men,190,,,,,105,210,505,1
60,Jason Mannering,SBD,Multi-ply,M,UK,18-19 Men,170,,,,,95,180,445,1
75,D. Sahin,SBD,Multi-ply,M,France,18-19 Men,150,,,,,90,180,420,1
75,Jeremy Helf,SBD,Multi-ply,M,France,18-19 Men,135,,,,,100,165,400,2
90,Aleksandrs Grigorjevs,SBD,Multi-ply,M,Latvia,18-19 Men,280.5,,,,,175.5,250,706,1
52,Mihails Šabarovs,SBD,Multi-ply,M,Latvia,Junior Men,170,,,,,102.5,195,467.5,1
67.5,Pieter Calus,SBD,Multi-ply,M,Belgium,Junior Men,205,,,,,137.5,235,577.5,1
75,Joonas Mörsky,SBD,Multi-ply,M,Finland,Junior Men,200,,,,,165,215,580,1
75,Darren Chappell,SBD,Multi-ply,M,UK,Junior Men,215,,,,,115,180,510,2
75,Samir Shiraliyev,SBD,Multi-ply,M,Azerbaijan,Junior Men,240,,,,,176,,,DQ
82.5,Farajov Akbar,SBD,Multi-ply,M,Azerbaijan,Junior Men,282.5,,,,,190,287.5,760,1
82.5,Uldis Ļaudāms,SBD,Multi-ply,M,Latvia,Junior Men,280,,,,,190,280,750,2
90,Jeremy Hecre,SBD,Multi-ply,M,France,Junior Men,260,,,,,185,240,685,1
100,Samuli Perälä,SBD,Multi-ply,M,Finland,Junior Men,350,,,,,255,310,915,1
100,Kristof Van Ransbeeck,SBD,Multi-ply,M,Belgium,Junior Men,230,,,,,150,220,600,2
110,Ilkka HaUKijärvi,SBD,Multi-ply,M,Finland,Junior Men,400,,,,,250,300,950,1
110,Ivars Cīrulis,SBD,Multi-ply,M,Latvia,Junior Men,350,,,,,251,340,941,2
110,Pertti Ristiluoma,SBD,Multi-ply,M,Finland,Junior Men,360,,,,,242.5,290,892.5,3
110,Koen Demuynck,SBD,Multi-ply,M,Belgium,Junior Men,255,,,,,170,280,705,4
125,Carl Rogers,SBD,Multi-ply,M,UK,Junior Men,300,,,,,155,250,705,1
140,Kaspar Bogdanovics,SBD,Multi-ply,M,Latvia,Junior Men,325,,,,,210,310,845,1
140,Vugar Namazov,SBD,Multi-ply,M,Azerbaijan,Junior Men,,,,,,,,,DQ
140+,Timo Lehtonen,SBD,Multi-ply,M,Finland,Junior Men,385,,,,,250,325,960,1
75,David Mannering,SBD,Multi-ply,M,UK,Mas 40-44,270,,,,,175,255,700,1
75,Franck Abadie,SBD,Multi-ply,M,France,Mas 40-44,207.5,,,,,110,215,532.5,2
75,Roger Poulard,SBD,Multi-ply,M,France,Mas 40-44,170,,,,,110,185,465,3
90,Georg Haake,SBD,Multi-ply,M,Germany,Mas 40-44,290,,,,,180,280,750,1
90,Juris Ivanusius,SBD,Multi-ply,M,Latvia,Mas 40-44,272.5,,,,,167.5,285,725,2
90,Jean M. Andres,SBD,Multi-ply,M,France,Mas 40-44,250,,,,,160,275,685,3
110,Jens Andres,SBD,Multi-ply,M,Germany,Mas 40-44,310,,,,,200,280,790,1
110,Michel Vanel,SBD,Multi-ply,M,France,Mas 40-44,250,,,,,150,235,635,2
125,Lee Marshall,SBD,Multi-ply,M,UK,Mas 40-44,350,,,,,190,320,860,1
67.5,Martin Heindl,SBD,Multi-ply,M,Austria,Mas 45-49,180,,,,,127.5,212.5,520,1
82.5,Didier Theux,SBD,Multi-ply,M,France,Mas 45-49,215,,,,,145,220,580,1
90,Frank Kutsch,SBD,Multi-ply,M,Germany,Mas 45-49,220,,,,,157.5,235,612.5,1
90,Emilio Quadrelli,SBD,Multi-ply,M,Italy,Mas 45-49,190,,,,,115,225,530,2
125,Pekka Rantanen,SBD,Multi-ply,M,Finland,Mas 45-49,335,,,,,217.5,290,842.5,1
140,Viktors Pevko,SBD,Multi-ply,M,Latvia,Mas 45-49,300,,,,,250,280,830,1
82.5,Michel Dudziak,SBD,Multi-ply,M,France,Mas 50-54,125,,,,,,,,DQ
90,Paul Latter,SBD,Multi-ply,M,UK,Mas 50-54,310,,,,,175,227.5,712.5,1
100,Alain LUKer,SBD,Multi-ply,M,UK,Mas 50-54,320,,,,,167.5,335,822.5,1
100,Kārlis Bulāns,SBD,Multi-ply,M,Latvia,Mas 50-54,285,,,,,150,310,745,2
110,Dainis Reinholds,SBD,Multi-ply,M,Latvia,Mas 50-54,250,,,,,207.5,250,707.5,1
110,Werner Näpfer,SBD,Multi-ply,M,Switzerland,Mas 50-54,215,,,,,130,,,DQ
82.5,Christian Desnots,SBD,Multi-ply,M,France,Mas 55-59,165,,,,,105,200,470,1
90,Heinz Probst,SBD,Multi-ply,M,Germany,Mas 55-59,110,,,,,85,135,330,1
100,Robert Laroudie,SBD,Multi-ply,M,France,Mas 55-59,150,,,,,95,,,DQ
100,Alain Weil,SBD,Multi-ply,M,France,Mas 55-59,185,,,,,,,,DQ
67.5,Alois Fasolin,SBD,Multi-ply,M,Germany,Mas 60-64,135.5,,,,,100,152.5,388,1
75,Anatolis Kuzmins,SBD,Multi-ply,M,Latvia,Mas 60-64,185,,,,,120,170,475,1
125,Jean-Marie Cavellier,SBD,Multi-ply,M,France,Mas 60-64,220,,,,,200,235,655,1
75,Daniel Camut-Mollet,SBD,Multi-ply,M,France,Mas 65-69,180,,,,,95,202.5,477.5,1
82.5,Konrad Högg,SBD,Multi-ply,M,Austria,Mas 65-69,140.5,,,,,135,170.5,446,1
100,Jurys Lavrovs,SBD,Multi-ply,M,Latvia,Mas 65-69,110,,,,,80,145,335,1
67.5,David Hecre,SBD,Multi-ply,M,France,Open Men,190,,,,,125,210,525,1
67.5,David Cortier,SBD,Multi-ply,M,France,Open Men,170,,,,,105,215,490,2
67.5,Rudolf Siska,SBD,Multi-ply,M,Slovenia,Open Men,200,,,,,100,180,480,3
75,Juha P. Jaakkola,SBD,Multi-ply,M,Finland,Open Men,265,,,,,172.5,200,637.5,1
75,Avtar Jawanda,SBD,Multi-ply,M,UK,Open Men,217.5,,,,,110,212.5,540,2
75,Vincent Dupoux,SBD,Multi-ply,M,France,Open Men,200,,,,,90,200,490,3
82.5,Marcel Mette,SBD,Multi-ply,M,Germany,Open Men,285,,,,,172.5,257.5,715,1
82.5,Hansjrg Kälin,SBD,Multi-ply,M,Switzerland,Open Men,245,,,,,145,270,660,2
82.5,Stanislav Janusta,SBD,Multi-ply,M,Slovenia,Open Men,245,,,,,155,250,650,3
82.5,Patrik Rollot,SBD,Multi-ply,M,France,Open Men,250,,,,,160,230,640,4
82.5,Maxime Soitin,SBD,Multi-ply,M,France,Open Men,240,,,,,130,250,620,5
90,Eric Athias,SBD,Multi-ply,M,France,Open Men,325,,,,,180,305,810,1
90,Edmund Nonis,SBD,Multi-ply,M,UK,Open Men,310,,,,,210,270,790,2
90,Helmut Kraus,SBD,Multi-ply,M,Germany,Open Men,262.5,,,,,192.5,240,695,3
90,Steven Bayens,SBD,Multi-ply,M,Belgium,Open Men,250,,,,,167.5,225,642.5,4
90,Patrick Verblijdt,SBD,Multi-ply,M,Belgium,Open Men,230,,,,,110,210,550,5
100,Pauli Rantanen,SBD,Multi-ply,M,Finland,Open Men,340,,,,,217.5,300,857.5,1
100,Markus Nischik,SBD,Multi-ply,M,Germany,Open Men,310,,,,,200,295,805,2
100,Renaat Wouters,SBD,Multi-ply,M,Belgium,Open Men,230,,,,,172.5,230,632.5,3
100,Kari Pöntinen,SBD,Multi-ply,M,Finland,Open Men,,,,,,,,,DQ
110,Rufat Aghayev,SBD,Multi-ply,M,Azerbaijan,Open Men,360,,,,,207.5,325,892.5,1
110,Mattes Aremlini,SBD,Multi-ply,M,Italy,Open Men,310,,,,,180,300,790,2
110,Herwe Herbulat,SBD,Multi-ply,M,France,Open Men,300,,,,,160,280,740,3
110,Bruno Cappella,SBD,Multi-ply,M,Italy,Open Men,220,,,,,170,250,640,4
110,Elmar Wasmer,SBD,Multi-ply,M,Switzerland,Open Men,295,,,,,180,,,DQ
125,Jean-Marc Chenin,SBD,Multi-ply,M,France,Open Men,330,,,,,240.5,280,850.5,1
125,Richard Ligier,SBD,Multi-ply,M,France,Open Men,290,,,,,187.5,240,717.5,2
125,Valentin Patr,SBD,Multi-ply,M,France,Open Men,285,,,,,160,260,705,3
140,Kari Kalliola,SBD,Multi-ply,M,Finland,Open Men,412.5,,,,,265,285,962.5,1
140,Dennis Dodd,SBD,Multi-ply,M,UK,Open Men,290,,,,,190,220,700,2
140,Raf Bensch,SBD,Multi-ply,M,Belgium,Open Men,190,,,,,140,230,560,3
140+,Oļegs Dudkins,SBD,Multi-ply,M,Latvia,Open Men,345,,,,,230,352.5,927.5,1
