Name,Sex,BirthDate,Age,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Event,Place,Tested,Equipment
Dick Zenzen,M,1952-05-21,55,M_MEM_4_AAPF,99.20,100,282.50,305.00,317.50,,317.50,155.00,165.00,172.50,-182.50,172.50,210.00,235.00,-250.00,,235.00,725.00,SBD,1,Yes,Multi-ply
Daniel Reph,M,1942-03-14,66,M_MEM_6_AAPF,126.70,140,170.00,187.50,-190.00,,187.50,75.00,85.00,-92.50,,85.00,200.00,210.00,215.00,,215.00,487.50,SBD,1,Yes,Multi-ply
Fred Glass,M,1936-11-23,71,M_MEM_7_AAPF,67.40,67.5,152.50,165.00,-182.50,,165.00,40.00,55.00,-60.00,,55.00,167.50,-185.00,-185.00,,167.50,387.50,SBD,1,Yes,Multi-ply
Rich Flores,M,1938-01-26,70,M_MEM_7_AAPF,73.90,75,205.00,227.50,-242.50,,227.50,87.50,92.50,97.50,,97.50,205.00,220.00,227.50,,227.50,552.50,SBD,1,Yes,Multi-ply
James Ellis,M,1938-03-16,70,M_MEM_7_AAPF,89.20,90,-192.50,192.50,-202.50,,192.50,95.00,-102.50,105.00,,105.00,187.50,-205.00,,,187.50,485.00,SBD,1,Yes,Multi-ply
John DiGirolamo,M,1977-03-17,31,M_OEM_AAPF,74.60,75,265.00,285.00,-300.00,,285.00,180.00,-195.00,-195.00,,180.00,-230.00,230.00,-252.50,,230.00,695.00,SBD,1,Yes,Multi-ply
David Kirschen,M,1977-08-02,30,M_OEM_AAPF,82.50,82.5,322.50,342.50,350.00,,350.00,227.50,242.50,247.50,,247.50,-250.00,250.00,265.00,,265.00,862.50,SBD,1,Yes,Multi-ply
Devin Cagnolatti,M,1973-05-04,34,M_OEM_AAPF,81.90,82.5,302.50,310.00,325.00,,325.00,-232.50,242.50,255.00,-267.50,255.00,247.50,257.50,267.50,,267.50,847.50,SBD,2,Yes,Multi-ply
Vincent Lysobey,M,1971-05-11,36,M_OEM_AAPF,81.90,82.5,262.50,290.00,-307.50,,290.00,175.00,190.00,197.50,,197.50,217.50,242.50,-255.00,,242.50,730.00,SBD,3,Yes,Multi-ply
Eric Stone,M,1983-02-09,25,M_OEM_AAPF,80.20,82.5,295.00,320.00,-332.50,,320.00,157.50,-182.50,-182.50,,157.50,212.50,-245.00,-245.00,,212.50,690.00,SBD,4,Yes,Multi-ply
Chris DelPreore,M,1973-12-19,34,M_OEM_AAPF,99.50,100,332.50,357.50,-372.50,,357.50,230.00,-245.00,245.00,,245.00,247.50,275.00,-285.00,,275.00,877.50,SBD,1,Yes,Multi-ply
Anthony Infante,M,1983-08-08,24,M_OEM_AAPF,95.30,100,200.00,222.50,227.50,,227.50,165.00,-182.50,-182.50,,165.00,212.50,225.00,-237.50,,225.00,617.50,SBD,2,Yes,Multi-ply
Jo Jordan,M,1973-08-31,34,M_OEM_AAPF,110.00,110,410.00,-430.00,-430.00,,410.00,275.00,-290.00,-290.00,,275.00,297.50,320.00,-332.50,,320.00,1005.00,SBD,1,Yes,Multi-ply
James Dibble,M,1961-02-10,47,M_OEM_AAPF,109.70,110,280.00,317.50,332.50,,332.50,227.50,242.50,-257.50,,242.50,242.50,255.00,265.00,,265.00,840.00,SBD,2,Yes,Multi-ply
Todd Potts,M,1978-01-11,30,M_PFEM_AAPF,75.00,75,155.00,167.50,177.50,,177.50,122.50,132.50,140.00,-142.50,140.00,120.00,132.50,145.00,,145.00,462.50,SBD,1,Yes,Multi-ply
Dick Zenzen,M,1952-05-21,55,M_PFEM_AAPF,99.20,100,282.50,305.00,-317.50,,305.00,155.00,165.00,172.50,,172.50,210.00,235.00,-250.00,,235.00,712.50,SBD,1,Yes,Multi-ply
Vincent Lysobey,M,1971-05-11,36,M_SEM_AAPF,81.90,82.5,262.50,290.00,-307.50,,290.00,175.00,190.00,197.50,,197.50,217.50,242.50,-255.00,,242.50,730.00,SBD,1,Yes,Multi-ply
Ervin Domanski,M,1971-10-03,36,M_SEM_AAPF,82.50,82.5,-297.50,297.50,-327.50,,297.50,167.50,-182.50,-182.50,,167.50,250.00,260.00,-275.00,,260.00,725.00,SBD,2,Yes,Multi-ply
Mark Hibbing,M,1968-11-05,39,M_SEM_AAPF,82.10,82.5,227.50,252.50,-275.00,,252.50,125.00,150.00,-152.50,,150.00,195.00,215.00,230.00,,230.00,632.50,SBD,3,Yes,Multi-ply
Robert Clark,M,1970-01-31,38,M_SEM_AAPF,88.40,90,292.50,320.00,-332.50,,320.00,200.00,210.00,-222.50,,210.00,267.50,287.50,,,287.50,817.50,SBD,1,Yes,Multi-ply
Mike Szudarek,M,1972-05-17,35,M_OEM_AAPF,99.30,100,-350.00,-372.50,-385.00,,,,,,,,,,,,,,SBD,DQ,Yes,Multi-ply
Mitchell McMahon,M,1988-06-15,19,M_TEM_3_AAPF,108.80,110,-302.50,-302.50,-302.50,,,,,,,,,,,,,,SBD,DQ,Yes,Multi-ply
Derek Jones,M,1988-04-08,20,M_JEM_AAPF,93.00,100,275.00,-290.00,-290.00,,275.00,-185.00,-185.00,-185.00,,,,,,,,,SBD,DQ,Yes,Multi-ply
Jordan Dunn,M,1991-05-05,16,M_TEM_2_AAPF,73.70,75,-310.00,-310.00,-322.50,,,,,,,,,,,,,,SBD,DQ,Yes,Multi-ply
Anthony McCloskey,M,1991-02-04,17,M_TEM_2_AAPF,98.30,100,-367.50,-367.50,-367.50,,,,,,,,,,,,,,SBD,DQ,Yes,Multi-ply
John McDermott,M,1991-01-30,17,M_TEM_2_AAPF,97.40,100,235.00,265.00,287.50,,287.50,185.00,195.00,210.00,,210.00,-220.00,-220.00,-220.00,,,,SBD,DQ,Yes,Multi-ply
Jeffrey Haiduke,M,1983-04-25,24,M_OEM_AAPF,70.60,75,,,,,,,,,,,,,,,,,SBD,DQ,Yes,Multi-ply
Kevin Platt,M,1987-05-31,20,M_JEM_AAPF,89.00,90,,,,,,185.00,-195.00,195.00,,195.00,,,,,,195.00,B,1,Yes,Multi-ply
Michael Bingham,M,1965-08-22,42,M_MEM_1_AAPF,80.90,82.5,,,,,,187.50,-197.50,200.00,207.50,200.00,,,,,,200.00,B,1,Yes,Multi-ply
Eric Hubbs,M,1963-12-31,44,M_MEM_1_AAPF,112.20,125,,,,,,-250.00,250.00,-275.00,,250.00,,,,,,250.00,B,1,Yes,Multi-ply
John Robinson,M,1967-10-19,40,M_MEM_1_AAPF,156.00,140+,,,,,,300.00,-320.00,-320.00,,300.00,,,,,,300.00,B,1,Yes,Multi-ply
Sam Luciano,M,,46,M_MEM_2_AAPF,98.30,100,,,,,,227.50,240.00,250.00,-260.00,250.00,,,,,,250.00,B,1,Yes,Multi-ply
Dave Murphy,M,1954-12-14,53,M_MEM_3_AAPF,108.80,110,,,,,,140.00,-250.00,-250.00,,140.00,,,,,,140.00,B,1,Yes,Multi-ply
Mark Hammond,M,1952-04-26,55,M_MEM_4_AAPF,96.20,100,,,,,,190.00,195.00,-200.00,,195.00,,,,,,195.00,B,1,Yes,Multi-ply
Edward Fitzpatrick,M,1948-05-29,59,M_MEM_4_AAPF,109.70,110,,,,,,192.50,-212.50,215.00,-220.00,215.00,,,,,,215.00,B,1,Yes,Multi-ply
Kenneth Tawzer,M,1951-11-01,56,M_MEM_4_AAPF,115.90,125,,,,,,-165.00,-170.00,170.00,,170.00,,,,,,170.00,B,1,Yes,Multi-ply
Edward Brown,M,1939-07-26,68,M_MEM_6_AAPF,95.50,100,,,,,,132.50,145.00,-155.00,,145.00,,,,,,145.00,B,1,Yes,Multi-ply
Pete Bush,M,1928-02-12,80,M_MEM_9_AAPF,67.50,67.5,,,,,,52.50,-57.50,-60.00,,52.50,,,,,,52.50,B,1,Yes,Multi-ply
James Matta,M,1976-02-04,32,M_OEM_AAPF,88.60,90,,,,,,227.50,240.00,-250.00,,240.00,,,,,,240.00,B,1,Yes,Multi-ply
Dave Murphy,M,1954-12-14,53,M_OEM_AAPF,108.80,110,,,,,,140.00,-250.00,-250.00,,140.00,,,,,,140.00,B,1,Yes,Multi-ply
Eric Hubbs,M,1963-12-31,44,M_OEM_AAPF,112.20,125,,,,,,-250.00,250.00,-275.00,,250.00,,,,,,250.00,B,1,Yes,Multi-ply
Michael Bingham,M,1965-08-22,42,M_PFEM_AAPF,80.90,82.5,,,,,,187.50,-197.50,200.00,207.50,200.00,,,,,,200.00,B,1,Yes,Multi-ply
Kenneth Tawzer,M,1951-11-01,56,M_PFEM_AAPF,115.90,125,,,,,,-165.00,-170.00,170.00,172.50,170.00,,,,,,170.00,B,1,Yes,Multi-ply
Dale Szymanski,M,1969-12-16,38,M_SEM_AAPF,123.20,125,,,,,,240.00,277.50,282.50,,282.50,,,,,,282.50,B,1,Yes,Multi-ply
Jordan Dunn,M,1991-05-05,16,M_TEM_2_AAPF,73.70,75,,,,,,185.00,-192.50,-200.00,,185.00,,,,,,185.00,B,1,Yes,Multi-ply
Anthony McCloskey,M,1991-02-04,17,M_TEM_2_AAPF,98.30,100,,,,,,-210.00,210.00,220.00,227.50,220.00,,,,,,220.00,B,1,Yes,Multi-ply
Alec Forezzi,M,1995-06-02,12,M_TEM_1_AAPF,51.10,52,80.00,90.00,95.00,,95.00,50.00,55.00,-62.50,,55.00,82.50,97.50,105.00,,105.00,255.00,SBD,2,Yes,Multi-ply
Wayne Flesh III,M,1992-11-05,15,M_TEM_1_AAPF,50.90,52,125.00,137.50,142.50,147.50,142.50,52.50,60.00,70.00,,70.00,102.50,110.00,117.50,,117.50,330.00,SBD,1,Yes,Multi-ply
Joe DiMaggio,M,1992-01-25,16,M_TEM_2_AAPF,78.10,82.5,157.50,-180.00,-182.50,,157.50,75.00,-85.00,-85.00,,75.00,157.50,-175.00,-175.00,,157.50,390.00,SBD,1,Yes,Multi-ply
Nathan Bird,M,1991-04-02,17,M_TEM_2_AAPF,89.50,90,192.50,215.00,-232.50,,215.00,125.00,-135.00,135.00,,135.00,215.00,-225.00,-225.00,,215.00,565.00,SBD,1,Yes,Multi-ply
Conrad Cable,M,1991-12-03,16,M_TEM_2_AAPF,152.50,140+,187.50,215.00,240.00,,240.00,122.50,-137.50,-137.50,,122.50,180.00,-205.00,-205.00,,180.00,542.50,SBD,1,Yes,Multi-ply
Raphael Deschenes,M,1989-01-26,19,M_TEM_3_AAPF,89.20,90,-272.50,272.50,-302.50,,272.50,165.00,-187.50,-187.50,,165.00,227.50,260.00,275.00,-282.50,275.00,712.50,SBD,1,Yes,Multi-ply
Zach Zenzen,M,1988-07-01,19,M_TEM_3_AAPF,99.50,100,287.50,-317.50,-317.50,,287.50,195.00,205.00,217.50,-227.50,217.50,237.50,265.00,-277.50,,265.00,770.00,SBD,1,Yes,Multi-ply
Nate Fonck,M,1989-09-30,18,M_TEM_3_AAPF,134.10,140,282.50,332.50,-340.00,,332.50,160.00,-227.50,227.50,,227.50,227.50,260.00,-272.50,,260.00,820.00,SBD,1,Yes,Multi-ply
Cheryl McKenzie,F,1961-01-25,47,F_MEM_2_AAPF,71.60,75,175.00,-190.00,-195.00,,175.00,90.00,102.50,105.00,,105.00,145.00,162.50,-177.50,,162.50,442.50,SBD,1,Yes,Multi-ply
Mary Tawzer,F,1956-05-09,51,F_MEM_3_AAPF,103.00,90+,52.50,65.00,82.50,,82.50,50.00,55.00,-60.00,,55.00,102.50,125.00,137.50,,137.50,275.00,SBD,1,Yes,Multi-ply
Susan McCallion,F,1948-09-29,59,F_MEM_4_AAPF,53.00,56,95.00,102.50,110.00,112.50,110.00,40.00,45.00,50.00,,50.00,95.00,105.00,-112.50,,105.00,265.00,SBD,1,Yes,Multi-ply
Jane Stabile,F,1952-12-08,55,F_OEM_AAPF,67.50,67.5,-155.00,-155.00,155.00,,155.00,70.00,-82.50,-82.50,,70.00,157.50,172.50,-182.50,,172.50,397.50,SBD,1,Yes,Multi-ply
Shannon Detman,F,1981-11-10,26,F_OEM_AAPF,82.00,82.5,190.00,215.00,-227.50,,215.00,-82.50,82.50,95.00,,95.00,165.00,182.50,-195.00,,182.50,492.50,SBD,2,Yes,Multi-ply
Shawna Mendelson,F,1972-10-23,35,F_OEM_AAPF,81.50,82.5,220.00,-230.00,-230.00,,220.00,-125.00,125.00,-137.50,,125.00,160.00,170.00,-175.00,,170.00,515.00,SBD,1,Yes,Multi-ply
Rachael Mayer,F,1989-11-06,18,F_TEM_3_AAPF,66.90,67.5,140.00,155.00,167.50,-172.50,167.50,82.50,92.50,97.50,-100.00,97.50,125.00,137.50,145.00,-150.00,145.00,410.00,SBD,1,Yes,Multi-ply
