Place,Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
4,Volodimir Vovk,87.7,207.5,162.5,257.5,627.5,93,M,Володимир Вовк,1994,SBD,Raw,Student
5,Vadim Naydenko,91.3,215,150,240,605,93,M,Вадим Найденко,1992,SBD,Raw,Student
6,Mikola Grischenko,89.75,182.5,147.5,242.5,572.5,93,M,Микола Грищенко,1995,SBD,Raw,Student
7,Denis Gangur,90.45,210,120,240,570,93,M,Денис Гангур,1996,SBD,Raw,Student
8,Maksim Poskanniy,91.95,190,135,215,540,93,M,Максим Посканний,1994,SBD,Raw,Student
9,Evgen Kondratev,84.25,190,122.5,210,522.5,93,M,Євген Кондратьєв,1992,SBD,Raw,Student
DQ,Anatoliy Andreytsev,87.3,220,,,,93,M,Анатолій Андрейцев,1996,SBD,Raw,Student
1,Vladislav Bordun,104.3,225,187.5,265,677.5,105,M,Владислав Бордун,1995,SBD,Raw,Student
2,Igor Adamchuk,104.4,230,157.5,245,632.5,105,M,Ігор Адамчук,1993,SBD,Raw,Student
3,Oleksiy Nazarchuk,104.35,215,177.5,237.5,630,105,M,Олексій Назарчук,1994,SBD,Raw,Student
4,Oleksandr Bigus,103.5,210,127.5,270,607.5,105,M,Олександр Бігус,1994,SBD,Raw,Student
5,Oleksiy Revak,100.5,200,150,220,570,105,M,Олексій Ревак,1996,SBD,Raw,Student
1,Dmitro Vovk,119,300,217.5,285,802.5,120,M,Дмитро Вовк,1996,SBD,Raw,Student
1,Pavlo Nakonechniy,137.1,262.5,175,287.5,725,120+,M,Павло Наконечний,1997,SBD,Raw,Student
2,Denis Bondar,129.95,200,150,230,580,120+,M,Денис Бондар,1992,SBD,Raw,Student
