WeightClassKg,Division,Sex,Name,BirthYear,BodyweightKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Equipment,Event
82.5,Open,M,Lysenko Alexej,1984,79.2,225.0,235.0,242.5,242.5,242.5,3,Single-ply,D
82.5,Open,M,Erfurth Ingo,1980,79.9,230.0,242.5,-250.0,242.5,242.5,4,Single-ply,D
82.5,Open,M,Pähtz Thomas,1983,80.5,240.0,-255.0,-257.5,240.0,240.0,5,Single-ply,D
90,Open,M,Melcher Matthias,1974,87.9,300.0,315.0,322.5,322.5,322.5,1,Single-ply,D
90,Open,M,Mezker Vitalij,1978,89.6,280.0,287.5,290.0,290.0,290.0,2,Single-ply,D
90,Open,M,Pojer Ronny,1977,85.2,262.5,275.0,-287.5,275.0,275.0,3,Single-ply,D
90,Open,M,Stöver Jochen,1965,88.4,252.5,275.0,-280.0,275.0,275.0,4,Single-ply,D
90,Open,M,Smolczyk Jan,1970,86.1,-260.0,260.0,-277.5,260.0,260.0,5,Single-ply,D
90,Open,M,Selzer Marco,1977,89.5,240.0,255.0,260.0,260.0,260.0,6,Single-ply,D
90,Open,M,Stuckatz David,1975,85.8,210.0,230.0,250.0,250.0,250.0,7,Single-ply,D
90,Open,M,Friedrich Daniel,1984,85.2,205.0,215.0,230.0,230.0,230.0,8,Single-ply,D
100,Open,M,Hellwig Maik,1981,97.6,315.0,330.0,-340.0,330.0,330.0,1,Single-ply,D
100,Open,M,Grapp Mykola,1982,92.5,300.0,315.0,320.0,320.0,320.0,2,Single-ply,D
100,Open,M,Zschoche Michael,1981,97.4,300.0,310.0,-317.5,310.0,310.0,3,Single-ply,D
100,Open,M,Stadler Tobias,1977,97.8,-285.0,300.0,-312.5,300.0,300.0,4,Single-ply,D
100,Open,M,Rücker Markus,1973,98.3,265.0,280.0,-290.0,280.0,280.0,5,Single-ply,D
100,Open,M,Fauter Günther,1972,94.4,250.0,272.5,-285.0,272.5,272.5,6,Single-ply,D
100,Open,M,Fydrich Frank-Udo,1980,93.6,-265.0,-265.0,265.0,265.0,265.0,7,Single-ply,D
100,Open,M,Krziwda Thomas,1973,96.1,220.0,240.0,-250.0,240.0,240.0,8,Single-ply,D
110,Open,M,Simpig Matthias,1972,101.3,260.0,280.0,295.0,295.0,295.0,1,Single-ply,D
110,Open,M,Günther Stefan,1977,107.7,280.0,295.0,-300.0,295.0,295.0,2,Single-ply,D
110,Open,M,Wellecke Torsten,1974,107.9,-280.0,280.0,-297.5,280.0,280.0,3,Single-ply,D
110,Open,M,Adami Roberto,1970,104.9,270.0,-285.0,,270.0,270.0,4,Single-ply,D
110,Open,M,Baier Stefan,1972,105.0,-260.0,270.0,-275.0,270.0,270.0,5,Single-ply,D
