Name,WeightClassKg,Age,BodyweightKg,Equipment,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,BestDeadliftKg,TotalKg,Event,Sex,Division
Brian Wadie,82.5,,,Single-ply,,,,,,,,,,,,,,,,,
Ernie Frantz,82.5,,,Single-ply,,,,,,,,,,,,,,,,,
Dean Becker,82.5,,,Single-ply,,,,,,,,,,,,,,,,,
James Grudzien,82.5,,,Single-ply,,,,,,,,,,635,-661,,,,,,
Ted Mossbarger,82.5,,,Single-ply,,,,,,,,,,,,,,,,,
Steve Gilardi,82.5,,,Single-ply,,,,,,,,,,,,,,,,,
Fred Hatfield,82.5,,,Single-ply,-672,,,,,,,,,,,,,,,,
BC Johnson,82.5,,,Single-ply,-655,-655,-655,,,,,,,,,,,,,,
Mike Capasso,82.5,,,Single-ply,-628,-628,-628,,,,,,,,,,,,,,
Roger Estep,90,,,Single-ply,,,672,,,,,,727,-755,,,,,,,
Jerry Jones,90,,,Single-ply,,,705,,,,,,-755,-755,755,-788,,,,,
James Cash,90,,,Single-ply,,688,-716,,,,,,-760,,,,,,,,
Rick Woods,90,,,Single-ply,,,,,,,,,,,,,,,,,
Gary Sanger,90,,,Single-ply,,,,,,,,,,,,,,,,,
Frank Watts,90,,,Single-ply,,,,,,,,,,,,,,,,,
Vince Anello,90,,,Single-ply,,,672,,,,446,,-777,-777,-777,,,,,,
Sam Mangialardi,90,,,Single-ply,-738,-738,-738,,,,,,,,,,,,,,
Larry Pacifico,100,,,Single-ply,,,,,,,,,,,,,,,,,
Steve Miller,100,,,Single-ply,,,,,,,,,,,,,,,,,
Chip McCain,100,,,Single-ply,,,,,,,,,,,,,,,,,
Dennis Reed,100,,,Single-ply,,,777,,,,429,,-722,-722,-722,,,,,,
Louie Simmons,100,,,Single-ply,,,,,,,,,-673,,,,,,,,
Frank Castaneda,100,,,Single-ply,-699,,,,-479,-479,-479,,,,,,,,,,
John Kuc,110,,,Single-ply,,,,,,,,,,,,,,,,,
Terry McCormick,110,,,Single-ply,,,,,,,,,,,,,,,,,
Carlton Snitkin,110,,,Single-ply,,,,,,,,,,,,,,,,,
Mark Dimiduk,110,,,Single-ply,,,,,,,,,,,,,,,,,
Aaron Rawlings,110,,,Single-ply,,,,,,,,,,,,,,,,,
John Holladay,110,,,Single-ply,,,,,,,,,,,,,,,,,
William Seno,110,,,Single-ply,,,,,,,,,,,,,,,,,
Holly Evett,110,,,Single-ply,,,,,,,,,,,,,,,,,
Steve Wilson,110,,,Single-ply,,,,,,,,,,,,,,,,,
Gene Stevens,110,,,Single-ply,,,,,,,,,,,,,,,,,
Marvin Phillips,110,,,Single-ply,,,,,,,,,,,,,,,,,
Larry Kidney,125,,,Single-ply,,,,,,,,,,,,,,,,,
Ernie Hackett,125,,,Single-ply,,,,,,,,,,,,,,,,,
Clay Patterson,125,,,Single-ply,,,,,,,,,,,,,,,,,
Dave Shaw,125,,,Single-ply,,,,,,,,,,,,,,,,,
Barney Groves,125,,,Single-ply,,,,,,,,,,,,,,,,,
Doug Young,125,,,Single-ply,,,,,,,,,,,,,,,,,
Tom Hardman,125,,,Single-ply,,,,,,,,,,,,,,,,,
Paul Wrenn,125+,,,Single-ply,,,,,,,,,,,,,,,,,
Dave Waddington,125+,,,Single-ply,,,,,,,,,,,,,,,,,
Dave Keagyy,125+,,,Single-ply,,,,,,,,,,,,,,,,,
