Name,BirthDate,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Sex,Equipment,Event
Craig Langham,,MR-M1,101.50,105,100.0,105.0,110.0,110.0,55.0,65.0,-75.0,65.0,100.0,110.0,120.0,120.0,295.0,2,M,Raw,SBD
Jack Hawkins,,MR-O,102.80,105,140.0,-150.0,150.0,150.0,82.5,92.5,-102.5,92.5,160.0,170.0,180.0,180.0,422.5,14,M,Raw,SBD
Daniel Grantham,,MR-Jr,97.80,105,145.0,155.0,162.5,162.5,80.0,85.0,90.0,90.0,160.0,180.0,190.0,190.0,442.5,13,M,Raw,SBD
Abbas Rashid,,MR-O,115.50,120,205.0,215.0,222.5,222.5,117.5,122.5,-127.5,122.5,215.0,220.0,-222.5,220.0,565.0,13,M,Raw,SBD
Thomas Maiden,,MR-Jr,103.50,105,182.5,192.5,205.0,205.0,115.0,122.5,130.0,130.0,200.0,212.5,-225.0,212.5,547.5,11,M,Raw,SBD
Declan Goater,,MR-Jr,95.70,105,175.0,190.0,-200.0,190.0,120.0,125.0,130.0,130.0,225.0,240.0,250.0,250.0,570.0,3,M,Raw,SBD
Craig Guildford,,MR-Jr,103.80,105,190.0,200.0,210.0,210.0,125.0,130.0,-135.0,130.0,240.0,252.5,-260.0,252.5,592.5,4,M,Raw,SBD
Moses Onyegbule,,MR-O,104.20,105,220.0,-235.0,-235.0,220.0,180.0,190.0,195.0,195.0,230.0,250.0,-262.5,250.0,665.0,3,M,Raw,SBD
Dermot McCloskey,,MR-O,96.30,105,215.0,227.5,-240.0,227.5,105.0,110.0,-112.5,110.0,240.0,252.5,265.0,265.0,602.5,6,M,Raw,SBD
Steven Barber,,MR-O,104.30,105,225.0,235.0,245.0,245.0,155.0,165.0,-172.5,165.0,235.0,255.0,265.0,265.0,675.0,2,M,Raw,SBD
Jason Bailey,,MR-M1,150.50,120+,140.0,160.0,180.0,180.0,140.0,-170.0,180.0,180.0,220.0,250.0,-270.0,250.0,610.0,1,M,Raw,SBD
Thomas Linley,,MR-Jr,102.70,105,190.0,205.0,220.0,220.0,130.0,140.0,150.0,150.0,245.0,262.5,280.0,280.0,650.0,1,M,Raw,SBD
James Penny,,MR-O,117.10,120,210.0,225.0,232.5,232.5,150.0,160.0,162.5,162.5,250.0,270.0,280.0,280.0,675.0,5,M,Raw,SBD
