Place,Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
4,Volodimir Vovk,81.4,250,150,240,640,83,M,Володимир Вовк,1994,SBD,Single-ply,Student
5,Sergiy Poltavets,79.15,225,155,247.5,627.5,83,M,Сергій Полтавець,1993,SBD,Single-ply,Student
6,Vadym Bilyk,82.2,255,140,227.5,622.5,83,M,Вадим Білик,1994,SBD,Single-ply,Student
7,Vladislav Levikh,79.05,240,135,235,610,83,M,Владислав Лєвих,1993,SBD,Single-ply,Student
8,Oleksandr Kozin,80.95,190,127.5,217.5,535,83,M,Олександр Козін,1993,SBD,Single-ply,Student
1,Yuriy Pruzhanskyy,86.15,295,185,282.5,762.5,93,M,Юрій Пружанський,1981,SBD,Single-ply,Student
2,Oleksandr Shitik,88.95,255,177.5,300,732.5,93,M,Олександр Шитік,1991,SBD,Single-ply,Student
3,Andriy Datsko,92.65,285,195,252.5,732.5,93,M,Андрій Дацко,1994,SBD,Single-ply,Student
4,Volodimir Kosovskiy,91.35,265,170,280,715,93,M,Володимир Косовський,1995,SBD,Single-ply,Student
5,Vadim Naydenko,88.6,242.5,165,215,622.5,93,M,Вадим Найденко,1992,SBD,Single-ply,Student
6,Yuriy Verkholyuk,92.95,170,130,155,455,93,M,Юрій Верхолюк,1996,SBD,Single-ply,Student
DQ,Andriy Filippov,92.9,,,,,93,M,Андрій Філіппов,1991,SBD,Single-ply,Student
1,Bogdan Nizhnik,101.05,305,212.5,285,802.5,105,M,Богдан Нижник,1992,SBD,Single-ply,Student
2,Igor Adamchuk,103.35,310,205,287.5,802.5,105,M,Ігор Адамчук,1993,SBD,Single-ply,Student
3,Valentin Burmistrov,102.1,330,180,280,790,105,M,Валентин Бурмістров,1990,SBD,Single-ply,Student
4,Oleksiy Revak,102.75,280,200,260,740,105,M,Олексій Ревак,1996,SBD,Single-ply,Student
DQ,Artem Yakushenko,101.8,307.5,,,,105,M,Артем Якушенко,1990,SBD,Single-ply,Student
DQ,Bogdan Vlasov,102.7,,,,,105,M,Богдан Власов,1992,SBD,Single-ply,Student
1,Yurii Monastyrskyi,105.5,200,160,200,560,120,M,Юрій Монастирський,1996,SBD,Single-ply,Student
DQ,Denis Poleschuk,117.3,310,,,,120,M,Денис Полєщук,1987,SBD,Single-ply,Student
1,Oleksandr Menshikov,120.65,315,175,255,745,120+,M,Олександр Меньшиков,1992,SBD,Single-ply,Student
1,Yelizaveta Ryzhak,45.8,105,85,110,300,47,F,Єлізавета Рижак,1990,SBD,Single-ply,Student
2,Yuliya Chepelyuk,43,95,57.5,97.5,250,47,F,Юлія Чепелюк,1994,SBD,Single-ply,Student
1,Mariya Ilnytska,50.7,140,85,152.5,377.5,52,F,Марія Ільницька,1995,SBD,Single-ply,Student
2,Darya Kuzmina,50.8,120,62.5,117.5,300,52,F,Дарья Кузьмина,1992,SBD,Single-ply,Student
3,Ivanna Polovka,52,100,45,120,265,52,F,Іванна Половка,1995,SBD,Single-ply,Student
1,Natalya Piznyak,56.25,155,90,142.5,387.5,57,F,Наталя Пізняк,1992,SBD,Single-ply,Student
2,Dariya Grekalovska,56.15,120,72.5,125,317.5,57,F,Дарія Грекаловська,1995,SBD,Single-ply,Student
3,Oleksandra Romanova,55.95,100,45,115,260,57,F,Олександра Романова,1993,SBD,Single-ply,Student
1,Vira Boboshko,62.4,180,112.5,172.5,465,63,F,Віра Бобошко,1993,SBD,Single-ply,Student
2,Svitlana Okhrimenko,60.6,130,60,152.5,342.5,63,F,Світлана Охріменко,1992,SBD,Single-ply,Student
3,Irina Kuntso,62.3,140,65,135,340,63,F,Ірина Кунцьо,1993,SBD,Single-ply,Student
4,Darina Mindal,63,100,55,115,270,63,F,Дарина Міндаль,1995,SBD,Single-ply,Student
5,Marina Kovalova,61.5,95,42.5,100,237.5,63,F,Марина Ковальова,1993,SBD,Single-ply,Student
1,Yuliya Orobets,69.7,172.5,98,160.5,431,72,F,Юлія Оробець,1995,SBD,Single-ply,Student
1,Oksana Frolova,72.1,125,52.5,125,302.5,84,F,Оксана Фролова,1990,SBD,Single-ply,Student
