Name,Sex,Division,Event,Equipment,Age,WeightClassKg,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place
Stuart Mckelvey,M,MR-O,SBD,Wraps,30,110,103.7,185,195,202.5,202.5,135,142.5,-150,142.5,205,212.5,-222.5,212.5,557.5,4
Jack Hardman,M,MR-O,SBD,Wraps,23,90,89.1,195,205,-215,205,105,115,-117.5,115,210,220,225,225,545,4
Brendan Ziedin,M,MR-O,SBD,Wraps,24,125,118.6,170,185,200,200,90,100,-112.5,100,190,210,225,225,525,7
Mick Ostini,M,MR-O,SBD,Wraps,41,100,99,180,-190,190,190,145,-155,155,155,205,217.5,-227.5,217.5,562.5,5
Connor Carbutt,M,MR-O,SBD,Wraps,15,140+,164.8,175,182.5,195,195,107.5,115,120,120,205,215,230,230,545,1
Travis Dorrington,M,MR-O,SBD,Wraps,25,100,94,200,212.5,225,225,127.5,135,142.5,142.5,210,222.5,232.5,232.5,600,4
Chris Barry,M,MR-O,SBD,Wraps,26,110,108,205,222.5,240,240,115,125,135,135,205,225,240,240,615,3
Rhyze MacNamara,M,MR-O,SBD,Wraps,24,125,121.3,180,190,200,200,140,147.5,-155,147.5,230,240,250,250,597.5,6
Rick Alchin,M,MR-O,SBD,Wraps,26,100,99,180,200,210,210,150,160,,160,250,260,265,265,635,3
Tim Best,M,MR-O,SBD,Wraps,29,100,97.4,245,-257.5,-260,245,145,155,-160,155,230,255,-275,255,655,2
Hayden Ford,M,MR-O,SBD,Wraps,24,125,122.3,225,232.5,237.5,237.5,135,145,155,155,240,260,275,275,667.5,5
Zac Kongonis,M,MR-O,SBD,Wraps,18,100,98.7,245,257.5,265,265,140,145,147.5,147.5,250,270,287.5,287.5,700,1
Jonathan Milne,M,MR-O,SBD,Wraps,35,125,117.4,250,262.5,275,275,175,187.5,200,200,260,-280,300,300,775,2
Sam Ryan-Allen,M,MR-O,SBD,Wraps,20,110,108,270,285,-300,285,170,180,185,185,275,290,-302.5,290,760,2
Paul Cassar,M,MR-O,SBD,Wraps,34,125,114.65,260,280,292.5,292.5,180,192.5,202.5,202.5,270,292.5,-305,292.5,787.5,1
Tony Beecham,M,MR-O,SBD,Wraps,42,125,116.5,250,270,290,290,60,100,,100,280,300,-310,300,690,4
Jake Fisher,M,MR-O,SBD,Wraps,25,125,124.7,190,210,220,220,165,175,182.5,182.5,280,300,322.5,322.5,725,3
Shayne Calder,M,MR-O,SBD,Wraps,26,110,109.5,315,335,350,350,160,172.5,-180,172.5,260,280,300,300,822.5,1
