Name,Sex,Age,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
Safi Abu Hamed,M,31,M_OR_APF,90,90,160,170,180,,180,190,195,,200,220,240,,615,SBD,Raw,3
Yuriy Belousov,M,24,M_OR_APF,97.5,100,170,180,-190,,125,132.5,-138,,220,230,240,,552.5,SBD,Raw,10
Andreiy  Shevchenko,M,35,M_OR_APF,119.3,125,170,185,195,,160,170,175,,220,235,245,,615,SBD,Raw,8
Abed Kaadan,M,32,M_OR_APF,121.2,125,180,185,200,,150,160,170,,220,225,250,,620,SBD,Raw,7
Eitan Caspi,M,28,M_OR_APF,96.6,100,220,230,-233,,135,-140,-140,,-265,265,272.5,,637.5,SBD,Raw,4
Vadim Katunuin,M,33,M_OR_APF,96.7,100,210,250,265,,180,190,-195,,280,295,305,,760,SBD,Raw,1
Ivan Koronchik,M,34,M_OR_APF,88.8,90,150,160,170,,130,135,-138,,190,200,,,505,SBD,Raw,14
Mike Kazakov,M,50,M_MR_3_APF,86.9,90,100,,,,-130,-130,-130,,210,-233,,,,SBD,Raw,DQ
Kolosovski Pavel,M,32,M_OR_APF,86,90,190,210,-220,,115,-123,-123,,220,,,,545,SBD,Raw,5
Oleinikov Stas,M,26,M_OR_APF,80.5,82.5,140,150,-160,,-90,-95,-95,,,,,,,SBD,Raw,DQ
Nikita Matrosov,M,16,M_TR_1_APF,56.8,60,70,-80,85,,-65,70,75,,70,80,90,,250,SBD,Raw,1
Shay Burshtein,M,18,M_TR_3_APF,71.5,75,110,115,-120,,80,85,-87.5,,115,120,125,,325,SBD,Raw,1
Stas Krishtal,M,16,M_TR_1_APF,67.2,67.5,100,105,-110,,65,70,-75,,120,132.5,140,,315,SBD,Raw,1
Fahri Bashtauwi,M,20,M_JR_APF,71.9,75,120,-130,135,,85,90,-95,,120,140,-160,,365,SBD,Raw,1
Wolfson Key,M,17,M_TR_2_APF,74.1,75,-120,-125,-125,,-75,-75,-75,,130,142.5,-150,,,SBD,Raw,DQ
Maimon Yuval,M,17,M_TR_2_APF,72.6,75,100,110,115,,70,77.5,-82.5,,130,135,140,,332.5,SBD,Raw,1
Zinger Gal,M,19,M_JR_APF,67.3,67.5,120,130,-140,,70,80,-85,,140,155,-163,,365,SBD,Raw,1
Shimon Asayag,M,58,M_MR_4_APF,67.4,67.5,85,90,95,,100,105,-110,,110,120,130,,330,SBD,Raw,1
Anatoly Lagnikov,M,52,M_MR_3_APF,65.7,67.5,90,100,110,,70,-75,-75,,120,130,140,,320,SBD,Raw,1
Vadim Kononov,M,32,M_OR_APF,65,67.5,120,130,140,,105,115,-118,,140,150,160,,415,SBD,Raw,11
Grigori Rubin,M,76,M_MR_8_APF,73,75,112.5,117.5,-123,,90,95,100,,147.5,152.5,157.5,,375,SBD,Raw,2
Felix Dishko,M,25,M_OR_APF,73.5,75,140,150,160,,115,122.5,-130,,150,165,-175,,447.5,SBD,Raw,13
Ernest Ruzin,M,75,M_MR_8_APF,63.1,67.5,120,125,130,,77.5,-82.5,-82.5,,155,162.5,165,,372.5,SBD,Raw,1
Gorodeski Vladimir,M,31,M_OR_APF,74.9,75,140,150,157.5,,100,-110,110,,170,182.5,192.5,,460,SBD,Raw,12
Michael Saig,M,16,M_TR_2_APF,82,82.5,120,135,145,,120,-128,-128,,140,160,190,,455,SBD,Raw,1
Jordan Saada,M,23,M_JR_APF,76.6,82.5,-108,110,120,,-105,105,110,,145,-180,180,,410,SBD,Raw,1
Ryzhkovich Evgeniy,M,18,M_TR_3_APF,86,90,140,-148,-148,,95,102.5,-108,,160,170,180,,422.5,SBD,Raw,1
Tal Efrat,M,21,M_JR_APF,89.1,90,-180,180,-193,,110,120,-130,,180,200,,,500,SBD,Raw,1
Bulshtein Vladislav,M,23,M_JR_APF,94.5,100,240,250,255,,120,130,-135,,180,200,220,,605,SBD,Raw,1
Pomerantzev Irena,F,43,F_MR_1_APF,45.2,48,70,75,-80,,47.5,52.5,55,,80,90,95,,225,SBD,Raw,1
Tamar Markelson,F,30,F_OR_APF,67.2,67.5,75,-80,-80,,40,45,-47.5,,100,-107.5,-110,,220,SBD,Raw,7
Yarden Shavit,F,24,F_OR_APF,59.4,60,65,75,-80,,40,47.5,52.5,,90,105,112.5,,240,SBD,Raw,6
Sasya Asraf,F,24,F_OR_APF,50.2,52,70,75,-80,,37.5,40,45,,100,107.5,-112.5,,227.5,SBD,Raw,3
Besonova Alexandra,F,28,F_OR_APF,57.5,60,70,75,-80,,45,-47.5,-47.5,,100,-110,115,,235,SBD,Raw,5
Renata Natan,F,35,F_OR_APF,48,48,90,95,100,,40,-42.5,-42.5,,100,110,120,,260,SBD,Raw,2
Shiri Berter,F,26,F_OR_APF,63.2,67.5,80,85,90,,55,60,-65,,110,-120,120,,270,SBD,Raw,4
Leisan Rafikova,F,27,F_OR_APF,75,75,105,115,125,,90,95,-100,,130,140,155,,375,SBD,Raw,1
