
EUROPEAN POWERLIFTING FEDERATION
European Men's Championships, Malaga (Spain), 08-14.05.2017
DETAILED SCORESHEET
PL.	   Lifters	BY	Team	Weight	WF	Lot	All Squat	All Bench Press	All Deadlift	TOTAL	W.pts.	Pts.
Open
 -59kg
2.	Baartvedt Hans Magne	1983	NOR	169,25	0,5435	15	400,0	400,0	400,0	5	330,0	330,0	330,0	3	330,0	340,0	345,0	2	1075,0	584,26	9
3.	Litvinenko Artem	1990	RUS	133,70	0,5629	11	405,0	415,0	415,0	2	300,0	312,5	320,0	4	320,0	330,0	335,0	5	1055,0	593,86	8
4.	Sandvik Kenneth	1975	FIN	140,07	0,5588	9	370,0	385,0	392,5	6	332,5	345,0	355,0	2	275,0	290,0	297,5	7	1045,0	583,95	  7*
5.	Valach Robert	1992	SVK	140,80	0,5583	10	400,0	410,0	   X	4	275,0	285,0	290,0	6	330,0	350,0	367,5	1	1040,0	580,63	6
—	Sahota Ranbir	1983	GBR	128,34	0,5669	14	360,0	360,0	360,0	—	210,0	220,0	235,0	7	290,0	310,0	330,0	6	DSQ	—	—
—	Lupas Ionut Florin	1989	ROU	131,12	0,5647	12	355,0	375,0	375,0	—	282,5	300,0	312,5	5	300,0	300,0	   X	—	DSQ	—	—
—	Johannsson Julian J.K.	1993	ISL	167,51	0,5444	16	385,0	402,5	402,5	3	305,0	305,0	305,0	—	340,0	375,0	375,0	4	DSQ	—	—*
Nation (points)
1. 	Russia	60	  [12+12+12+12+12]   3053,01 w.pts.
2. 	Ukraine	42	  [12+9+8+7+6]   2929,25 w.pts.
3. 	Norway	37	  [9+8+8+6+6]   2900,33 w.pts.
4. 	Poland	26	  [9+9+8]   1654,00 w.pts.
5. 	France	24	  [9+8+7]   1734,57 w.pts.
6. 	Italy	21	  [7+6+4+4]   2124,42 w.pts.
7. 	Germany	19	  [7+6+5+1]   2136,60 w.pts.
8. 	Romania	17	  [7+5+3+2]   1755,72 w.pts.
9. 	Great Britain	16	  [6+4+4+2]   1929,29 w.pts.
10. 	Sweden	14	  [9+5]   1126,12 w.pts.
11. 	Czechia	13	  [8+5]   1005,46 w.pts.
12. 	Belgium	12	  [12]   606,73 w.pts.
13. 	Estonia	12	  [12]   561,06 w.pts.
14. 	Austria	10	  [8+2]   1071,94 w.pts.
15. 	Finland	10	  [7+3]   1123,55 w.pts.
16. 	Denmark	10	  [7+3]   1038,53 w.pts.
17. 	Iceland	7	  [7]   573,86 w.pts.
18. 	Slovakia	6	  [6]   580,63 w.pts.
—  	Netherlands	—
  Best Lifters of Open
Rnk	  Lifter	 Nation	B.Weight	WF	Total	W.Points	C.Rnk.
1.	Gaishinetc Sergei	Russia	73,27	0,7244	870,0	630,23	1
2.	Svistunov Volodymyr	Ukraine	167,26	0,5445	1147,5	624,81	1
3.	Sorokin Alexey	Russia	82,71	0,6689	930,0	622,08	1
Sub-Juniors
 -53kg
1.	Prokopyev Valeriy	2001	RUS	52,89	0,9641	1	150,0	170,0	185,0	1	100,0	105,0	110,0	1	150,0	170,0	177,5	1	445,0	429,02	12
 -59kg
