Place,Name,Division,Equipment,Event,BirthDate,BirthYear,Age,Sex,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
2,Daniel Pires,Masters 1,Single-ply,SBD,,1971,48,M,91.97,93,175,185,190,190,-180,180,-185,180,190,215,225,225,595
1,Mickael Bernard,Masters 2,Single-ply,SBD,,1970,49,M,65.48,66,210,217.5,-225,217.5,190,,,190,195,,,195,602.5
1,Christophe Cherel,Masters 2,Single-ply,SBD,,1967,52,M,72.75,74,-200,200,205,205,110,115,-120,115,-220,220,240,240,560
2,Philippe Courtois,Masters 2,Single-ply,SBD,,1964,55,M,73.05,74,175,185,190,190,127.5,-132.5,132.5,132.5,-200,200,-210,200,522.5
3,Bruno Bastien,Masters 2,Single-ply,SBD,,1965,54,M,73.16,74,-160,160,165,165,150,-158,-158,150,170,180,-190,180,495
1,Jean Hugues Monique,Masters 2,Single-ply,SBD,,1969,50,M,81.4,83,215,225,-235,225,-145,145,150,150,220,230,237.5,237.5,612.5
2,Georges Mingot,Masters 2,Single-ply,SBD,,1964,55,M,81.34,83,212.5,-220,222.5,222.5,162.5,-167.5,167.5,167.5,205,212.5,-217.5,212.5,602.5
3,Stéphane Barataud,Masters 2,Single-ply,SBD,,1969,51,M,78.9,83,235,-242.5,-242.5,235,-140,140,145,145,-205,215,-222.5,215,595
1,Gemel Boughamdouz,Masters 2,Single-ply,SBD,,1963,56,M,91.43,93,240,-250,-255,240,200,,,200,207.5,217.5,-227.5,217.5,657.5
2,Gérard Ivars,Masters 2,Single-ply,SBD,,1966,53,M,92.41,93,240,-260,-265,240,-145,145,150,150,-220,-230,235,235,625
3,Michel Aguilera,Masters 2,Single-ply,SBD,,1966,53,M,92.4,93,190,205,-220,205,155,162.5,-170,162.5,210,230,250,250,617.5
DQ,Bruno Delepaut,Masters 2,Single-ply,SBD,,1964,55,M,89.63,93,220,-225,-225,220,-140,-140,-140,,-200,,,,
1,Eric Bar,Masters 2,Single-ply,SBD,,1969,50,M,118.9,120,-165,165,,165,195,-200,,195,-235,-235,235,235,595
1,Tony Chard,Masters 2,Single-ply,SBD,,1968,51,M,127.54,120+,-235,-235,235,235,200,-215,-215.5,200,250,280,-305,280,715
1,Patrick Blard,Masters 3,Single-ply,SBD,,1954,65,M,65.59,66,162.5,-167.5,170,170,90,95,-97.5,95,187.5,195,200,200,465
2,Georges Auberval,Masters 3,Single-ply,SBD,,1956,63,M,65.71,66,155,165,175,175,65,72.5,77.5,77.5,170,180,190,190,442.5
1,Patrick Malenfant,Masters 3,Single-ply,SBD,,1958,61,M,73.44,74,-172.5,172.5,180,180,120,125,-130,125,185,-200,200,200,505
2,Claude Couturier,Masters 3,Single-ply,SBD,,1952,67,M,71.53,74,170,185,192.5,192.5,117.5,122.5,-127.5,122.5,182.5,-192.5,-200,182.5,497.5
1,Patrick Mathias,Masters 3,Single-ply,SBD,,1957,62,M,81.6,83,160,170,180,180,120,-127.5,127.5,127.5,170,-180,,170,477.5
1,Julio Garcia,Masters 3,Single-ply,SBD,,1957,62,M,92.96,93,-200,-200,200,200,110,117.5,-122.5,117.5,190,-200,-200,190,507.5
1,Pascal Merlier,Masters 3,Single-ply,SBD,,1959,60,M,107.09,120,230,240,-250,240,160,185,195,195,220,-230,230,230,665
1,Gerard Dufour,Masters 4,Single-ply,SBD,,1949,71,M,73.49,74,130,143,150,150,100,107.5,110,110,-170,170,-191,170,430
2,Jacques Beauverger,Masters 4,Single-ply,SBD,,1946,73,M,72.95,74,120,130,-137.5,130,80,85,87.5,87.5,172.5,180,-187.5,180,397.5
3,Guy Fourniez,Masters 4,Single-ply,SBD,,1948,71,M,72.05,74,127.5,135,-140,135,87.5,92.5,-97.5,92.5,-147.5,155,-160,155,382.5
