Place,Name,Sex,Country,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Points,BirthDate,BirthYear
1,Nick Blockmans,M,BE,Raw,Open,61.3,66,160,167.5,172.5,172.5,-115,117.5,122.5,122.5,185,195,205,205,500,81.06
2,Kobe De Win,M,BE,Raw,Open,64.6,66,140,150,160,160,77.5,82.5,87.5,87.5,185,206,-212.5,206,453.5,71.50
3,Jonas Depaepe,M,BE,Raw,Open,65.6,66,95,102.5,-110,102.5,65,70,-75,70,105,120,135,135,307.5,48.09
4,Kenny Arijs,M,BE,Raw,Open,62.5,66,70,80,-87.5,80,-45,50,-55,50,90,107.5,,107.5,237.5,38.11
1,Michael Bernete-Diaz,M,BE,Raw,Open,72.6,74,190,200,-207.5,200,145,152.5,-160.5,152.5,215,-227.5,-227.5,215,567.5,84.15
2,Ugur Yildiz,M,TR,Raw,Open,72.6,74,160,170,-180,170,-115,-115,120,120,-200,210,220,220,510,75.62
3,Stijn Vanheste,M,BE,Raw,Open,73.2,74,172.5,-182.5,-185,172.5,110,115,-120,115,205,215,220,220,507.5,74.93
4,Dylan Doumont,M,BE,Raw,Open,71.8,74,147.5,160,165,165,107.5,112.5,115,115,-185,185,200,200,480,71.58
5,Dimas De Ridder,M,BE,Raw,Open,72.6,74,165,175,180,180,95,100,-107.5,100,175,185,-195,185,465,68.95
6,Amaro Van de Moortele,M,BE,Raw,Open,72.9,74,145,152.5,-160,152.5,85,90,95,95,185,195,205,205,452.5,66.95
7,Cedric Hermans,M,BE,Raw,Open,68.8,74,-135,142.5,-150,142.5,100,105,-110,105,-190,200,-205,200,447.5,68.25
8,Maxim Stepman,M,BE,Raw,Open,70.7,74,-140,-140,140,140,70,-72.5,72.5,72.5,180,195,205,205,417.5,62.77
1,Elias De Buck,M,BE,Raw,Open,78.9,83,-220,-220,231,231,167.5,176,-182,176,250,270,-283,270,677,96.16
2,Sebastiaan Jacobs,M,BE,Raw,Open,82.5,83,200,212.5,220.5,220.5,130,137.5,140,140,242.5,-265,-265,242.5,603,83.73
3,Gaetan Impens,M,BE,Raw,Open,82.4,83,190,200,207.5,207.5,117.5,125,130,130,215,227.5,240,240,577.5,80.24
4,Aaron Messiant,M,BE,Raw,Open,82.8,83,180,192.5,-200,192.5,125,130,-135,130,235,250,-260,250,572.5,79.35
5,Jeroen Letellier,M,BE,Raw,Open,82.4,83,200,215,-221,215,110,120,-127.5,120,210,225,-232.5,225,560,77.80
6,Gilles De Peuter,M,BE,Raw,Open,81.7,83,190,200,,200,97.5,105,-107.5,105,227.5,240,250,250,555,77.44
7,Lotfi El haloui,M,BE,Raw,Open,78.1,83,185,195,202.5,202.5,120,125,127.5,127.5,-210,222.5,-232.5,222.5,552.5,78.89
8,Kyan Joubert,M,BE,Raw,Open,81.7,83,160,170,180,180,115,122.5,-130,122.5,200,217.5,-227.5,217.5,520,72.56
9,Faruk Bag,M,BE,Raw,Open,78.4,83,182.5,190,,190,95,-102.5,-102.5,95,210,220,-225,220,505,71.96
10,Elias Said,M,BE,Raw,Open,75,83,172.5,180,-185,180,100,-107.5,-112.5,100,160,180,190,190,470,68.52
11,Gari Simonian,M,BE,Raw,Open,80.4,83,130,140,142.5,142.5,92.5,102.5,-110,102.5,175,185,195,195,440,61.90
12,Louis Druart,M,BE,Raw,Open,81.5,83,145,155,-165,155,105,112.5,-117.5,112.5,157.5,165,-170,165,432.5,60.42
13,Thomas Baerten,M,BE,Raw,Open,82.6,83,130,135,140,140,90,95,100,100,165,172.5,180,180,420,58.28
14,Yannick Hens,M,BE,Raw,Open,81.3,83,130,140,150,150,80,87.5,-92.5,87.5,140,150,162.5,162.5,400,55.95
15,Simon De Lange,M,BE,Raw,Open,82.5,83,125,132.5,140,140,97.5,-100,-102.5,97.5,145,155,162.5,162.5,400,55.54
