Name,Sex,Division,Equipment,WeightClassKg,BodyweightKg,Age,Squat4Kg,Best3SquatKg,Bench4Kg,Best3BenchKg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Tested,Event,Place
Gabriel Archuleta,M,M_TEM_1_AAPF,Multi-ply,90,86.5,15,,,138.5,137.5,,,137.50,Yes,B,1
Kevin Platt,M,M_JEM_AAPF,Multi-ply,90,90,21,,,,0,,,0.00,Yes,B,1
Mary Tawzer,F,F_MEM_3_AAPF,Multi-ply,90+,101.8,52,,,,67.5,,,67.50,Yes,B,1
Wilma Cadavona,F,F_MEM_4_AAPF,Multi-ply,,,56,,,,,,,0.00,Yes,B,1
Nora Langdon,F,F_MEM_6_AAPF,Multi-ply,90,84.1,66,,,,72.5,,,72.50,Yes,B,1
Mary Chatel,F,F_MEM_8_AAPF,Multi-ply,44,43,79,,,,25,,,25.00,Yes,B,1
Gabriel Archuleta,M,M_TEM_1_AAPF,Multi-ply,90,87,15,,,,137.5,,,137.50,Yes,B,2
Ken Wentworth,M,M_SEM_AAPF,Multi-ply,82.5,82.5,38,,,,207.5,,,207.50,Yes,B,1
Thomas Ponzio,M,M_SEM_AAPF,Multi-ply,90,89.8,39,,,236,217.5,,,217.50,Yes,B,1
Dale Szymanski,M,M_SEM_AAPF,Multi-ply,125,123.5,39,,,,292.5,,,292.50,Yes,B,1
Dave Fortner,M,M_SEM_AAPF,Multi-ply,125,121.8,38,,,,237.5,,,237.50,Yes,B,2
James Straight,M,M_SEM_AAPF,Multi-ply,140+,175.6,38,,,,265,,,265.00,Yes,B,1
David Edgil,M,M_SEM_AAPF,Multi-ply,140+,154.7,37,,,,227.5,,,227.50,Yes,B,2
Spencer Westwood,M,M_OEM_AAPF,Multi-ply,67.5,67.5,26,,247.5,,152.5,,227.50,627.50,Yes,SBD,1
Devin Cagnolatti,M,M_OEM_AAPF,Multi-ply,82.5,81.8,35,,302.5,,247.5,,255.00,805.00,Yes,SBD,1
Eric Stone,M,M_OEM_AAPF,Multi-ply,82.5,80.6,26,,292.5,,195.0,,230.00,717.50,Yes,SBD,2
Ronnie Paras,M,M_OEM_AAPF,Multi-ply,90,88.5,47,,0.0,,0,,0,0.00,Yes,SBD,1
Jason Visny,M,M_OEM_AAPF,Multi-ply,100,99.2,29,,292.5,,205,,237.5,735.00,Yes,SBD,1
John Tomasoski,M,M_OEM_AAPF,Multi-ply,110,109.2,32,,227.5,,165,,237.5,630.00,Yes,SBD,2
Tyler Nelson,M,M_OEM_AAPF,Multi-ply,110,110,24,,297.5,,202.5,,255,755.00,Yes,SBD,1
John Grosulak,M,M_OEM_AAPF,Multi-ply,,,23,,,,,,,0.00,Yes,SBD,1
Jason Gibson,M,M_OEM_AAPF,Multi-ply,140,126,35,,0.0,,0,,0,0.00,Yes,SBD,1
Brian Mielke,M,M_MEM_1_AAPF,Multi-ply,140+,144,43,,210.0,,165,,240,615.00,Yes,SBD,1
David Edmondson,M,M_MEM_2_AAPF,Multi-ply,75,67.6,47,,247.5,,122.5,231,230,600.00,Yes,SBD,1
Keith Penny,M,M_MEM_2_AAPF,Multi-ply,82.5,82.4,48,,222.5,,145,,250,617.50,Yes,SBD,1
Phil Turner,M,M_MEM_2_AAPF,Multi-ply,110,103.6,45,,110.0,,100,,150,360.00,Yes,SBD,1
Russ Bennett,M,M_MEM_2_AAPF,Multi-ply,140,130.1,46,,245.0,,210,,277.5,732.50,Yes,SBD,1
Rudy Ruettiger,M,M_MEM_3_AAPF,Multi-ply,82.5,81.6,54,,227.5,,175,,240,642.50,Yes,SBD,1
Andy Scardino,M,M_MEM_5_AAPF,Multi-ply,,,60,,,,,,,0.00,Yes,SBD,1
