Place,,WeightClassKg,BodyweightKg,Sex,Event,Equipment,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg
1,Dave Jacoby,110,109.5,M,SBD,Single-ply,1956,,,,,,,,,,
2,Fred Hatfield,110,108.3,M,SBD,Single-ply,1942,,,,,,,,,,
3,Bill Nichols,110,109.5,M,SBD,Single-ply,1958,,,,,,,,,,
4,Willie Bell,110,108.4,M,SBD,Single-ply,1961,,,,,,,,,,
5,Jerry Wood,110,108.9,M,SBD,Single-ply,,,,,,,,,,,
6,Dennis Reed,110,109.8,M,SBD,Single-ply,1939,,,,,,,,,,
7,Steve Wilson,110,109.1,M,SBD,Single-ply,1948,,,,,,,,,,
8,Mark Weih,110,109.8,M,SBD,Single-ply,,,,,,,,,,,
9,Robert Chrosniak,110,109.4,M,SBD,Single-ply,,,,,,,,,,,
10,Bill Davis,110,109.6,M,SBD,Single-ply,1956,,,,,,,,,,
11,Gil Thompson,110,105.9,M,SBD,Single-ply,1952,,,,,,,,,,
12,Mark Dimiduk,110,107,M,SBD,Single-ply,1954,,,,,,,,,,
13,Paul Immekus,110,108.8,M,SBD,Single-ply,1962,,,,,,,,,,
14,David Atterholt,110,110,M,SBD,Single-ply,,,,,,,,,,,
1,Tom Henderson,125,124,M,SBD,Single-ply,1955,,,,,,,,,,
2,Douglas Furnas,125,121.2,M,SBD,Single-ply,1959,,,,,,,,,,
3,Sam Samaniego,125,124,M,SBD,Single-ply,1955,,,,,,,,,,
4,Dave Parks,125,122.5,M,SBD,Single-ply,,,,,,,,,,,
5,Mark Chaillet,125,123.7,M,SBD,Single-ply,1956,,,,,,,,,,
6,Scott Warman,125,111.4,M,SBD,Single-ply,1956,,,,,,,,,,
7,Tim Martin,125,124.4,M,SBD,Single-ply,,,,,,,,,,,
8,Robert Dempsey,125,123.5,M,SBD,Single-ply,1959,,,,,,,,,,
DQ,Joe Morelli,125,121,M,SBD,Single-ply,,,,,,,,,,,
DQ,Larry Kidney,125,124.8,M,SBD,Single-ply,1939,,,,,,,,,,
1,George Hechter,125+,153.6,M,SBD,Single-ply,1961,,,,,,,,,,
2,Doyle Kenady,125+,135,M,SBD,Single-ply,1948,,,,,,,,,,
3,Mike Hall,125+,163.3,M,SBD,Single-ply,1956,,,,,,,,,,
4,Gus Rethwisch,125+,155.2,M,SBD,Single-ply,1947,,,,,,,,,,
DQ,Dave Waddington,125+,141,M,SBD,Single-ply,1952,,,,,,,,,,
