Place,CyrillicName,BirthYear,BodyweightKg,Sex,WeightClasskg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
1,Геннадий Ерёмин,1977,82.05,M,82.5,335,247.5,300,882.5,SBD,Single-ply
2,Алексей Эрнандес-Ортега,1984,82.5,M,82.5,335,235,307.5,877.5,SBD,Single-ply
3,Сергей Богданов,1985,82.5,M,82.5,335,240,300,875,SBD,Single-ply
4,Олег Туров,1979,82.4,M,82.5,345,200,315,860,SBD,Single-ply
5,Антон Попцов,1982,82.3,M,82.5,325,182.5,302.5,810,SBD,Single-ply
6,Артём Зайцев,1985,82.5,M,82.5,315,185,290,790,SBD,Single-ply
7,Руслан Сорокин,1983,81.4,M,82.5,300,190,280,770,SBD,Single-ply
DQ,Алексей Кривоногов,1980,82.1,M,82.5,330,202.5,,,SBD,Single-ply
DQ,Сергей Саранский,1979,82.05,M,82.5,335,,,,SBD,Single-ply
1,Андрей Беляев,1983,90,M,90,380,260,370,1010,SBD,Single-ply
2,Дмитрий Степанов,1982,89.55,M,90,335,220,330,885,SBD,Single-ply
3,Александр Кокорнов,1964,87.55,M,90,315,205,295,815,SBD,Single-ply
4,Александр Глушаков,1979,89.95,M,90,300,205,300,805,SBD,Single-ply
5,Геннадий Данилов,1978,89.95,M,90,305,190,305,800,SBD,Single-ply
6,Левон Тавакалов,1988,89.15,M,90,290,210,290,790,SBD,Single-ply
DQ,Сергей Суходолин,1989,88.1,M,90,330,,,,SBD,Single-ply
DQ,Игорь Руднев,1983,87.8,M,90,320,,,,SBD,Single-ply
DQ,Степан Оленников,1985,89.95,M,90,,,,,SBD,Single-ply
NS,Валерий Мамеев,1988,,M,90,,,,,SBD,Single-ply
DQ,Белозёров Дмитрий,1987,90,M,90,337.5,185,327.5,850,SBD,Single-ply
1,Константин Лебедко,1981,98.4,M,100,365,275,350,990,SBD,Single-ply
2,Андрей Тарасенко,1975,94,M,100,387.5,252.5,340,980,SBD,Single-ply
3,Алексей Малунин,1978,99.7,M,100,370,260,320,950,SBD,Single-ply
4,Иван Соловьёв,1984,99.9,M,100,375,240,320,935,SBD,Single-ply
5,Дмитрий Попов,1987,99.3,M,100,340,237.5,300,877.5,SBD,Single-ply
6,Николай Углянкин,1967,99.05,M,100,340,225,300,865,SBD,Single-ply
DQ,Анатолий Архангельский,1979,98,M,100,372.5,,,,SBD,Single-ply
DQ,Виктор Колтаков,1981,98.95,M,100,,,,,SBD,Single-ply
DQ,Павел Головко,1976,98.95,M,100,312.5,,,,SBD,Single-ply
DQ,Виталий Свининов,1986,95.2,M,100,325,,,,SBD,Single-ply
1,Максим Бархатов,1981,109.15,M,110,400,245,370,1015,SBD,Single-ply
2,Евгений Ковальков,1982,108.9,M,110,370,245,340,955,SBD,Single-ply
3,Дмитрий Решетов,1974,109.25,M,110,315,257.5,322.5,895,SBD,Single-ply
4,Михаил Чухонцев,1979,105.15,M,110,330,225,310,865,SBD,Single-ply
5,Евгений Курцев,1971,109.5,M,110,330,240,280,850,SBD,Single-ply
6,Дмитрий Усов,1990,107.6,M,110,305,170,280,760,SBD,Single-ply
DQ,Андрей Шурбенков,1979,109.15,M,110,,260,345,,SBD,Single-ply
DQ,Владимир Кондратович,1983,100.6,M,110,,250,,,SBD,Single-ply
DQ,Максим Сальников,1981,108.95,M,110,,,,,SBD,Single-ply
DD,Ахметов Ренад,1961,109.9,M,110,310,230,300,850,SBD,Single-ply
1,Игорь Гагин,1969,124,M,125,420,270,350,1040,SBD,Single-ply
2,Николай Суслов,1979,117.3,M,125,400,275,345,1020,SBD,Single-ply
3,Тамерлан Башхаджиев,1978,123,M,125,390,270,350,1010,SBD,Single-ply
4,Тимур Гадиев,1985,123.7,M,125,370,250,315,935,SBD,Single-ply
5,Юрий Мусихин,1984,122.45,M,125,355,225,345,925,SBD,Single-ply
6,Михаил Виасовский,1984,123.45,M,125,365,220,320,905,SBD,Single-ply
7,Евгений Айбулатов,1979,118.9,M,125,370,200,310,880,SBD,Single-ply
8,Александр Червяков,1988,111.95,M,125,310,217.5,320,847.5,SBD,Single-ply
DQ,Игорь Прохоров,1976,116.45,M,125,355,,,,SBD,Single-ply
DQ,Алексей Липатов,1976,114.5,M,125,,,,,SBD,Single-ply
1,Андрей Маланичев,1977,128.1,M,125+,430,290,402.5,1122.5,SBD,Single-ply
2,Антон Кибирев,1982,137.9,M,125+,420,275,350,1045,SBD,Single-ply
3,Олег Гагин,1975,163.2,M,125+,420,275,322.5,1017.5,SBD,Single-ply
4,Сергей Суров,1974,135,M,125+,405,295,315,1015,SBD,Single-ply
5,Сергей Мельников,1985,142.1,M,125+,402.5,215,330,947.5,SBD,Single-ply
6,Дмитрий Иванов,1984,147.6,M,125+,387.5,220,320,927.5,SBD,Single-ply
7,Алексей Михалёв,1984,142.8,M,125+,350,260,285,895,SBD,Single-ply
8,Александр Березин,1974,141.3,M,125+,220,305,240,765,SBD,Single-ply
9,Дмитрий Чечурин,1977,135.65,M,125+,200,275,260,735,SBD,Single-ply
NS,Андрей Решетняк,1979,,M,125+,,,,,SBD,Single-ply
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
