Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
8,Yuriy Pruzhanskyy,66.1,165,175,182.5,182.5,100,110,-112.5,110,,195,202.5,207.5,207.5,500,67.5,M,Юрій Пружанський,1981,SBD,Single-ply,Juniors
9,Andriy Nagirnyy,64.1,190,200,205,205,95,-105,-105,95,,170,180,187.5,187.5,487.5,67.5,M,Андрій Нагірний,1982,SBD,Single-ply,Juniors
DQ,Stanislav Gibner,66.65,-230,230,-235,230,-125,-125,-125,,,,,,,,67.5,M,Станіслав Гібнер,1979,SBD,Single-ply,Juniors
DQ,Dmytro Ubeykon',66,-235,-235,-235,,,,,,,,,,,,67.5,M,Дмитро Убейконь,1981,SBD,Single-ply,Juniors
1,Artem Nikolenko,74.8,290,300,307.5,307.5,-180,180,187.5,187.5,,250,-262.5,262.5,262.5,757.5,75,M,Артем Ніколенко,1979,SBD,Single-ply,Juniors
2,Oleksiy Kryvoshey,74.9,250,270,277.5,277.5,137.5,145,150,150,,250,-272.5,272.5,272.5,700,75,M,Олексій Кривошей,1983,SBD,Single-ply,Juniors
3,Yuriy Zverev,74.6,220,230,240,240,130,-140,140,140,,242.5,250,260,260,640,75,M,Юрій Звєрєв,1979,SBD,Single-ply,Juniors
4,Yevgen Gapchuk,74.8,250,257.5,262.5,262.5,-125,125,130,130,,-232.5,232.5,247.5,247.5,640,75,M,Євген Гапчук,1981,SBD,Single-ply,Juniors
5,Ruslan Popovich,73.95,230,242.5,252.5,252.5,150,155,-160,155,,230,-242.5,-242.5,230,637.5,75,M,Руслан Попович,1978,SBD,Single-ply,Juniors
6,Mykhaylo Buzan,74,220,230,240,240,135,140,-145,140,,240,255,-262.5,255,635,75,M,Михайло Бузан,1981,SBD,Single-ply,Juniors
7,Oleksiy Savchenko,74.8,-220,-220,235,235,125,135,145,145,,225,-235,,225,605,75,M,Олексій Савченко,1982,SBD,Single-ply,Juniors
8,Volodymyr Kladovyy,74.4,205,215,-222.5,215,120,125,127.5,127.5,,240,-282.5,-282.5,240,582.5,75,M,Володимир Кладовий,1984,SBD,Single-ply,Juniors
9,Roman Akhlestin,74.7,190,210,220,220,140,150,-160,150,,190,200,-210,200,570,75,M,Роман Ахлестін,1979,SBD,Single-ply,Juniors
DQ,Volodymyr Bettyar,73.05,-210,,,,,,,,,,,,,,75,M,Володимир Беттяр,1984,SBD,Single-ply,Juniors
1,Ivan Shlyakhta,82.45,307.5,317.5,323.5,323.5,-175,175,182.5,182.5,,320,330,-340.5,330,836,82.5,M,Іван Шляхта,1981,SBD,Single-ply,Juniors
2,Anton Yatskov,82.45,290,300,-310,300,167.5,172.5,175,175,,300,310,-315,310,785,82.5,M,Антон Яцков,1982,SBD,Single-ply,Juniors
3,Andriy Zabozhnyy,81.3,300,-315,315,315,155,160,-162.5,160,,280,290,-310,290,765,82.5,M,Андрій Забожний,1978,SBD,Single-ply,Juniors
4,Sergiy Naleykin,78.9,-310,310,-320,310,165,175,180,180,,250,-260,-260,250,740,82.5,M,Сергій Налейкін,1981,SBD,Single-ply,Juniors
5,Vadym Mokhnyk,82.2,-280,280,-285,280,180,-185,-185,180,,260,-275,-275,260,720,82.5,M,Вадим Мохник,1980,SBD,Single-ply,Juniors
6,Sergiy Pevnev,81.1,-240,240,250,250,170,180,-185,180,,255,-265,-265,255,685,82.5,M,Сергій Певнєв,1978,SBD,Single-ply,Juniors
7,Roman Manuylov,80.9,-225,-225,225,225,-150,-155,155,155,,265,-285,-285,265,645,82.5,M,Роман Мануйлов,1979,SBD,Single-ply,Juniors
8,Sergiy Osypchuk,80.5,-240,240,-250,240,-137.5,-137.5,137.5,137.5,,-235,235,-245,235,612.5,82.5,M,Сергій Осипчук,1983,SBD,Single-ply,Juniors
9,Igor Rubanyy,80.9,200,205,220,220,125,-135,-135,125,,230,240,245,245,590,82.5,M,Ігор Рубаний,1981,SBD,Single-ply,Juniors
10,Oleksandr Brykin,81.4,225,-235,-235,225,132.5,-140,-145,132.5,,220,227.5,-232.5,227.5,585,82.5,M,Олександр Брикін,1983,SBD,Single-ply,Juniors
DQ,Maxym Slastov,80.9,240,-250,250,250,-145,,,,,,,,,,82.5,M,Максим Сластов,1981,SBD,Single-ply,Juniors
1,Sergey Didovyk,89.9,-330,340,355,355,205,212.5,220,220,,285,300,-310,300,875,90,M,Сергій Дідовик,1978,SBD,Single-ply,Juniors
2,Ivan Freydun,88.9,320,330,335,335,220,227.5,-232.5,227.5,,310,-320,-320,310,872.5,90,M,Іван Фрейдун,1981,SBD,Single-ply,Juniors
3,Kostyantyn Milyutin,89.45,300,310,317.5,317.5,190,200,205,205,,255,267.5,272.5,272.5,795,90,M,Костянтин Мілютин,1978,SBD,Single-ply,Juniors
4,Dmytro Momrenko,90,-290,290,-310,290,160,-165,-167.5,160,,290,-307.5,,290,740,90,M,Дмитро Момренко,1982,SBD,Single-ply,Juniors
5,Mykhaylo Artsymovych,88.35,280,-285,-285,280,155,160,162.5,162.5,,262.5,270,-297.5,270,712.5,90,M,Михайло Арцимович,1982,SBD,Single-ply,Juniors
6,Mykola Sokolov,89.2,255,270,-275,270,180,-187.5,-187.5,180,,245,255,,255,705,90,M,Микола Соколов,1979,SBD,Single-ply,Juniors
7,Oleksandr Bashkatov,89.4,-270,-270,270,270,160,170,175,175,,260,-270,-270,260,705,90,M,Олександр Башкатов,1982,SBD,Single-ply,Juniors
8,Volodymyr Zamakhivskyy,89.4,230,240,-250,240,150,-160,,150,,260,275,-285,275,665,90,M,Володимир Замахівський,1979,SBD,Single-ply,Juniors
DQ,Ivan Aslanov,89.75,280,-287.5,-287.5,280,-210,-210,-210,,,,,,,,90,M,Іван Асланов,1980,SBD,Single-ply,Juniors
DQ,Oleksiy Rokochyy Jr,89.15,-345,-345,-345,,,,,,,,,,,,90,M,Олексій Рокочий мол,1981,SBD,Single-ply,Juniors
DQ,Artem Mironenko,89.85,-300,-310,-310,,,,,,,,,,,,90,M,Артем Мироненко,1982,SBD,Single-ply,Juniors
1,Oleksiy Vyshnytskyy,97.25,330,345,350,350,190,-200,200,200,,345,-355,355,355,905,100,M,Олексій Вишницький,1981,SBD,Single-ply,Juniors
2,Oleksandr Balanda,97.05,-270,-285,285,285,180,200,,200,,290,305,320,320,805,100,M,Олександр Баланда,1979,SBD,Single-ply,Juniors
3,Roman Voroshylin,96.7,290,-302.5,312.5,312.5,165,172.5,-177.5,172.5,,300,-310,-310,300,785,100,M,Роман Ворошилін,1983,SBD,Single-ply,Juniors
4,Sergiy Koshel',96.25,250,260,265,265,170,175,-177.5,175,,290,-307.5,-307.5,290,730,100,M,Сергій Кошель,1978,SBD,Single-ply,Juniors
5,Mykhaylo Stadnyk,98.4,225,230,-237.5,230,145,-150,-150,145,,-225,-230,230,230,605,100,M,Михайло Стадник,1982,SBD,Single-ply,Juniors
DQ,Vitaliy Stretovich,99,290,-302.5,-302.5,290,185,192.5,-200,192.5,,-285,-285,,,,100,M,Віталій Стретович,1981,SBD,Single-ply,Juniors
1,Viktor Karpik,102.65,330,345,355,355,190,200,207.5,207.5,,310,-332.5,-332.5,310,872.5,110,M,Віктор Карпік,1978,SBD,Single-ply,Juniors
2,Yevgen Yarymbash,103.15,290,305,315,315,200,210,217.5,217.5,,290,297.5,-305,297.5,830,110,M,Євген Яримбаш,1983,SBD,Single-ply,Juniors
3,Viktor Yurchenko,109.8,290,310,315,315,185,195,200,200,,275,290,305,305,820,110,M,Віктор Юрченко,1980,SBD,Single-ply,Juniors
4,Mykhaylo Paller,108.4,300,-307.5,,300,200,212.5,-222.5,212.5,,265,272.5,-277.5,272.5,785,110,M,Михайло Паллер,1980,SBD,Single-ply,Juniors
5,Yuriy Peyko,107.3,270,277.5,282.5,282.5,155,162.5,-165,162.5,,290,-320,-320,290,735,110,M,Юрій Пейко,1978,SBD,Single-ply,Juniors
6,Mykola Gorbachev,102.4,-250,250,-270,250,160,172.5,180,180,,250,260,-270,260,690,110,M,Микола Горбачов,1978,SBD,Single-ply,Juniors
7,Ivan Slizhuk,106.3,220,240,260,260,150,170,-190,170,,230,250,-265,250,680,110,M,Іван Слижук,1980,SBD,Single-ply,Juniors
DQ,Andriy Brovchenko,106.6,270,290,-300,290,-170,-170,-170,,,,,,,,110,M,Андрій Бровченко,1978,SBD,Single-ply,Juniors
1,Vitaliy Papazov,123.1,370,385,400,400,250,260,265,265,,335,350,-362.5,350,1015,125,M,Віталій Папазов,1980,SBD,Single-ply,Juniors
2,Sergiy Karnaukhov,117.55,-365,365,385,385,215,222.5,227.5,227.5,,-340,340,-355,340,952.5,125,M,Сергій Карнаухов,1978,SBD,Single-ply,Juniors
3,Vyacheslav Kutsenko,110.6,210,230,250,250,125,135,-150,135,,200,210,-225,210,595,125,M,В'ячеслав Куценко,1979,SBD,Single-ply,Juniors
1,Valeria Malukha,44,110,117.5,120,120,67.5,70,73,73,75,105,115,-120,115,308,44,F,Валерія Малуха,1987,SBD,Single-ply,Juniors
2,Oksana Dmytruk,43.95,-105,105,-115,105,57.5,-62.5,-82.5,57.5,,110,-120,-120,110,272.5,44,F,Оксана Дмитрук,1983,SBD,Single-ply,Juniors
3,Yelyzaveta Nazina,42.95,90,100,105,105,37.5,42.5,45,45,,90,95,100,100,250,44,F,Єлізавета Назіна,1988,SBD,Single-ply,Juniors
4,Iryna Trubilina,43.45,-95,95,-100,95,42.5,-47.5,-47.5,42.5,,100,-110,110,110,247.5,44,F,Ірина Трубіліна,1983,SBD,Single-ply,Juniors
5,Anna Kostreba,43.15,75,-82.5,-85,75,40,-45,45,45,,75,85,-90,85,205,44,F,Анна Костреба,1988,SBD,Single-ply,Juniors
DQ,Maryana Plaksyva,43.45,110,117.5,122.5,122.5,50,52.5,55,55,,-112.5,-112.5,-112.5,,,44,F,Мар'яна Плаксива,1987,SBD,Single-ply,Juniors
1,Olena Volodarska,47.9,110,-120,-120,110,60,65,-67.5,65,,130,140,-142.5,140,315,48,F,Олена Володарська,1981,SBD,Single-ply,Juniors
2,Olena Sychanina,47.35,100,107.5,-112.5,107.5,65,70,75,75,,122.5,127.5,-132.5,127.5,310,48,F,Олена Сичаніна,1979,SBD,Single-ply,Juniors
3,Olena Dmytruk,47.6,120,-125,-125,120,60,-65,-65,60,,130,-137.5,-137.5,130,310,48,F,Олена Дмитрук,1983,SBD,Single-ply,Juniors
4,Taisiya Kuznetsova,48,110,-120,120,120,55,-60,-60,55,,-110,110,-120,110,285,48,F,Таїсія Кузнецова,1986,SBD,Single-ply,Juniors
5,Kateryna Klymenko,45.25,90,-100,-100,90,52.5,57.5,-62.5,57.5,,110,120,-122.5,120,267.5,48,F,Катерина Клименко,1985,SBD,Single-ply,Juniors
6,Kseniya Loza,46.75,80,85,87.5,87.5,50,52.5,-55,52.5,,100,105,110,110,250,48,F,Ксенія Лоза,1978,SBD,Single-ply,Juniors
7,Anastasiya Martsafey,46.8,75,85,90,90,35,40,-42.5,40,,95,102.5,110,110,240,48,F,Анастасія Марцафей,1986,SBD,Single-ply,Juniors
8,Nizar Mekhtieva,47.1,-80,80,85,85,40,45,-47.5,45,,90,102.5,-105,102.5,232.5,48,F,Нізар Мехтієва,1984,SBD,Single-ply,Juniors
1,Tetyana Skrypka,51.45,142.5,147.5,150,150,75,80,-82.5,80,,145,157.5,162.5,162.5,392.5,52,F,Тетяна Скрипка,1987,SBD,Single-ply,Juniors
2,Zhanna Kartashova,51.6,105,-112.5,112.5,112.5,60,-67.5,67.5,67.5,,120,130,-132.5,130,310,52,F,Жанна Карташова,1985,SBD,Single-ply,Juniors
3,Vladyslava Zelinska,52,-90,90,100,100,40,42.5,-45,42.5,,90,97.5,-107.5,97.5,240,52,F,Владислава Зелінська,1981,SBD,Single-ply,Juniors
1,Anna Sinelnikova,55.85,135,140,142.5,142.5,82.5,87.5,90,90,,140,147.5,150,150,382.5,56,F,Анна Синельникова,1984,SBD,Single-ply,Juniors
2,Olga Oleynyk,55.65,140,147.5,150,150,75,-80,-80,75,,135,140,-145,140,365,56,F,Ольга Олейник,1980,SBD,Single-ply,Juniors
3,Nadiya Petrovska,54.9,130,135,140,140,75,80,82.5,82.5,,130,135,140,140,362.5,56,F,Надія Петровська,1986,SBD,Single-ply,Juniors
4,Oksana Manokha,56,130,137.5,-142.5,137.5,60,-70,-70,60,,-135,-135,135,135,332.5,56,F,Оксана Маноха,1984,SBD,Single-ply,Juniors
5,Mariya Nasedkina,54.8,120,125,-130,125,55,57.5,-60,57.5,,127.5,135,137.5,137.5,320,56,F,Марія Наседкіна,1978,SBD,Single-ply,Juniors
6,Yuliya Kutsenko,55.15,100,110,115,115,42.5,45,47.5,47.5,,95,-102.5,110,110,272.5,56,F,Юлія Куценко,1983,SBD,Single-ply,Juniors
DQ,Iryna Gumenna,54.85,120,-130,-130,120,-80,-80,,,,,,,,,56,F,Ірина Гуменна,1982,SBD,Single-ply,Juniors
1,Larysa Soloviova,59.65,180,190,195,195,105,-112.5,-112.5,105,,190,197.5,202.5,202.5,502.5,60,F,Лариса Соловйова,1978,SBD,Single-ply,Juniors
2,Zhanna Ivanova,57.95,160,170,175,175,77.5,82.5,85,85,,160,-165,-165,160,420,60,F,Жанна Иванова,1984,SBD,Single-ply,Juniors
3,Natalya Zinchuk,58.55,130,140,-145,140,65,-70,-70,65,,140,150,-155,150,355,60,F,Наталя Зінчук,1980,SBD,Single-ply,Juniors
4,Alla Trofimova,58.65,110,122.5,,122.5,72.5,75,77.5,77.5,,135,145,-150,145,345,60,F,Алла Трофімова,1978,SBD,Single-ply,Juniors
1,Oxana Sasko,62.65,140,170,185,185,90,97.5,102.5,102.5,,140,160,172.5,172.5,460,67.5,F,Оксана Сасько,1982,SBD,Single-ply,Juniors
2,Natalya Grigoryeva,67.05,172.5,-175,-175,172.5,80,-85,85,85,,160,172.5,-177.5,172.5,430,67.5,F,Наталя Григор'єва,1981,SBD,Single-ply,Juniors
3,Oleksandra Bilyakova,63.9,125,135,-145,135,70,-75,-80,70,,130,140,-150,140,345,67.5,F,Олександра Білякова,1979,SBD,Single-ply,Juniors
4,Natalya Venger,65.9,115,125,135,135,70,75,80,80,,115,125,-140,125,340,67.5,F,Наталя Венгер,1981,SBD,Single-ply,Juniors
DQ,Kateryna Boroday,67.3,-165,165,175,175,-90,-90,-90,,,,,,,,67.5,F,Катерина Збандут,1983,SBD,Single-ply,Juniors
1,Nina Toropovska,69.65,-180,180,195,195,100,-105,-105,100,,180,195,-200,195,490,75,F,Ніна Тороповська,1981,SBD,Single-ply,Juniors
2,Anna Samoylenko,74,145,-150,-150,145,62.5,67.5,70,70,,150,155,157.5,157.5,372.5,75,F,Анна Самойленко,1983,SBD,Single-ply,Juniors
6,Liana Gudz',74.8,-140,140,152.5,152.5,67.5,72.5,-75,72.5,,-145,145,-157.5,145,370,75,F,Ліана Гудзь,1983,SBD,Single-ply,Juniors
DQ,Polina Novinska,73.9,125,130,-135,130,65,70,77.5,77.5,,-125,-125,-125,,,75,F,Поліна Новинська,1982,SBD,Single-ply,Juniors
1,Iryna Yavorska,80.7,185,195,200,200,105,110,-115,110,,190,197.5,202.5,202.5,512.5,82.5,F,Ірина Яворська,1981,SBD,Single-ply,Juniors
2,Yana Petrenko,75.1,170,180,185,185,105,-110,110,110,,190,200.5,-202.5,200.5,495.5,82.5,F,Яна Петренко,1981,SBD,Single-ply,Juniors
1,Natalya Polishchuk,83.25,170,185,-195,185,112.5,-117.5,117.5,117.5,,180,190,-200,190,492.5,90,F,Наталя Поліщук,1978,SBD,Single-ply,Juniors
2,Ganna Lytvyn,83,180,187.5,192.5,192.5,95,100,-105,100,,170,-192.5,,170,462.5,90,F,Анна Литвин,1983,SBD,Single-ply,Juniors
3,Galina Kotsaba,87.65,125,135,140,140,82.5,87.5,90,90,,125,135,142.5,142.5,372.5,90,F,Галина Коцаба,1982,SBD,Single-ply,Juniors
1,Viktoriya Olenytsya,99.65,160,-180,180,180,95,102.5,107.5,107.5,,180,190,-202.5,190,477.5,90+,F,Вікторія Олениця,1984,SBD,Single-ply,Juniors
