 , , 
,,
,,
подготовил Сергей Рыжук,,
,,
XI Первенство Украины среди юниоров,,
,,
"г. Коломыя, 2 - 6 марта 2001 года.",,
,,
,,
,,
ЮНИОРКИ,,
,,
"6. Головань Алексей/81         Черкасская               67,50  220,0   122,5   212,5    555,0  А.Стеценко, О.Мовчан",,
"7. Демчан Николай/80           Киев                     67,20  200,0   142,5   205,0    547,5  С.Базаев",,
"8. Архипенко Владимир/80       Черкасская               64,65  180,0   127,5   207,5    515,0  А.Коваль",,
"9. Пружанский Юрий/81          Луганская                66,10  182,5   110,0   207,5    500,0  В.Урбан",,
"10. Нагирный Андрей/82          Тернопольская            64,10  205,0    95,0   187,5    487,5  Т.Багрий, А.Багрий",,
"-  Гибнер Станислав/79         Харьковская              66,65  230,0   ---,-   ---,-        0  В.Карпенко",,
"-  Убейконь Дмитрий/81         Севастополь              66,00  ---,-   ---,-   ---,-        0  С.Изосимов, Ю.Бутенко",,
,,
"-75,00 кг.",,
"1. Николенко Артем/79          Донецкая                 74,80  307,5   187,5   262,5    757,5  И.Збандут, С.Романенко",,
"2. Кривошей Алексей/83         Севастополь              74,90  277,5   150,0   272,5    700,0  О.Хоменко",,
"3. Зверев Юрий/79              Львовская                74,60  240,0   140,0   260,0    640,0  В.Шепотько, А.Рокочий",,
"4. Гапчук Евгений/81           Львовская                74,80  262,5   130,0   247,5    640,0  Ю.Бутенко",,
"5. Бузан Михаил/81             Одесская                 74,00  240,0   140,0   255,0    635,0  С.Дидовик",,
"6. Попович Руслан/78           Черкасская               73,95  242,5   155,0   230,0    627,5  А.Стеценко",,
"7. Савченко Алексей/82         Севастополь              74,30  235,0   145,0   225,0    605,0  О.Хоменко",,
"8. Кладовый Владимир/84        Полтавская               74,40  215,0   127,5   240,0    582,5  Ю.Гордиенко, О.Гордиенко",,
"9. Ахлестин Роман/79           Луганская                74,70  220,0   150,0   200,0    570,0  В.Карпов",,
"-  Беттяр Владимир/84          Киевская                 73,05  ---,-   ---,-   ---,-        0  В.Давыдюк",,
,,
"-82,50 кг.",,
"1. Шляхта Иван/81              Донецкая                 82,45  322,5   182,5   330,0    835,0  И.Збандут, С.Романенко",,
"2. Яцков Антон/82              Донецкая                 82,45  300,0   175,0   310,0    785,0  В.Яцков",,
"3. Забожный Андрей/78          Киевская                 81,30  315,0   160,0   290,0    765,0  В.Давыдюк",,
"4. Налейкин Сергей/81          Киев                     78,90  310,0   180,0   250,0    740,0  В.Налейкин",,
"5. Мохник Вадим/80             Винницкая                82,20  280,0   180,0   260,0    720,0  А.Мохник",,
"6. Певнев Сергей/78            Запорожская              81,10  250,0   180,0   255,0    685,0  Л.Котенджи",,
"7. Мануйлов Роман/79           АР Крым                  80,90  225,0   155,0   265,0    645,0  О.Моренец, С.Изосимов",,
"8. Осипчук Сергей/83           Киевская                 80,50  240,0   137,5   235,0    612,5  С.Тетянюк",,
"9. Рубаный Игорь/81            Черновицкая              80,20  220,0   125,0   245,0    590,0  самостоятельно",,
"10. Брыкин Александр/83         Севастополь              81,40  225,0   132,5   227,5    585,0  О.Хоменко",,
,,
"-90,00 кг.",,
"1. Дидовик Сергей/78           Одесская                 89,90  355,0   220,0   300,0    875,0  И.Улятовский, О.Чижевский",,
"2. Фрейдун Иван/81             Львовская                88,90  335,0   227,5   310,0    872,5  Гайдучок, И.Бубен",,
"3. Милютин Константин/78       Киев                     89,45  317,5   205,0   277,5    795,0  В.Налейкин",,
"4. Момренко Дмитрий/82         Донецкая                 90,00  290,0   150,0   290,0    740,0  В.Яцков",,
"5. Арцимович Михаил/82         Киевская                 88,35  280,0   162,5   270,0    712,5  И.Антипенко, В.Давыдюк",,
"6. Соколов Николай/79          Севастополь              89,20  270,0   180,0   255,0    705,0  О.Хоменко",,
"7. Башкатов Александр/82       Донецкая                 89,40  270,0   175,0   260,0    705,0  О.Закиров",,
"8. Замехивский Владимир/79     Львовская                89,40  240,0   150,0   275,0    665,0  В.Бутенко, О.Зимба",,
"-  Коготков Дмитрий/83         Севастополь                     ---,-   ---,-   ---,-        0  О.Хоменко",,
"-  Асланов Иван/80             Запорожская-Донецкая     89,75  280,0   ---,-   ---,-        0  О.Котлубей, Л.Котенджи",,
"-  Мироненко Артем/82          Киев                     89,85  ---,-   ---,-   ---,-        0  В.Налейкин",,
"-  Осипчук Андрей/             Киевская                        ---,-   ---,-   ---,-        0  самостоятельно",,
"-  Рокочий Алексей/81          Донецкая                 89,15  ---,-   ---,-   ---,-        0  А.Рокочий, В.Шепотько",,
,,
"-100,00 кг.",,
"1. Вишницкий Алексей/81        Харьковская              97,25  350,0   200,0   355,0    905,0  В.Карпенко, А.Чернышов",,
"2. Баланда Александр/79        Донецкая                 97,05  285,0   200,0   320,0    805,0  Т.Нагорный, А.Борик",,
"3. Ворошилин Роман/83          Донецкая-Запорожская     96,70  312,5   172,5   300,0    785,0  А.Котлубей, Л.Котенджи",,
"4. Кошель Сергей/78            Запорожская              96,25  265,0   175,0   290,0    730,0  Л.Котенджи",,
"5. Стадник Михаил/82           Тернопольская            98,40  230,0   145,0   230,0    605,0  Т.Багрий, А.Багрий",,
"-  Стретович Виталий/81        Киев                     99,00  290,0   192,5   ---,-        0  М.Ковтуненко",,
,,
"-110,00 кг.",,
"1. Карпик Виктор/78            Донецкая-Запорожская    102,65  355,0   207,5   310,0    872,5  О.Котенджи, Л.Котенджи",,
"2. Ярымбаш Евгений/83          Донецкая-Запорожская    103,15  315,0   217,5   297,5    830,0  А.Котлубей, Л.Котенджи",,
"3. Юрченко Виктор/80           Черкасская              109,80  315,0   200,0   305,0    820,0  А.Стеценко",,
"4. Паллер Михаил/80            Севастополь             108,40  300,0   212,5   272,5    785,0  О.Хоменко",,
"5. Пейко Юрий/78               Черновицкая             107,30  282,5   162,5   290,0    735,0  В.Крушельницкий",,
"6. Горбачов Сергей/78          Севастополь             102,40  250,0   180,0   260,0    690,0  О.Хоменко",,
"7. Слижук Иван/80              Ивано-Франковская       106,30  260,0   170,0   250,0    680,0  В.Фиголь",,
"-  Бровченко Андрей/78         Харьковская             106,60  290,0   ---,-   ---,-        0  В.Карпенко, А.Чернышов",,
,,
"-125,00 кг.",,
"1. Папазов Виталий/80          Донецкая-Запорожская    123,10  400,0   265,0   350,0   1015,0  А.Котенджи, Л.Котенджи",,
"2. Карнаухов Сергей/78         Днепропетровская        117,55  385,0   227,5   340,0    952,5  О.Кравченко",,
"3. Куценко Вячеслав/79         Луганская               110,60  250,0   135,0   210,0    595,0  В.Урбан",,
,,
,,
,,
,,
 ,, 
,,
,,
© 2000 Сергей Рыжук.,Пишите по поводу размещения рекламы на сайте ФПУ,© 2000 Sergiy Ryzhuk.
Авторские права принадлежат,Enquire about advertising on the UPF website,Copyright by
Федерации пауэрлифтинга Украины.,,Ukrainian Powerlifting Federation.
Все права защищены.,,All rights reserved.
