Name,Division,Tested,BodyweightLBS,WeightClassLBS,Age,Squat1LBS,Squat2LBS,Squat3LBS,Squat4LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Bench4LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Deadlift4LBS,Best3DeadliftLBS,Total,State,Equipment,Event,Place
Ben Dacus,Open,No,212,220,34,600,620,645,,645,-460,470,-485,,470,620,650,-670,,650,1765,AR,Wraps,SBD,1
Bob Levy,Master (65-69),Yes,209,220,69,275,300,315,,315,-255,-255,-255,,,-275,315,330,,330,0,MO,Wraps,SBD,DQ
Jason Jones,Teenage (13-15),Yes,220.2,220,14,-285,-315,325,,325,125,140,160,170,160,375,415,435,455,435,920,MO,Wraps,SBD,1
Kent White,Master (60-64),Yes,217.4,220,61,420,460,475,,475,345,-375,375,,375,500,525,-550,,525,1375,LA,Wraps,SBD,0
Bob Levy,Master (65-69),Yes,209,220,69,275,300,315,,315,-255,-255,-255,,,-275,315,330,,330,0,MO,Wraps,SBD,DQ
Ben Dacus,Submaster (33-39),No,212,220,34,600,620,645,,645,-460,470,-485,,470,620,650,-670,,650,1765,AR,Wraps,SBD,1
Mike Schook,Open,No,224,242,40,500,530,550,,550,330,345,355,,355,475,505,-525,,505,1410,MO,Wraps,SBD,1
Logan Varner,Open,No,283,308,23,-685,685,735,,735,445,465,-485,,465,655,700,725,,725,1925,TX,Wraps,SBD,1
Ryan Dean,Junior (20-23),No,259,275,23,740,-780,780,,780,440,460,480,,480,640,670,-700,,670,1930,AR,Wraps,SBD,1
Logan Varner,Junior (20-23),No,283,308,23,-685,685,735,,735,445,465,-485,,465,655,700,725,,725,1925,TX,Wraps,SBD,2
Mike Schook,Master (40-44),No,224,242,40,500,530,550,,550,330,345,355,,355,475,505,-525,,505,1410,MO,Wraps,SBD,1
Gary Grissinger,Master (45-49,No,,,56,,,,,,,,,,,,,,,,,Guam,Wraps,SBD,0
Michayla Brockert,Open,Yes,180.8,181,19,,,,,,135,-160,-160,,135,265,-290,-290,,265,400,MO,Raw,BD,
Michayla Brockert,Teenage (18-19),Yes,180.8,181,19,,,,,,135,-160,-160,,135,265,-290,-290,,265,400,MO,Raw,BD,
Alex Ersing,Open,Yes,163.8,165,31,,,,,,300,-310,-310,,300,525,-540,,,525,825,WI,Raw,BD,
Carl Smith Jr.,Open,Yes,155,165,22,,,,,,300,310,-315,,310,,,,,,310,MS,Raw,B,
Alex Ersing,Open,Yes,163.8,165,31,,,,,,300,-310,-310,,300,,,,,,300,WI,Raw,B,
Tom Urani,Master (70-74),Yes,158,165,70,,,,,,210,220,225,232.5,225,,,,,,225,MO,Raw,B,
Carl Smith Jr,Junior (20-23),Yes,155,165,22,,,,,,300,310,-315,,310,,,,,,310,MS,Raw,B,
Jim Smith,Master (45-49),No,215.6,220,49,,,,,,410,440,-455,,440,,,,,,440,MS,Raw,B,
Jim Smith,Open,No,215.6,220,49,,,,,,410,440,-455,,440,,,,,,440,MS,Raw,B,
Kyle Evans,Open,Yes,291.6,308,26,,,,,,500,-530,-530,,500,,,,,,500,MO,Raw,B,
Kole Carter,Open,Yes,370,SHW,55,,,,,,520,560,-570,,560,,,,,,560,MO,Raw,B,
Kole Carter,Master (55-59),Yes,370,SHW,55,,,,,,520,560,-570,,560,,,,,,560,MO,Raw,B,
Bob Levy,Master (65-69),Yes,209,220,69,,,,,,,,,,,-275,315,330,,330,330,MO,Raw,D,
