Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
4,Natalya Paliy,Natalya Paliy,1976,70.5,110,,45,,110,255,F,SBD,Single-ply,Open,75
1,Inna Orobets,Inna Orobets,1971,76.7,162.5,,90,,155,402.5,F,SBD,Single-ply,Open,82.5
1,Tatyana Levadnaya,Tatyana Levadnaya,1967,85.7,105,,55,,130,290,F,SBD,Single-ply,Open,90
1,Viktoriya Spivakova,Viktoriya Spivakova,1971,93.2,50,,40,,115,205,F,SBD,Single-ply,Open, 90+
1,Igor Godunko,Igor Godunko,1966,51.9,160,,90,,155,405,M,SBD,Single-ply,Open,52
2,Nikolay Shkurinskiy,Nikolay Shkurinskiy,1976,51.1,140,,75,,165,380,M,SBD,Single-ply,Open,52
3,Stepan Ovcharenko,Stepan Ovcharenko,1976,52,132.5,,77.5,,155,365,M,SBD,Single-ply,Open,52
4,Roman Galitskiy,Roman Galitskiy,1975,50.3,110,,70,,155,330,M,SBD,Single-ply,Open,52
5,Aleksey Ptashenchuk,Aleksey Ptashenchuk,1976,51.55,95,,65,,110,270,M,SBD,Single-ply,Open,52
1,Aleksandr Degovets,Aleksandr Degovets,1966,54,210,,115,,185,510,M,SBD,Single-ply,Open,56
2,Nikolay Tonyan,Nikolay Tonyan,1968,56,190,,90,,180,460,M,SBD,Single-ply,Open,56
3,Sergey Gudymenko,Sergey Gudymenko,1975,56,125,,95,,142.5,362.5,M,SBD,Single-ply,Open,56
4,Evgeniy Tayts,Evgeniy Tayts,1974,53.5,117.5,,92.5,,142.5,352.5,M,SBD,Single-ply,Open,56
1,Fedor Galayda,Fedor Galayda,1961,59,195,,115,,222.5,532.5,M,SBD,Single-ply,Open,60
2,Sergey Vatyuk,Sergey Vatyuk,1962,59.75,185,,130,,205,520,M,SBD,Single-ply,Open,60
3,Andrey Koval,Andrey Koval,1970,60,190,,112.5,,205,507.5,M,SBD,Single-ply,Open,60
4,Aleksandr Primakov,Aleksandr Primakov,1958,59.7,170,,125,,180,475,M,SBD,Single-ply,Open,60
5,Andrey Timchenko,Andrey Timchenko,1971,59.4,177.5,,100,,175,452.5,M,SBD,Single-ply,Open,60
6,Vitaliy Arsenev,Vitaliy Arsenev,1963,58.1,150,,110,,180,440,M,SBD,Single-ply,Open,60
