WeightClassKg,Place,Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Division,Equipment,BirthDate,Sex
67.5,6,LUTER. RENE,SLIDELL,64.5,183.7,106.59,188.24,478.54,SBD,,Single-ply,,M
67.5,7,RILEY. JASON,CHALMETTE,65.82,158.76,102.06,188.24,449.06,SBD,,Single-ply,,M
67.5,8,NYATSUNGA. BEN,SLIDELL,66.22,170.1,92.99,183.7,446.79,SBD,,Single-ply,,M
67.5,9,LE. TRI,RUMMELL,66.27,165.56,92.99,165.56,424.11,SBD,,Single-ply,,M
67.5,10,BACON. AARON,EAST ST JOHN,65.73,138.35,102.06,165.56,405.97,SBD,,Single-ply,,M
67.5,11,SARPY. CHANDLER,NCHS,61.78,142.88,83.91,170.1,396.89,SBD,,Single-ply,,M
67.5,12,DONOVAN. BRADY,WALKER,65.77,136.08,86.18,170.1,392.36,SBD,,Single-ply,,M
67.5,13,ROANE. KYLE,RUMMELL,63.78,142.88,68.04,174.63,385.55,SBD,,Single-ply,,M
67.5,DQ,ANZALONE. JACK,ST. PAUL'S,66.77,,,,,SBD,,Single-ply,,M
67.5,DQ,SALAUN. GAVIN,CHALMETTE,63.78,125,,,,SBD,,Single-ply,,M
75,1,THOMPSON. BRAHLAUN,ASH,73.94,244.94,129.27,240.4,614.62,SBD,,Single-ply,,M
75,2,BIGGERS. ANDREW,COVINGTON,73.26,208.65,156.49,208.65,573.79,SBD,,Single-ply,,M
75,3,YOUNG. CHASE,PINEVILLE,72.98,235.87,106.59,229.06,571.53,SBD,,Single-ply,,M
75,4,THURMAN. CASE,WMHS,73.35,224.53,115.67,217.72,557.92,SBD,,Single-ply,,M
75,5,CAMINITA. JACK,ST. PAUL'S,74.34,208.65,158.76,185.97,553.38,SBD,,Single-ply,,M
75,6,SMITH. ASHTON,HOLY CROSS,74.62,210.92,104.33,238.14,553.38,SBD,,Single-ply,,M
75,7,CRANDEL. RALPH,COVINGTON,72.76,195.04,111.13,226.8,532.97,SBD,,Single-ply,,M
