Name,BodyweightLBS,WeightClassLBS,Age,State,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,Deadlift4LBS,TotalLBS,Sex,Event,Division,Equipment
Leah Smith,160,165,26,SC,380.3,176.4,451.9,,1008.6,F,SBD,Open,Wraps
Jennifer Irwin,193.9,198,38,OH,270.1,153.4,314.2,,737.7,F,SBD,Open,Wraps
Shonna Gist,269.8,198+,28,FL,385.8,187.4,369.3,,942.5,F,SBD,Open,Wraps
Abigail Wade,228.1,198+,31,AL,369.3,187.4,424.4,,981.1,F,SBD,Open,Wraps
Diem Presley,113.6,114,40,FL,181.9,121.3,292.1,,595.3,F,SBD,Master (40-44),Wraps
Kerrie Gelb,159.7,165,44,FL,,,,,,F,SBD,Master (44-44),Wraps
Jennifer Hesters,240.8,198+,43,FL,242.5,242.5,413.4,424.4,898.4,F,SBD,Master (40-44),Wraps
Kelly Melendez,158.6,165,56,FL,126.8,110.2,214.9,,451.9,F,SBD,Master (55-59),Wraps
Mary Sittman,156,165,68,FL,132.3,60.6,181.9,,374.8,F,SBD,Master (65-69),Wraps
Cristiane Barragan,112.8,114,38,FL,176.4,93.7,198.4,,468.5,F,SBD,Submaster (33-39),Wraps
Amanda Reed,317.2,198+,37,FL,303.1,159.8,380.3,,843.2,F,SBD,Submaster (33-39),Wraps
Jennifer Irwin,193.9,198,38,OH,270.1,153.4,314.2,,737.7,F,SBD,Submaster (33-39),Wraps
Latema Harrell,138,148,22,AL,264.6,165.3,369.3,,799.2,F,SBD,Junior (20-23),Wraps
Meliisa Miller,127.9,132,20,MS,281.1,115.7,325.2,,722,F,SBD,Junior (20-23),Wraps
Kendra Saffell,142.5,148,20,PA,264.6,143.3,308.6,,716.5,F,SBD,Junior (20-23),Wraps
Caitlin Bounds,206.9,198+,18,MS,314.2,137.8,358.2,,810.2,F,SBD,Teenage (18-19),Wraps
William Dejesus,194.7,198,39,AL,,451.9,,,451.9,M,B,Open,Raw
Anthony D. Ford,238.5,242,45,AL,,479.5,,,479.5,M,B,Open,Raw
Dan Thompson,236.2,242,37,IN,,457.5,,,457.5,M,B,Open,Raw
Roland Deale,251.9,275,53,FL,,468.5,,,468.5,M,B,Open,Raw
Rob  Marshall,342.5,308+,45,IN,,551.1,,,551.1,M,B,Open,Raw
Gary L. Peterson,114.2,114,42,WA,,192.9,,,192.9,M,B,Master (40-44),Raw
Eli Dupre,208.8,220,57,LA,,407.9,,,407.9,M,B,Master (55-59),Raw
Anthony D. Ford,238.5,242,45,AL,,479.5,,,479.5,M,B,Master (45-49),Raw
Mario Rizo,192.6,198,40,OH,,468.5,,,468.5,M,B,Master (40-44),Raw
Steve Waters,233.9,242,54,GA,,424.4,,,424.4,M,B,Master (50-54),Raw
Roland Deale,251.9,275,53,FL,,468.5,,,468.5,M,B,Master (50-54),Raw
Richard Ficca,308.1,308,40,FL,,584.2,,,584.2,M,B,Master (40-44),Raw
Rob Marshall,345.2,308+,45,IN,,551.5,,,551.5,M,B,Master (45-49),Raw
William Dejesus,194.7,198,39,AL,,451.9,,,451.9,M,B,Submaster (33-39),Raw
Tyler Jolly,235.8,242,33,AL,,424.4,,,424.4,M,B,Submaster (33-39),Raw
Dan Thompson,236.2,242,37,IN,,457.5,,,457.5,M,B,Submaster (33-39),Raw
Walker Eli Davis,289,308,21,AL,,451.9,,,451.9,M,B,Junior (20-23),Raw
Billy Hyler,284.6,308,23,FL,,463,,,463,M,B,Junior (20-23),Raw
Alex Sellers,,,19,AL,,,,,,M,B,Teenage (18-19),Raw
Kirstie Buccellato,105.5,105,24,FL,,176.4,,,176.4,F,B,Open,Raw
Ronald Tarvin,162.9,165,25,AL,,,573.2,,573.2,M,D,Open,Raw
Kayle Huffnagle,175.7,181,25,FL,,,501.5,,501.5,M,D,Open,Raw
De'Jon Holmes,196.4,198,23,LA,,,661.4,,661.4,M,D,Open,Raw
Carlos Garrido,236.1,242,24,LA,,,705.5,,705.5,M,D,Open,Raw
Ken Jones,247.9,275,58,FL,,,512.6,,512.6,M,D,Master (55-59),Raw
Tyler Jolly,235.8,242,33,AL,,,650.3,,650.3,M,D,Submaster (33-39),Raw
Diem Presley,113.6,114,40,FL,,,292.1,,292.1,F,D,Open,Raw
Diem Presley,113.6,114,40,FL,,,292.1,,292.1,F,D,Master (40-44),Raw
