Name,Sex,Event,Age,Division,WeightClassKg,Equipment,Best3BenchKg,Bench4Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Place
Maiju Hilander,F,D,61,FO-R,75,Raw,,,161,,161,4
Marianne Hartio,F,D,25,FO-R,75,Raw,,,160,,160,5
Maren Preis,F,D,32,FO-R,75,Raw,,,140,,140,6
Amina Boulahna,F,D,27,FO-R,82.5,Raw,,,200,,200,1
Katja Liimatainen,F,D,30,FO-R,82.5,Raw,,,155,155,2
Sanna Halenius,F,D,39,FO-R,90,Raw,,,170,,170,1
Natalia Gadolin,F,D,24,FO-R,SHW,Raw,,,167.5,,167.5,1
Anna-Maija Kosonen,F,D,28,FO-E,67.5,Multi-ply,,,180,,180,1
Pentti Rimpi,M,D,51,MM2-E,56,Multi-ply,,,160,,160,1
Rami Eerikäinen,M,D,44,MM1-E,82.5,Multi-ply,,,,,,DQ					
Tomi Reponen,M,D,41,MM1-E,100,Multi-ply,,,290,,29,1
Antti Kousa,M,D,44,MM1-E,110,Multi-ply,,,260,,260,1
Jarkko Forss,M,D,22,MJ-E,82,5,Multi-ply,,,280,,280,1
Pentti Liukkonen,M,D,23,MJ-E,110,Multi-ply,,,250,,250,1
Vesa Taavitsainen,M,D,33,MO-E,100,Multi-ply,,,290,,290,2
Tomi Reponen,M,D,41,MO-E,100,Multi-ply,,,290,,290,3
Joni Nikkari,M,D,36,MO-E,125,Multi-ply,,,300,,300,1
Olavi Rintanen,M,D,63,MM4-R,110,Raw,,,300,,300,1
Arto Selkee,M,D,57,MM3-R,75,Raw,,,190,,190,1
Rane Ovaska,M,D,58,MM3-R,82.5,Raw,,,210,,210,1
Seppo Konkola,M,D,56,MM3-R,100,Raw,,,,270,,270,1
Juha Pukkila,M,D,54,MM3-R,110,Raw,,,215,,215,1
Jyrki Marttala,M,D,41,MM1-R,75,Raw,,,200,,200,1
Markus Gren,M,D,46,MM1-R,82.5,Raw,,,190,,190,1
Jokke Mononen,M,D,44,MM1-R,82.5,Raw,,,160,,160,2
