Place,CyrillicName,BirthYear,WeightClassKg,Sex,Event,Equipment,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,TotalKg,Division
1,Ян Урусов,1989,66,M,B,Single-ply,65.65,202.5,210,215.5,215.5,215.5,Open
2,Артём Тавастшерна,1985,66,M,B,Single-ply,65.6,180,190,200,200,200,Open
3,Николай Починкин,1985,66,M,B,Single-ply,65.35,182.5,192.5,195,195,195,Open
4,Константин Данилов,1986,66,M,B,Single-ply,65.3,-187.5,-187.5,192.5,192.5,192.5,Open
5,Сергей Гладких,1989,66,M,B,Single-ply,64.55,175,182.5,-190,182.5,182.5,Open
6,Александр Гаврилов,1989,66,M,B,Single-ply,65.4,135,-145,145,145,145,Open
1,Артур Машинский,1987,74,M,B,Single-ply,73.8,230,235,-243.5,235,235,Open
2,Артём Рубцов,1984,74,M,B,Single-ply,73.75,220,-230,-235,220,220,Open
3,Павел Белеванцев,1983,74,M,B,Single-ply,73.6,-205,205,-215,205,205,Open
4,Александр Ведерников,1986,74,M,B,Single-ply,71.5,182.5,-190,190,190,190,Open
5,Дмитрий Шутяк,1986,74,M,B,Single-ply,69.55,175,-190,,175,175,Open
DQ,Андрей Устинов,1988,74,M,B,Single-ply,73.8,-235,-235,-235,,,Open
DD,Максим Балахов,1985,74,M,B,Single-ply,71.8,243,-247.5,-250,,,Open
1,Сергей Князев,1976,83,M,B,Single-ply,82.25,290,302.5,-310,302.5,302.5,Open
2,Максим Белобородов,1983,83,M,B,Single-ply,81.8,255,-260,260,260,260,Open
3,Сергей Шекуров,1981,83,M,B,Single-ply,82.35,-250,250,257.5,257.5,257.5,Open
4,Алексей Осокин,1979,83,M,B,Single-ply,80.7,250,-255,-257.5,250,250,Open
5,Андрей Лайхинен,1983,83,M,B,Single-ply,82.1,240,250,-257.5,250,250,Open
6,Александр Громов,1981,83,M,B,Single-ply,79.75,235,-245,245,245,245,Open
7,Павел Кашин,1990,83,M,B,Single-ply,82.5,220,230,237.5,237.5,237.5,Open
8,Сергей Ким,1979,83,M,B,Single-ply,81.75,220,-230,-230,220,220,Open
9,Мурат Амирханов,1990,83,M,B,Single-ply,82.95,195,-207.5,-210,195,195,Open
10,Александр Кокорнов,1964,83,M,B,Single-ply,82.5,185,-190,-190,185,185,Open
NS,Александр Михайлов,1987,83,M,B,Single-ply,,,,, , ,Open
1,Владимир Гришаев,1981,93,M,B,Single-ply,92.45,-285,285,-300,285,285,Open
2,Дмитрий Вознюк,1981,93,M,B,Single-ply,91.8,225,232.5,-240,232.5,232.5,Open
3,Дмитрий Кашин,1988,93,M,B,Single-ply,92.95,230,-240,,230,230,Open
DQ,Олег Тархов,1985,93,M,B,Single-ply,85.6,-252.5,-252.5,-252.5,,,Open
DQ,Эдуард Тебеньков,1990,93,M,B,Single-ply,92.5,-285,-285,-287.5,,,Open
DQ,Александр Бабин,1982,93,M,B,Single-ply,92.65,-265,-265,-265,,,Open
1,Виталий Киреев,1985,105,M,B,Single-ply,103.5,305,313,320,320,320,Open
2,Александр Рыженков,1984,105,M,B,Single-ply,103.8,-262.5,267.5,270,270,270,Open
3,Роман Конин,1982,105,M,B,Single-ply,104.95,252.5,257.5,-270,257.5,257.5,Open
4,Сергей Вахрушин,1976,105,M,B,Single-ply,102.7,255,-267.5,-272.5,255,255,Open
5,Дмитрий Конин,1975,105,M,B,Single-ply,103.5,-255,255,-260,255,255,Open
6,Рамиль Якубов,1983,105,M,B,Single-ply,104.35,240,245,-250,245,245,Open
7,Александр Наскрипняк,1989,105,M,B,Single-ply,104.75,225,237.5,-247.5,237.5,237.5,Open
8,Олег Ивойлов,1973,105,M,B,Single-ply,100.75,225,235,-240,235,235,Open
9,Тимур Новосёлов,1972,105,M,B,Single-ply,102.55,200,,,200,200,Open
NS,Антон Беляев,1982,105,M,B,Single-ply,,,,, , ,Open
1,Сергей Селезень,1980,120,M,B,Single-ply,119.95,310,320.5,325,325,325,Open
2,Константин Лесуков,1979,120,M,B,Single-ply,119.55,300,310,-322.5,310,310,Open
3,Иван Горячев,1990,120,M,B,Single-ply,120,287.5,297.5,302.5,302.5,302.5,Open
4,Андрей Комиссаров,1984,120,M,B,Single-ply,119.45,290,-300,300,300,300,Open
5,Евгений Аниканов,1988,120,M,B,Single-ply,116.8,265,-280,280,280,280,Open
6,Дмитрий Яшурин,1982,120,M,B,Single-ply,109.65,210,217.5,-222.5,217.5,217.5,Open
DQ,Руслан Павликов,1978,120,M,B,Single-ply,114.5,-317.5,-317.5,-317.5,,,Open
1,Юрий Драчёв,1981,120+,M,B,Single-ply,133.2,310,317.5,-325,317.5,317.5,Open
2,Александр Сидоров,1980,120+,M,B,Single-ply,132.4,295,302.5,307.5,307.5,307.5,Open
3,Александр Красильников,1979,120+,M,B,Single-ply,134.55,290,305,-310,305,305,Open
4,Михаил Коростин,1984,120+,M,B,Single-ply,129,260,277.5,-285,277.5,277.5,Open
5,Сергей Степаненко,1974,120+,M,B,Single-ply,120.5,275,-282.5,-282.5,275,275,Open
DD,Сергей Суров,1974,120+,M,B,Single-ply,141.4,290,307.5,-315,307.5,307.5,Open
