1999 WPA WORLD CHAMPIONSHIPS,,,,,,,,,,,,
"Augusta,Georgia, March 20-21, 1999",,,,,,,,,,,,
Name,Sex,Age,Bodyweight,Class,Division,Equipment,Squat,Bench Press,Deadlift,Total,Event,Test
Ken Wiley,M,28,259,275,Open,Single-ply,,430,,430,B,DT
Kevin Stewart,M,36,231,242,Open NT,Single-ply,,520,,520,B,NT
Lou Cortezzo,M,19,188,198,T18-19,Raw,,310,,310,B,DT
Michael Feinberg,M,,179,181,Open,Single-ply,,445,,445,B,NT
Michael Feinberg,M,,179,181,Open,Single-ply,,445,,445,B,NT
Mike Ferrantelli,M,,216,220,Open,Single-ply,,480,,480,B,DT
Mike Ferrantelli,M,,216,220,Open NT,Single-ply,,480,,480,B,NT
Mike Hummel,M,237,237,242,Open,Single-ply,,530,,530,B,DT
Mike Hummel,M,,237,242,S33-39,Single-ply,,,,,B,DT
Ned Pestanski,M,28,179,181,Open,Single-ply,,350,,350,B,NT
Otis Rosseau,M,,166,181,Open,Raw,,225,,225,B,NT
Otis Rosseau,M,,166,181,Open,Raw,,225,,225,B,DT
Paul Sacco ,M,42,164.5,165,M40-44,Single-ply,,350,,350,B,NT
Rick Lawrence,M,,215,220,Open NT,Single-ply,,565,,565,B,NT
Robert James,M,,216,220,Open,Single-ply,,450,,450,B,DT
Robert Orson,M,34,179.5,181,Open,Single-ply,,350,,350,B,NT
Roger Zabotinski,M,32,179.5,181,Open,Single-ply,,400,,400,B,NT
Rolando DeJesus,M,23,264,275,Open,Raw,,445,,445,B,DT
Sal Cardarelli,M,31,178.75,181,Open,Single-ply,,395,,395,B,NT
Scott Morton,M,,252,275,Open NT,Single-ply,,,,,B,NT
Shannon Summers,F,14,207,198+,T13-15,Single-ply,,250,,250,B,DT
Shannon Summers,F,14,207,198+,T13-15,Open,,250,,250,B,DT
Shannon Summers,F,14,207,198+,T13-15,Open NT,,250,,250,B,NT
Stanley Pough,M,35,181,181,S33-39,Single-ply,,405,,405,B,NT
Steven Elmore,M,242,242,242,Open NT,Single-ply,,,,,B,NT
Timothy Lee,M,22,264,275,Open,Single-ply,,480,,480,B,DT
Timothy Lee,M,22,264,275,J20-23,Single-ply,,500,,500,B,DT
Tracey Satterfield,M,,176,181,Open,Single-ply,,475,,475,B,NT
Tracey Satterfield,M,,176,181,Open,Single-ply,,475,,475,B,NT
Weston Julian,M,,213,220,Open NT,Single-ply,,365,,365,B,NT
Yuwen Hung,F,,111,114,Open,Raw,,85,,85,B,DT
Adrian Cabrerra,M,,217,220,S33-39,Single-ply,,,615,615,D,DT
Art Clarkson,M,,242,242,M55-59,Single-ply,,,485,485,D,DT
Barrett Eastham,M,24,198,198,Open,Single-ply,,,550,550,D,DT
Barry Duncan,M,323,323,308+,Open NT,Single-ply,,,480,480,D,NT
Clarence James,M,,323,308+,Open,Single-ply,,,540,540,D,DT
Clarence James,M,323,323,308+,Open NT,Single-ply,,,540,540,D,NT
Gladys Moore,F,41,148,148,M40-44,,,,225,225,D,DT
Jeff Green,M,,230,242,Open,Single-ply,,,600,600,D,DT
Mark Dimiduk,M,,256,275,Open NT,Single-ply,,,620,620,D,NT
Mark Dimiduk,M,256,256,275,M40-44,Single-ply,,,620,620,D,NT
Maurice Washington,M,24,282,308,Open,Raw,,,515,515,D,DT
Mike Darrah,M,,240,242,Open,Single-ply,,,660,660,D,DT
Mike Ferrantelli,M,,216,220,Open,Single-ply,,,640,640,D,DT
Mike Ferrantelli,M,,216,220,Open NT,Single-ply,,,640,640,D,NT
Otis Rosseau,M,,166,181,Open NT,Raw,,,400,400,D,NT
Otis Rosseau,M,,166,181,Open,Raw,,,400,400,D,DT
Shannon Lynch,M,33,184,198,Open,Single-ply,,,450,450,D,DT
Shannon Lynch,M,33,184,198,Open NT,Single-ply,,,450,450,D,NT
Shannon Lynch,M,33,184,198,S33-39,Single-ply,,,450,450,D,NT
Shannon Summers,F,14,207,198+,Open,Single-ply,,,350,350,D,DT
Shannon Summers,F,14,207,198+,Open NT,Single-ply,,,350,350,D,NT
Shannon Summers,F,14,207,198+,T13-15,Single-ply,,,350,350,D,DT
Tee Meyers,M,42,194,198,M40-44,Single-ply,,,725,725,D,DT
Terry Rabaza,M,37,131.5,132,S33-39,Single-Ply,,,435,435,D,DT
Tom McCullough,M,42,279,308,M40-44,Single-ply,,,720,720,D,NT
Weston Julian,M,,213,220,Open,Single-ply,,,565,565,D,DT
William Paulk,M,17,141,148,T16-17,Single-Ply,,,325,325,D,DT
Adam Martin,M,19,220,220,T18-19,Single-ply,625,425,635,1685,SBD,DT
Adrian Cabrerra,M,37,217,220,S33-39,Single-ply,640,390,615,1645,SBD,DT
Anthony Judge,M,25,156,165,Open,Single-ply,400,310,450,1160,SBD,DT
Aubrey Gaines,M,,216,220,Open,Single-ply,550,450,600,1600,SBD,DT
Bear Ferebe,M,,223,242,Open NT,Single-ply,630,560,610,1800,SBD,NT
Bill Morehouse,M,33,198,198,S33-39,Single-ply,,,,,SBD,NT
Bill Morehouse,M,33,198,198,Open,Single-ply,,,,,SBD,NT
Bill Morehouse,M,33,198,198,Open NT,Single-ply,,,,,SBD,NT
Bob Mabus,M,,181,181,Open,Single-ply,475,435,525,1435,SBD,DT
Bruce Bridges,M,42,217.75,220,M40-44,Single-ply,380,320,410,1110,SBD,DT
Catherine James,F,12,182,198,J20-23,Single-ply,320,170,325,815,SBD,DT
Corey Mote,M,18,173,181,T18-19,Single-ply,390,300,470,1160,SBD,DT
Curtis Leveritt,M,43,157,165,M40-44,Wraps,325,205,440,970,SBD,NT
Damon Hit,M,,239,242,Open,Wraps,400,300,450,1150,SBD,DT
Daniel Hagan,M,24,164,165,Open,Single-ply,440,330,450,1220,SBD,DT
Darrell Peterson,M,,197,198,Open,Single-ply,550,395,500,1445,SBD,DT
David Jones,M,,216,220,Open NT,Single-ply,605,365,525,1495,SBD,NT
Doug Scarborough,M,33,179,181,S33-39,Wraps,400,275,450,1125,SBD,DT
Eoch Ellison,M,42,242,242,M40-44,Single-ply,425,315,615,1355,SBD,DT
Gregory Kiser,M,39,162,165,Open,Single-ply,600,390,680,1670,SBD,DT
Howard Owens,M,15,222,242,T13-15,Single-ply,320,160,385,865,SBD,DT
Jamie Roberson,M,,195,198,Open,Single-ply,575,395,550,1520,SBD,DT
John Martin,M,49,281,308,Open,Single-ply,700,475,550,1725,SBD,DT
John Martin,M,49,281,308,M45-49,Single-ply,700,475,550,1725,SBD,DT
Kate Taillon,F,39,119.5,123,S33-39,Single-ply,200,110,235,545,SBD,DT
Kevin Stewart,M,36,231,242,S33-39,Single-ply,720,500,685,1905,SBD,DT
L.B. Baker,M,62,198,198,M60-64,Single-ply,505,355,500,1360,SBD,NT
Margaret Kirkland,F,35,102,105,Open NT,Single-ply,235,145,245,625,SBD,NT
Margaret Kirkland,F,35,102,105,S33-39,Single-ply,235,145,245,625,SBD,DT
Margaret Kirkland,F,35,102,105,Open ,Single-ply,235,145,245,625,SBD,DT
Marisa Galante,F,16,165,165,Open,Single-ply,330,190,335,855,SBD,DT
Marisa Galante,F,16,165,165,T16-17,Single-ply,330,190,335,855,SBD,DT
Mark Dimiduk,M,44,256,275,M40-44,Single-ply,600,370,620,1590,SBD,NT
Mark Dimiduk,M,44,256,275,Open NT,Single-ply,600,370,620,1590,SBD,NT
Michael Ticknor,M,21,146,148,J20-23,Single-ply,250,250,450,1050,SBD,DT
Mike Darrah,M,,240,242,Open,Single-ply,655,425,660,1740,SBD,DT
Mike Darrah,M,,240,242,Open NT,Single-ply,655,425,660,1740,SBD,NT
Mike Darrah,M,35,240,242,S33-39,Single-ply,655,425,660,1740,SBD,DT
Mike Ferrantelli,M,,216,220,Open,Single-ply,785,480,640,1905,SBD,DT
Mike Ferrantelli,M,,216,220,Open NT,Single-ply,785,480,640,1905,SBD,NT
Nadine Baker,F,41,95,97,M40-44,Single-ply,225,145,285,645,SBD,DT
Nathan Bramlet,M,33,257,275,Open NT,Single-ply,675,550,625,1850,SBD,NT
Otis Grayson,M,21,128,132,J20-23,Single-ply,400,270,455,1125,SBD,DT
Otis Rosseau,M,,166,181,Open,Wraps,315,225,400,930,SBD,DT
Pat Watson,M,,230,242,Open,Single-ply,570,380,500,1450,SBD,DT
Paul Sacco,M,42,164.5,165,M40-44,Single-ply,545,360,500,1405,SBD,NT
Rex Harrison,M,51,234,242,M50-54,Single-ply,425,355,550,1330,SBD,NT
Richard Sandlin,M,41,268,275,M40-44,Single-ply,770,440,680,1890,SBD,NT
Richard Sandlin,M,41,268,275,Open NT,Single-ply,770,440,680,1890,SBD,NT
Robert Johnson,M,36,235,242,S33-39,Single-ply,550,385,575,1510,SBD,DT
Roger Finley,M,40,237,242,M40-44,Single-ply,540,405,475,1370,SBD,DT
Sean Cripe,M,19,186.75,198,T18-19,Wraps,420,225,480,1125,SBD,DT
Shannon Summers,F,14,207,198+,Open,Single-ply,370,350,350,970,SBD,DT
Shannon Summers,F,14,207,198+,Open NT,Single-ply,370,350,350,970,SBD,NT
Shannon Summers,F,14,207,198+,T14-15,Single-ply,370,350,350,970,SBD,DT
Sheldon Schultz,M,60,254,275,M60-64,Single-ply,500,385,550,1485,SBD,NT
Stan Dempski,M,,211,220,Open,Multi-ply,595,400,590,1565,SBD,DT
Susan Johnson,F,19,130,132,Open,Single-ply,215,135,275,625,SBD,DT
Susan Johnson,F,19,130,132,T18-19,Single-ply,215,135,275,625,SBD,DT
Terry Rabaza,M,35,131.5,132,S33-39,Single-ply,365,205,435,1005,SBD,DT
Tim Schnider,M,45,355,308+,M45-49,Single-ply,,,,,SBD,DT
Todd Maxted,M,35,227,242,S33-39,Wraps,405,300,425,1130,SBD,DT
Tom Trevorah,M,,,198,M60-64,Single-ply,,,,,SBD,DT
Travis Dover,M,22,142,148,Open,Single-ply,350,270,360,980,SBD,DT
Travis Dover,M,22,142,148,J20-23,Single-ply,350,270,360,980,SBD,DT
Weston Julian,M,,211,220,Open NT,Wraps,485,365,565,1415,SBD,NT
William Paulk,M,17,141,140,Open,Single-ply,380,255,325,960,SBD,DT
William Paulk,M,17,141,140,T16-17,Single-ply,380,255,325,960,SBD,DT
William Paulk,M,17,141,140,Open NT,Single-ply,380,255,325,960,SBD,NT
