Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
DQ,Vladislav Miroshnikov,Владислав Мирошников,1973,71.65,202.5,,,,,,M,SBD,Single-ply,Juniors,75
1,Sergey Karyy,Сергей Карый,1973,81.15,250,,157.5,,270,667.5,M,SBD,Single-ply,Juniors,82.5
2,Nikolay Korymov,Николай Корымов,1976,82.4,260,265.5,150,,230,640,M,SBD,Single-ply,Juniors,82.5
3,Yuriy Atamanchuk,Юрий Атаманчук,1975,82.25,235,,150,,240,625,M,SBD,Single-ply,Juniors,82.5
4,Aleksandr Tsilinchenko,Александр Цилинченко,1973,81.5,232.5,,140,,242.5,615,M,SBD,Single-ply,Juniors,82.5
5,Vladimir Timkovich,Владимир Тимкович,1974,81.5,225,,160,,230,615,M,SBD,Single-ply,Juniors,82.5
6,Oleg Movchan,Олег Мовчан,1975,81.3,230,,145,,230,595,M,SBD,Single-ply,Juniors,82.5
7,Maryan Vavrynyuk,Марьян Ваврынюк,1975,81.6,220,,140,,242.5,592.5,M,SBD,Single-ply,Juniors,82.5
8,Anatoliy Kots,Анатолий Коц,1973,81.9,215,,157.5,,220,592.5,M,SBD,Single-ply,Juniors,82.5
9,Viktor Mosienko,Виктор Мосиенко,1974,81.2,190,,130,,225,545,M,SBD,Single-ply,Juniors,82.5
10,Valentin Pogodin,Валентин Погодин,1973,81.6,160,,140,,220,520,M,SBD,Single-ply,Juniors,82.5
11,Nikolay Stasyuk,Николай Стасюк,1973,79.2,185,,127.5,,190,502.5,M,SBD,Single-ply,Juniors,82.5
12,Aleksandr Tolochko,Александр Толочко,1976,81.85,180,,110,,190,480,M,SBD,Single-ply,Juniors,82.5
13,Vladislav Maksimenko,Владислав Максименко,1977,81.55,160,,120,,190,470,M,SBD,Single-ply,Juniors,82.5
DQ,Oleg Gorodovoy,Олег Городовой,1976,81.55,,,,,,,M,SBD,Single-ply,Juniors,82.5
DQ,Taras Gayday,Тарас Гайдай,1976,80.1,,,,,,,M,SBD,Single-ply,Juniors,82.5
1,Mikhail Solomin,Михаил Соломин,1971,90,295,305,210.5,,272.5,777.5,M,SBD,Single-ply,Juniors,90
2,Yuriy Kostenko,Юрий Костенко,1971,89.1,270,,185,,280,735,M,SBD,Single-ply,Juniors,90
3,Dmitriy Solodkiy,Дмитрий Солодкий,1971,87,230,,195,,250,675,M,SBD,Single-ply,Juniors,90
4,Vitaliy Ponomarenko,Виталий Пономаренко,1974,89.8,240,,190,,240,670,M,SBD,Single-ply,Juniors,90
5,Aleksey Sofienko,Алексей Софиенко,1976,88.6,265,,150,,245,660,M,SBD,Single-ply,Juniors,90
6,Vitaliy Lyalyuk,Виталий Лялюк,1971,89.35,270,,165,,245,660,M,SBD,Single-ply,Juniors,90
7,Yuriy Kravchenko,Юрий Кравченко,1971,85.95,230,,160,,240,630,M,SBD,Single-ply,Juniors,90
8,Aleksandr Serdyukov,Александр Сердюков,1975,86.5,220,,142.5,,247.5,615,M,SBD,Single-ply,Juniors,90
9,Dmitriy Malyarets,Дмитрий Малярец,1977,87.75,235,,140,,220,595,M,SBD,Single-ply,Juniors,90
10,Sergey Kozyura,Сергей Козюра,1976,88.65,222.5,,127.5,,240,582.5,M,SBD,Single-ply,Juniors,90
11,Iosif Bondar,Иосиф Бондар,1974,85.45,200,,122.5,,230,562.5,M,SBD,Single-ply,Juniors,90
12,Sergey Sokolenko,Сергей Соколенко,1973,85.7,190,,157.5,,205,552.5,M,SBD,Single-ply,Juniors,90
13,Igor Shendrik,Игорь Шендрик,1976,85.45,200,,140,,210,550,M,SBD,Single-ply,Juniors,90
14,Boris Kurbatskiy,Борис Курбатский,1972,88.2,190,,125,,230,545,M,SBD,Single-ply,Juniors,90
15,Maksim Soskin,Максим Соскин,1975,87.8,185,,137.5,,212.5,535,M,SBD,Single-ply,Juniors,90
16,Vladimir Shveda,Владимир Шведа,1971,86.35,180,,140,,200,520,M,SBD,Single-ply,Juniors,90
17,Mikhail Chemerinskiy,Михаил Чемеринский,1971,86.5,170,,135,,200,505,M,SBD,Single-ply,Juniors,90
18,Vladimir Matsega,Владимир Мацега,1976,90,175,,105,,170,450,M,SBD,Single-ply,Juniors,90
DQ,Vadim Bratus,Вадим Братусь,1973,88.5,,,,,,,M,SBD,Single-ply,Juniors,90
1,Valeriy Voytsekhovskiy,Валерий Войцеховский,1972,99.2,345,,200,,332.5,877.5,M,SBD,Single-ply,Juniors,100
2,Aleksey Solovev,Алексей Соловьев,1975,98,332.5,,225,235,290,847.5,M,SBD,Single-ply,Juniors,100
3,Vadim Patana,Вадим Патана,1976,100,245,,180,,252.5,677.5,M,SBD,Single-ply,Juniors,100
4,Viktor Dubovoy,Виктор Дубовой,1971,98.3,270,,157.5,,247.5,675,M,SBD,Single-ply,Juniors,100
5,Oleg Serikov,Олег Сериков,1975,96.85,210,,145,,240,595,M,SBD,Single-ply,Juniors,100
6,Dmitriy Dzhurinskiy,Дмитрий Джуринский,1971,97.9,237.5,,110,,212.5,560,M,SBD,Single-ply,Juniors,100
7,Oleg Fedorovich,Олег Федорович,1975,98.3,160,,130,,200,490,M,SBD,Single-ply,Juniors,100
DQ,Dmitriy Rudenko,Дмитрий Руденко,1974,94.6,,,,,,,M,SBD,Single-ply,Juniors,100
DQ,Iosif Kruchovyy,Иосиф Кручовый,1975,91.35,,,,,,,M,SBD,Single-ply,Juniors,100
1,Sergey Makrushin,Сергей Макрушин,1975,100.1,265,,197.5,,277.5,740,M,SBD,Single-ply,Juniors,110
2,Yuriy Krutenko,Юрий Крутенко,1973,110,290,,180,,270,740,M,SBD,Single-ply,Juniors,110
3,Gennadiy Danilov,Геннадий Данилов,1974,110,280,,180,,272.5,732.5,M,SBD,Single-ply,Juniors,110
4,Oleg Bezborodko,Олег Безбородько,1972,107.35,230,,185,,280,695,M,SBD,Single-ply,Juniors,110
1,Aleksandr Sereda,Александр Середа,1975,110.75,215,,150,,235,600,M,SBD,Single-ply,Juniors,125
