Place,Name,Sex,Division,WeightClassKg,Equipment,BirthYear,BirthDate,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
2,Risabel Tan Valle,F,O,57,Raw,,,,55.25,120,125,130,130,57.5,60,-65,60,130,135,140,140,330,SBD
3,Alessandra Leonina G Eco,F,O,57,Raw,2004,,,53.8,110,115,117.5,117.5,62.5,67.5,70,70,127.5,-135,-137.5,127.5,315,SBD
4,Maria Irish Atienza,F,O,57,Raw,2001,,,55.6,75,80,-82.5,80,-42.5,42.5,-45,42.5,115,-122.5,122.5,122.5,245,SBD
5,Ayssa Roseth Gastardo,F,O,57,Raw,1999,,,56.4,-80,80,-90,80,40,45,-47.5,45,105,112.5,120,120,245,SBD
DQ,Ronah Mae Hayana,F,O,57,Raw,1997,,,,,,,,,,,,,,,,,SBD
1,Anya Dara L Pinzon,F,O,63,Raw,,,,61.5,135,140,143,143,75,77.5,80,80,173,177.5,-180,177.5,400.5,SBD
2,Anjelika Marie Gancayco,F,O,63,Raw,1994,,,62.45,-110,110,115,115,78,80.5,-82.5,80.5,152.5,160,-162.5,160,355.5,SBD
3,Maritoni Elline Neri,F,O,63,Raw,2002,,,62.05,120.5,130.5,135,135,60.5,67.5,-70.5,67.5,125,135,141,141,343.5,SBD
4,Seth Russel Norman,F,O,63,Raw,1997,,,60.35,117.5,-122.5,125,125,60,-62.5,-62.5,60,135,142.5,-152.5,142.5,327.5,SBD
5,Angela Kristell Borromeo,F,O,63,Raw,2002,,,62.6,107.5,112.5,120,120,45,50,-55,50,137.5,145,152.5,152.5,322.5,SBD
6,Frances Mae Balangitan,F,O,63,Raw,1997,,,63,110,-112.5,-115,110,47.5,50,-55,50,130,135,140,140,300,SBD
7,Roseanne Liao,F,O,63,Raw,1994,,,61,85,100,107.5,107.5,47.5,55,-60,55,115,127.5,-140,127.5,290,SBD
8,Jomara Chan,F,O,63,Raw,1980,,,60.3,95,100,105,105,37.5,40,-42.5,40,120,127.5,-135,127.5,272.5,SBD
9,Mikhaila Theresa Ortega,F,O,63,Raw,1993,,,61.9,80,-90,90,90,40,-45,-45,40,100,110,-115,110,240,SBD
1,Rikki Dianne Saul,F,O,69,Raw,1996,,,67.9,-125,125,132.5,132.5,62.5,65,-67.5,65,165,175,-180,175,372.5,SBD
2,Christine Erine Alejandro,F,O,69,Raw,1992,,,66.75,110,125,133,133,65.5,70.5,73,73,155,162.5,-180.5,162.5,368.5,SBD
3,Andrea Villania,F,O,69,Raw,1995,,,68.7,120,-127.5,-127.5,120,57.5,-62.5,-62.5,57.5,150,157.5,160,160,337.5,SBD
4,Katherine Erika Acero,F,O,69,Raw,1990,,,68.9,110,117.5,120,120,67.5,72.5,74,74,120,132.5,-145,132.5,326.5,SBD
5,Fredelyn Sayod,F,O,69,Raw,1989,,,67.4,90,-100,100,100,45,55,-57.5,55,130,140,-145,140,295,SBD
6,Alaissa Mariel Dimdam,F,O,69,Raw,1999,,,67.8,100,110,-115,110,-45,47.5,-55,47.5,130,137.5,-145,137.5,295,SBD
