Name,Age,Division,Sex,Equipment,Tested,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3BenchKg,TotalKg,Event,Place
Phirun Sam,40,M_MCR_1_AAPF,M,Wraps,Yes,96.3,100,192.5,115,210,517.5,SBD,1
Devon Parcell,40,M_MCR_1_AAPF,M,Wraps,Yes,102.9,110,182.5,165,227.5,575,SBD,1
Welly Lu,42,M_MCR_1_AAPF,M,Wraps,Yes,121.4,125,287.5,192.5,265,745,SBD,1
Devon Parcell,40,M_MCR_1_APF,M,Wraps,,102.9,110,182.5,165,227.5,575,SBD,1
Nathan McDonald,44,M_MR_1_AAPF,M,Raw,Yes,101.3,110,132.5,102.5,175,410,SBD,1
Terry Baldwin,56,M_MES_4_APF,M,Single-ply,,95.1,100,262.5,135,265,662.5,SBD,1
Kyle Colquitt,22,M_OCR_AAPF,M,Wraps,Yes,82,82.5,222.5,140,230,592.5,SBD,1
Christopher Aldana,26,M_OCR_AAPF,M,Wraps,Yes,80.4,82.5,220,130,215,565,SBD,2
Rhys Morgan,29,M_OCR_AAPF,M,Wraps,Yes,78.8,82.5,175,130,240,545,SBD,3
Adam Gardner,31,M_OCR_AAPF,M,Wraps,Yes,98.4,100,240,157.5,272.5,670,SBD,1
Nicholas Gravely,24,M_OCR_AAPF,M,Wraps,Yes,98.6,100,245,147.5,257.5,650,SBD,2
Aaron Baker,29,M_OCR_AAPF,M,Wraps,Yes,105.8,110,200,145,245,590,SBD,1
Welly Lu,42,M_OCR_AAPF,M,Wraps,Yes,121.4,125,287.5,192.5,265,745,SBD,1
Garrett Coleman,28,M_OCR_AAPF,M,Wraps,Yes,120.7,125,260,172.5,280,712.5,SBD,2
Paul Arnold,28,M_OCR_APF,M,Wraps,,82.5,82.5,200,137.5,245,582.5,SBD,1
Peter Dang,33,M_OCR_APF,M,Wraps,,77.6,82.5,200,142.5,230,572.5,SBD,2
Daniel Findley,31,M_OCR_APF,M,Wraps,,81.3,82.5,170,95,237.5,502.5,SBD,4
Aaron Knaus,25,M_OCR_APF,M,Wraps,,80.7,82.5,167.5,125,210,502.5,SBD,3
Kenneth Bass,24,M_OCR_APF,M,Wraps,,88.8,90,185,125,217.5,527.5,SBD,1
Tanner Wendel,23,M_OCR_APF,M,Wraps,,98.9,100,227.5,167.5,280,675,SBD,1
Thomas Revas ,30,M_OCR_APF,M,Wraps,,108.3,110,290,182.5,272.5,745,SBD,1
Robert Humphreys,24,M_OCR_APF,M,Wraps,,104.9,110,237.5,145,272.5,655,SBD,2
Jake Winter,23,M_OCR_APF,M,Wraps,,105,110,217.5,135,247.5,600,SBD,3
Greg Fedderson,37,M_OCR_APF,M,Wraps,,134.7,140,200,150,205,555,SBD,1
Garrett Coleman,28,M_OCR_AAPF,M,Wraps,Yes,120.7,125,260,172.5,280,712.5,SBD,3
Max panziera,28,M_OEM_AAPF,M,Multi-ply,Yes,89.7,90,320,250,285,855,SBD,1
Terry Baldwin,56,M_OES_APF,M,Single-ply,,95.1,100,262.5,135,265,662.5,SBD,1
Nathan Covarrubias,25,M_OR_AAPF,M,Raw,Yes,67.1,67.5,155,132.5,172.5,460,SBD,1
Vince Miller,25,M_OR_AAPF,M,Raw,Yes,81.8,82.5,190,137.5,230,557.5,SBD,1
Nicholas Foster,25,M_OR_AAPF,M,Raw,Yes,87.5,90,190,117.5,200,507.5,SBD,1
Nathan Mullen,25,M_OR_APF,M,Raw,,92.9,100,155,110,192.5,457.5,SBD,1
Bryn Gruber,30,M_SCR_AAPF,M,Wraps,Yes,136.1,140,232.5,150,245,627.5,SBD,1
Dallin Robertson,14,M_TR_1_AAPF,M,Raw,Yes,74.9,75,140,112.5,187.5,440,SBD,1
Nicholas Phang,19,M_TCR_3_APF,M,Wraps,,63.4,67.5,140,92.5,160,392.5,SBD,1
Jake Romo,18,M_TES_3_AAPF,M,Single-ply,Yes,97.7,100,230,212.5,222.5,665,SBD,1
Micah Ashton,19,M_TR_3_AAPF,M,Raw,Yes,86.5,90,202.5,137.5,197.5,537.5,SBD,1
Marsha Simpson ,42,F_MCR_1_APF,F,Wraps,,84.6,90,,57.5,,57.5,B,1
Samantha Panziera,30,F_OES_AAPF,F,Single-ply,Yes,66.9,67.5,,150,,150,B,1
Debbie Hemmerich,30,F_OCR_APF,F,Wraps,,76.1,82.5,,77.5,,77.5,B,1
Devon Parcell ,40,M_MCR_1_AAPF,M,Wraps,Yes,102.9,110,,165,,165,B,1
Devon Parcell ,40,M_MCR_1_APF,M,Wraps,,102.9,110,,165,,165,B,1
Max panziera,28,M_OEM_AAPF,M,Multi-ply,Yes,89.7,90,,250,,250,B,1
Thomas Grove,29,M_OR_APF,M,Raw,,94.3,100,,172.5,,172.5,B,1
Marsha Simpson ,42,F_MCR_1_APF,F,Wraps,,84.6,90,,,135,135,D,1
Terry Baldwin ,56,M_MEM_4_APF,M,Multi-ply,,95.1,100,,,265,265,D,1
James Humphreys,16,M_TR_2_AAPF,M,Raw,Yes,68.5,75,,,175,175,D,1
