WeightClassKg,JapaneseName,Team,Age,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,TotalKg,,Division,Event,Equipment
120,和田　髙平,Ｋ'ｓＧＹＭ,54,118.55,305,312.5,-325,312.5,312.5,1,Masters 2,B,Single-ply
120,武田　裕介,ＴＸＰ,33,106.95,-280,280,-300,280,280,2,Open,B,Single-ply
120,原　新一,Ｐｏｗｅｒ Ｌｉｎｅ,45,114.9,275,-282.5,-282.5,275,275,3,Masters 1,B,Single-ply
120,加瀬　智,Ｋ'ｓＧＹＭ横浜,27,116.1,255,270,-282.5,270,270,4,Open,B,Single-ply
120,山森　智行,Ｋ'ｓＧＹＭ,46,105.6,250,-260,-275,250,250,2,Masters 1,B,Single-ply
120,川野　智成,パワーハウス山口,38,116.8,240,250,-260,250,250,5,Open,B,Single-ply
120,齋藤　大生,ストロングライン,28,119.55,250,-270,-282.5,250,250,6,Open,B,Single-ply
120,柏木　悠太郎,ストロングライン,21,117.9,220,245.5,-260,245.5,245.5,1,Juniors,B,Single-ply
120,中村　敏雄,ＴＸＰ,48,114.55,225,-242.5,242.5,242.5,242.5,3,Masters 1,B,Single-ply
120,横山　恭平,Ｋ'ｓＧＹＭ,24,111.65,240,-255,-255,240,240,7,Open,B,Single-ply
120,岡山　三紀,北海道医療大学Ｗ･Ｔ･Ｃ同門会,46,107.9,232.5,237.5,-242.5,237.5,237.5,8,Masters 1,B,Single-ply
120,森　真人,ＢＩＧ ＧＵＮＳ,37,111.3,-190,-190,-190,,,DQ,Open,B,Single-ply
120,梶井　俊宏,阪南大学ＯＢ会ウェイトトレーニング部,38,115.15,-320,-320,-325,,,DQ,Open,B,Single-ply
120,西古　裕志,Ｐｏｗｅｒ Ｌｉｎｅ,46,115.2,-225,-225,-225,,,DQ,Masters 1,B,Single-ply
120,上田　真司,Ｋ'ｓＧＹＭ,46,,,,,,,NS,Masters 1,B,Single-ply
120+,藤本　竜希,リアルスイング,18,126.4,180,270,-352.5,270,270,1,Sub-Juniors,B,Single-ply
120+,古城　資久,パワーハウス赤穂,60,127.1,205,245.5,-265.5,245.5,245.5,1,Masters 3,B,Single-ply
120+,樋口　重敏,チーム筋族,41,136.1,205,-250,-272.5,205,205,2,Masters 1,B,Single-ply
120+,柳川　大貴,リアルスイング,42,130.55,-340,-340,-350,,,DQ,Masters 1,B,Single-ply
120+,福嶋　康人,パワーハウス７山口,53,,,,,,,NS,Masters 2,B,Single-ply
