Event,Sex,Division,WeightClassLBS,Equipment,Best3BenchLBS,Bench4LBS,Best3DeadliftLBS,Deadlift4LBS,TotalLBS,Name
B,M,Junior Men 20-25,148,Single-ply,325,,,,325,Agustin Soto
B,M,Junior Men 20-25,181,Single-ply,479.5,,,,479.5,Luis Alaniz
B,M,Junior Men 20-25,181,Single-ply,435.2,,,,435.2,Joseph La Mattina
B,M,Junior Men 20-25,181,Single-ply,402.2,,,,402.2,Filho Almada
B,M,Junior Men 20-25,198,Single-ply,402.2,,,,402.2,Ed Young
B,M,Junior Men 20-25,220,Single-ply,518,,,,518,Jarkko Forss
B,M,Law-Fire 40-47 Men,220,Single-ply,402.2,,,,402.2,Robert Saludares
B,M,Law-Fire 40-47 Men,242,Single-ply,617.2,,,,617.2,Freddy Crosby
B,M,Law-Fire 40-47 Men,242,Single-ply,584,,,,584,Chad Bertelmann
B,M,Law-Fire 40-47 Men,242,Single-ply,451.7,,,,451.7,Tim Prince
B,M,Law-Fire 40-47 Men,308,Single-ply,562,,,,562,Keoni Reich
B,M,Law-Fire 40-47 Men,309,Single-ply,650.2,,,,650.2,Jonathan Koma
B,M,Law-Fire 48-55 Men,198,Single-ply,,,,,,Frank Lowe
B,M,Law-Fire 48-55 Men,242,Single-ply,540,,,,540,Joe Gardner
B,M,Law-Fire 48-55 Men,259,Single-ply,,,,,,J. C. Tolle
B,M,Law-Fire 48-55 Men,275,Single-ply,501.5,,,,501.5,Darren Kaleleiki
B,M,Law-Fire 48-55 Men,309,Single-ply,501.5,,,,501.5,Warren Orr
B,M,Law-Fire 56-63 Men,220,Single-ply,502.6,,,,502.6,Mike Frizzell
B,M,Law-Fire 64 Men,220,Single-ply,402.2,,,,402.2,Joe Parsons
B,M,Law-Fire 64 Men,259,Single-ply,325,,,,325,Ed Acey
B,M,Law-Fire Open Men,198,Single-ply,,,,,,Richard Derengowski
B,M,Law-Fire Open Men,198,Single-ply,677.7,,,,677.7,Ryan Marble
B,M,Law-Fire Open Men,242,Single-ply,617.2,,,,617.2,Freddy Crosby
B,M,Law-Fire Open Men,308,Single-ply,562,,,,562,Keoni Reich
B,M,Law-Fire Open Men,309,Single-ply,650.2,,,,650.2,Jonathan Koma
B,M,Law-Fire Submaster Men,198,Single-ply,,,,,,Richard Derengowski
B,M,Master Men 40-46,165,Single-ply,534.5,,,,534.5,Donald Ramil
B,M,Master Men 40-46,181,Single-ply,325,,,,325,Shawn Oliphant
B,M,Master Men 40-46,198,Single-ply,617.2,632.6,,,617.2,Matt Lamarque
B,M,Master Men 40-46,220,Single-ply,473.7,,,,473.7,Steve Pena
B,M,Master Men 40-46,220,Single-ply,,,,,,Tony Blas
B,M,Master Men 40-46,220,Single-ply,,,,,,Coby Washburn
B,M,Master Men 40-46,220,Single-ply,490.5,,,,490.5,Jesse Avila
B,M,Master Men 40-46,220,Single-ply,308.5,,,,308.5,Daniel Miller
B,M,Master Men 40-46,242,Single-ply,584,,,,584,Chad Bertelmann
B,M,Master Men 40-46,242,Single-ply,440.7,,,,440.7,Michael Botticelli
B,M,Master Men 40-46,242,Single-ply,440.7,,,,440.7,Fateh Sihota
B,M,Master Men 40-46,259,Single-ply,457.2,,,,457.2,Allen Heisler
B,M,Master Men 40-46,275,Single-ply,,,,,,David Lewis
B,M,Master Men 40-46,308,Single-ply,749.5,,,,749.5,Dave Forstner
B,M,Master Men 40-46,309,Single-ply,,,,,,Robert Vick
B,M,Master Men 47-53,148,Single-ply,363.7,,,,363.7,Chris Balanga
B,M,Master Men 47-53,198,Single-ply,435.2,,,,435.2,Darren Carr
B,M,Master Men 47-53,220,Single-ply,512.5,,,,512.5,John Westleigh
B,M,Master Men 47-53,220,Single-ply,468.2,,,,468.2,Gary Gulseth
B,M,Master Men 47-53,220,Single-ply,418.7,,,,418.7,Junior Aparecido
B,M,Master Men 47-53,242,Single-ply,,,,,,Michael Neely
B,M,Master Men 47-53,242,Single-ply,611.7,,,,611.7,James Seaver
B,M,Master Men 47-53,242,Single-ply,507,,,,507,Lonnie Wilborn
B,M,Master Men 47-53,242,Single-ply,501.5,,,,501.5,Brant Bishop
B,M,Master Men 47-53,242,Single-ply,473.7,,,,473.7,Juha Pukkila
B,M,Master Men 47-53,242,Single-ply,451.7,,,,451.7,Steven Petersen
B,M,Master Men 47-53,259,Single-ply,545.5,,,,545.5,Mick Quilici
B,M,Master Men 47-53,275,Single-ply,540,,,,540,David Palmer
B,M,Master Men 47-53,309,Single-ply,551,,,,551,Scott Bromeisl
B,M,Master Men 47-53,309,Single-ply,501.5,,,,501.5,Warren Orr
B,M,Master Men 54-60,132,Single-ply,225.7,,,,225.7,Chetram Mangra
B,M,Master Men 54-60,148,Single-ply,264.5,,,,264.5,Dave Constantineau
B,M,Master Men 54-60,181,Single-ply,325,,,,325,Leamon Woodley
B,M,Master Men 54-60,181,Single-ply,402.2,,,,402.2,Martin Aguirie
B,M,Master Men 54-60,181,Single-ply,270,,,,270,Pat Young
B,M,Master Men 54-60,198,Single-ply,479.5,,,,479.5,Jeff Woods
B,M,Master Men 54-60,198,Single-ply,473.7,,,,473.7,Bob Levering
B,M,Master Men 54-60,220,Single-ply,,,,,,Ed Macauley
B,M,Master Men 54-60,220,Single-ply,,,,,,Don Rygh
B,M,Master Men 54-60,220,Single-ply,600.7,640.3,,,600.7,Kenneth Millrany
B,M,Master Men 54-60,220,Single-ply,502.6,,,,502.6,Mike Frizzell
B,M,Master Men 54-60,275,Single-ply,402.2,,,,402.2,Mike Sinner
B,M,Master Men 54-60,275,Single-ply,314,,,,314,John Solleder
B,M,Master Men 54-60,309,Single-ply,655.7,,,,655.7,James Mersberg
B,M,Master Men 61-67,181,Single-ply,325,,,,325,Paul Janoff
B,M,Master Men 61-67,198,Single-ply,374.7,,,,374.7,Ernest Reyes
B,M,Master Men 61-67,220,Single-ply,347,,,,347,Nino Murray
B,M,Master Men 61-67,242,Single-ply,297.5,,,,297.5,Eddie Morgan
B,M,Master Men 61-67,242,Single-ply,440.7,,,,440.7,Tom Gonnering
B,M,Master Men 61-67,259,Single-ply,,,,,,Willard Crossen Jr.
B,M,Master Men 61-67,259,Single-ply,374.7,,,,374.7,John Towne
B,M,Master Men 61-67,275,Single-ply,314,,,,314,Larry Riskey
B,M,Master Men 68-74,198,Single-ply,314,,,,314,Dan Swift
B,M,Master Men 68-74,198,Single-ply,171.8,,,,171.8,Frank Hammer
B,M,Master Men 68-74,242,Single-ply,336,,,,336,Al Williamson
B,M,Master Men 75-79,198,Single-ply,176.2,,,,176.2,John Herbein
B,M,Master Men 80-84,181,Single-ply,181.7,,,,181.7,John Mc Ewen
B,M,Master Men 80-84,198,Single-ply,303,,,,303,William Prince
B,M,Master Men 80-84,275,Single-ply,413.2,,,,413.2,Bob Kehl
B,M,Master Men 90,165,Single-ply,121.2,,,,121.2,Donald Dreyer
B,M,Master Men 90,165,Single-ply,132.2,,,,132.2,Robert Fornachon
B,M,Open Men,114,Single-ply,259,,,,259,Landon Sakai
B,M,Open Men,181,Single-ply,325,,,,325,Leamon Woodley
B,M,Open Men,181,Single-ply,451.7,,,,451.7,Daniel Sisneros
B,M,Open Men,181,Single-ply,402.2,,,,402.2,Filho Almada
B,M,Open Men,198,Single-ply,473.7,,,,473.7,Preston Quinn
B,M,Open Men,198,Single-ply,540,,,,540,Michael Early
B,M,Open Men,198,Single-ply,534.5,,,,534.5,Larry Cox
B,M,Open Men,198,Single-ply,518,,,,518,Jarkko Forss
B,M,Open Men,220,Single-ply,,,,,,Tyler Carlson
B,M,Open Men,220,Single-ply,,,,,,Coby Washburn
B,M,Open Men,220,Single-ply,600.7,,,,600.7,Kenneth Millrany
B,M,Open Men,220,Single-ply,578.5,,,,578.5,Matthew Arnaldo
B,M,Open Men,220,Single-ply,551,,,,551,Tony Blas
B,M,Open Men,220,Single-ply,418.7,,,,418.7,Junior Aparecido
B,M,Open Men,242,Single-ply,325,,,,325,J. C. Wright
B,M,Open Men,242,Single-ply,578.5,,,,578.5,Seppo Juntilla
B,M,Open Men,242,Single-ply,507,,,,507,Lonnie Wilborn
B,M,Open Men,242,Single-ply,473.7,,,,473.7,Juha Pukkila
B,M,Open Men,259,Single-ply,545.5,,,,545.5,Mick Quilici
B,M,Open Men,275,Single-ply,611.7,,,,611.7,Norman Tavares
B,M,Open Men,275,Single-ply,512.5,,,,512.5,River Newman
B,M,Open Men,308,Single-ply,755,,,,755,Tim Moon
B,M,Open Men,308,Single-ply,749.5,,,,749.5,Dave Forstner
B,M,Open Men,308,Single-ply,540,,,,540,Kamuela Wassman
B,M,Open Men,309,Single-ply,,,,,,Doug Gerona
B,M,Open Men,309,Single-ply,826.5,,,,826.5,Darren Elisaga
B,M,Open Men,309,Single-ply,760.5,,,,760.5,Ray Voigt
B,M,Open Men,309,Single-ply,655.7,,,,655.7,James Mersberg
B,M,Open Men,309,Single-ply,551,,,,551,Scott Bromeisl
B,M,Submaster Men 33-39,198,Single-ply,473.7,,,,473.7,Preston Quinn
B,M,Submaster Men 33-39,198,Single-ply,655.7,,,,655.7,Jerry Aquino
B,M,Submaster Men 33-39,242,Single-ply,490.5,,,,490.5,Matt Krueger
B,M,Submaster Men 33-39,309,Single-ply,826.5,,,,826.5,Darren Elisaga
B,M,Submaster Men 33-39,309,Single-ply,810,,,,810,Christopher Sutton
B,M,Teen Men 14-15,132,Single-ply,110,,,,110,Jaden Golston
B,M,Teen Men 14-15,165,Single-ply,,,,,,Gabriel Campos
B,M,Teen Men 14-15,198,Single-ply,259,,,,259,Tyler Fields
B,M,Teen Men 14-15,220,Single-ply,209.2,,,,209.2,Trevor Meder
B,M,Teen Men 16-17,123,Single-ply,243.6,,,,243.6,Justin Berner
B,M,Teen Men 16-17,123,Single-ply,121.2,,,,121.2,Julian Kong
B,M,Teen Men 16-17,165,Single-ply,154.2,,,,154.2,Jacob Chan
B,M,Teen Men 16-17,181,Single-ply,407.7,,,,407.7,Drayden-Steele Kawewehi
B,M,Teen Men 16-17,181,Single-ply,325,,,,325,Joshua Olivarez
B,M,Teen Men 16-17,181,Single-ply,154.2,,,,154.2,Pao-Heng Hsu
B,M,Teen Men 16-17,198,Single-ply,,,,,,Adam O Sullivan
B,M,Teen Men 16-17,220,Single-ply,165.2,,,,165.2,Mario Adolfo Valdes-Hernandez
B,M,Teen Men 18-19,148,Single-ply,192.7,,,,192.7,Jun Yang
B,M,Teen Men 18-19,165,Single-ply,,,,,,Alex Kovatch
B,M,Teen Men 18-19,165,Single-ply,165.2,,,,165.2,Pengye Yang
B,M,Teen Men 18-19,165,Single-ply,143.2,,,,143.2,Shu Hashimoto
B,M,Teen Men 18-19,220,Single-ply,275.5,,,,275.5,Zepeng Lu
B,M,Teen Men 18-19,242,Single-ply,391.2,,,,391.2,Yudai Katsumata
D,M,Class 1 Men,148,Single-ply,,,440.7,,440.7,Dave Constantineau
D,M,Class 1 Men,165,Single-ply,,,468.2,,468.2,Noah Andersen
D,M,Class 1 Men,198,Single-ply,,,617.2,,617.2,Marks Labostrie
D,M,Class 1 Men,220,Single-ply,,,490.5,,490.5,Robert Saludares
D,M,Class 1 Men,220,Single-ply,,,617.2,,617.2,Brian Fahrenfeld
D,M,Class 1 Men,242,Single-ply,,,556.5,,556.5,Fateh Sihota
D,M,Class 1 Men,259,Single-ply,,,512.5,,512.5,Isaac Conde
D,M,Class 1 Men,259,Single-ply,,,628.2,,628.2,Dennis Rolon
D,M,Class 1 Men,275,Single-ply,,,523.5,,523.5,River Newman
D,M,Class 1 Men,275,Single-ply,,,633.7,,633.7,David Palmer
D,M,Class 1 Men,308,Single-ply,,,584,,584,Fred Riccardi
D,M,Disabled 1 Men 40-59,220,Single-ply,,,486.1,,486.1,Steve Pena
D,M,Disabled 2 Men 20-39,275,Single-ply,,,501.5,,501.5,Brady Tanner
D,M,Disabled 2 Men 40-59,165,Single-ply,,,424.2,,424.2,Chad Mc Farland
D,M,Disabled 2 Men 40-59,181,Single-ply,,,440.7,447.3,440.7,Vilmar Oliveira
D,M,Disabled 2 Men 40-59,220,Single-ply,,,501.5,,501.5,Reid Solar
D,M,Disabled 2 Men 60,220,Single-ply,,,479.5,,479.5,Bob Hafner
D,M,Disabled 2 Men 60,308,Single-ply,,,281,325,281,Alan Fraser
D,M,Junior Men 20-25,148,Single-ply,,,600.7,,600.7,Agustin Soto
D,M,Junior Men 20-25,165,Single-ply,,,341.5,,341.5,Jimi Kuutti
D,M,Junior Men 20-25,181,Single-ply,,,501.5,,501.5,Joseph La Mattina
D,M,Junior Men 20-25,181,Single-ply,,,661.2,,661.2,Luis Alaniz
D,M,Junior Men 20-25,198,Single-ply,,,529,,529,Ed Young
D,M,Junior Men 20-25,198,Single-ply,,,551,,551,Jarkko Forss
D,M,Junior Men 20-25,242,Single-ply,,,529,,529,Renan Moreno
D,M,Law-Fire 40-47 Men,220,Single-ply,,,490.5,,490.5,Robert Saludares
D,M,Law-Fire 40-47 Men,242,Single-ply,,,556.5,,556.5,Freddy Crosby
D,M,Law-Fire 40-47 Men,308,Single-ply,,,551,,551,Tommy Harrison
D,M,Law-Fire 40-47 Men,308,Single-ply,,,684.3,,684.3,Keoni Reich
D,M,Law-Fire 48-55 Men,165,Single-ply,,,435.2,,435.2,Larry Esquivel
D,M,Law-Fire 48-55 Men,198,Single-ply,,,452.8,,452.8,Frank Lowe
D,M,Law-Fire 48-55 Men,259,Single-ply,,,573,,573,J. C. Tolle
D,M,Law-Fire 48-55 Men,275,Single-ply,,,457.2,,457.2,Darren Kaleleiki
D,M,Law-Fire 56-63 Men,220,Single-ply,,,,,,Mike Frizzell
D,M,Law-Fire 56-63 Men,242,Single-ply,,,534.5,,534.5,Robert Hanson
D,M,Law-Fire Open Men,198,Single-ply,,,562,,562,Ryan Marble
D,M,Law-Fire Open Men,242,Single-ply,,,534.5,,534.5,Robert Hanson
D,M,Law-Fire Open Men,242,Single-ply,,,556.5,,556.5,Freddy Crosby
D,M,Law-Fire Open Men,308,Single-ply,,,551,,551,Tommy Harrison
D,M,Law-Fire Open Men,308,Single-ply,,,650.2,,650.2,Keoni Reich
D,M,Master Men 40-46,165,Single-ply,,,424.2,,424.2,Chad Mc Farland
D,M,Master Men 40-46,220,Single-ply,,,529,,529,Jesse Avila
D,M,Master Men 40-46,220,Single-ply,,,486.1,,486.1,Steve Pena
D,M,Master Men 40-46,242,Single-ply,,,556.5,,556.5,Fateh Sihota
D,M,Master Men 40-46,259,Single-ply,,,600.7,,600.7,Allen Heisler
D,M,Master Men 40-46,259,Single-ply,,,727.5,,727.5,Kari Pontinen
D,M,Master Men 40-46,275,Single-ply,,,600.7,,600.7,David Lewis
D,M,Master Men 40-46,308,Single-ply,,,672.2,,672.2,Dave Forstner
D,M,Master Men 40-46,309,Single-ply,,,716.2,,716.2,Ricardo Nort
D,M,Master Men 47-53,148,Single-ply,,,501.5,,501.5,Chris Balanga
D,M,Master Men 47-53,198,Single-ply,,,600.7,,600.7,Eddie DiFruscia
D,M,Master Men 47-53,220,Single-ply,,,485,,485,Junior Aparecido
D,M,Master Men 47-53,220,Single-ply,,,556.5,,556.5,John Westleigh
D,M,Master Men 47-53,220,Single-ply,,,661.2,,661.2,Tim Sparkes
D,M,Master Men 47-53,220,Single-ply,,,,,,Gary Gulseth
D,M,Master Men 47-53,242,Single-ply,,,507,,507,Juha Pukkila
D,M,Master Men 47-53,242,Single-ply,,,551,,551,Steven Petersen
D,M,Master Men 47-53,242,Single-ply,,,573,,573,Brant Bishop
D,M,Master Men 47-53,242,Single-ply,,,,,,Michael Neely
D,M,Master Men 47-53,275,Single-ply,,,633.7,,633.7,David Palmer
D,M,Master Men 47-53,275,Single-ply,,,709.6,,709.6,Terry Putman
D,M,Master Men 47-53,275,Single-ply,,,771.5,,771.5,Patrick Holloway
D,M,Master Men 47-53,309,Single-ply,,,584,,584,Scott Bromeisl
D,M,Master Men 47-53,309,Single-ply,,,617.2,,617.2,Thomas Guiney
D,M,Master Men 54-60,132,Single-ply,,,270,,270,Chetram Mangra
D,M,Master Men 54-60,148,Single-ply,,,440.7,,440.7,Dave Constantineau
D,M,Master Men 54-60,165,Single-ply,,,429.7,,429.7,Nino Domingo
D,M,Master Men 54-60,181,Single-ply,,,584,,584,Leamon Woodley
D,M,Master Men 54-60,181,Single-ply,,,435.2,,435.2,Pat Young
D,M,Master Men 54-60,198,Single-ply,,,707.4,,707.4,Tom Eiseman
D,M,Master Men 54-60,220,Single-ply,,,,,,Mike Frizzell
D,M,Master Men 54-60,220,Single-ply,,,501.5,,501.5,Reid Solar
D,M,Master Men 54-60,275,Single-ply,,,662.3,,662.3,Tom Pennella
D,M,Master Men 54-60,309,Single-ply,,,501.5,,501.5,James Mersberg
D,M,Master Men 61-67,165,Single-ply,,,457.2,,457.2,John Clay
D,M,Master Men 61-67,165,Single-ply,,,451.7,,451.7,Richard Cirigliano
D,M,Master Men 61-67,181,Single-ply,,,424.2,,424.2,Stuart Coogan
D,M,Master Men 61-67,220,Single-ply,,,479.5,,479.5,Bob Hafner
D,M,Master Men 61-67,242,Single-ply,,,611.7,,611.7,Eddie Morgan
D,M,Master Men 61-67,242,Single-ply,,,606.2,,606.2,Ron LHuillier
D,M,Master Men 61-67,259,Single-ply,,,545.5,,545.5,Willard Crossen Jr.
D,M,Master Men 68-74,165,Single-ply,,,385.7,,385.7,James Christian
D,M,Master Men 68-74,198,Single-ply,,,352.5,,352.5,Frank Hammer
D,M,Master Men 68-74,242,Single-ply,,,435.2,,435.2,Al Williamson
D,M,Master Men 75-79,198,Single-ply,,,402.2,,402.2,John Herbein
D,M,Master Men 80-84,181,Single-ply,,,363.7,,363.7,Ron Ringewold
D,M,Master Men 85-89,198,Single-ply,,,364.8,,364.8,William Leedy
D,M,Master Men 90,165,Single-ply,,,141,,141,Donald Dreyer
D,M,Open Men,114,Single-ply,,,374.7,,374.7,Landon Sakai
D,M,Open Men,165,Single-ply,,,457.2,,457.2,John Clay
D,M,Open Men,165,Single-ply,,,341.5,,341.5,Jimi Kuutti
D,M,Open Men,181,Single-ply,,,584,,584,Leamon Woodley
D,M,Open Men,181,Single-ply,,,479.5,,479.5,Daniel Sisneros
D,M,Open Men,198,Single-ply,,,707.4,,707.4,Tom Eiseman
D,M,Open Men,198,Single-ply,,,600.7,,600.7,Eddie DiFruscia
D,M,Open Men,198,Single-ply,,,562,,562,Ryan Marble
D,M,Open Men,198,Single-ply,,,551,,551,Jarkko Forss
D,M,Open Men,198,Single-ply,,,507,,507,Preston Quinn
D,M,Open Men,220,Single-ply,,,661.2,,661.2,Tim Sparkes
D,M,Open Men,220,Single-ply,,,600.7,,600.7,Tyler Carlson
D,M,Open Men,220,Single-ply,,,485,,485,Junior Aparecido
D,M,Open Men,242,Single-ply,,,688.7,,688.7,J. C. Wright
D,M,Open Men,242,Single-ply,,,529,,529,Renan Moreno
D,M,Open Men,242,Single-ply,,,507,,507,Juha Pukkila
D,M,Open Men,259,Single-ply,,,727.5,,727.5,Kari Pontinen
D,M,Open Men,275,Single-ply,,,709.6,,709.6,Terry Putman
D,M,Open Men,275,Single-ply,,,523.5,,523.5,River Newman
D,M,Open Men,308,Single-ply,,,672.2,,672.2,Dave Forstner
D,M,Open Men,308,Single-ply,,,694.2,,694.2,Kamuela Wassman
D,M,Open Men,309,Single-ply,,,562,,562,Ray Voigt
D,M,Open Men,309,Single-ply,,,716.2,,716.2,Ricardo Nort
D,M,Submaster Men 33-39,165,Single-ply,,,573,,573,Ryan Snelling
D,M,Submaster Men 33-39,198,Single-ply,,,507,,507,Preston Quinn
D,M,Submaster Men 33-39,220,Single-ply,,,545.5,,545.5,Dennis Schmidt
D,M,Submaster Men 33-39,242,Single-ply,,,701.9,,701.9,Matt Krueger
D,M,Teen Men 14-15,132,Single-ply,,,231.2,,231.2,Jaden Golston
D,M,Teen Men 14-15,220,Single-ply,,,303,,303,Trevor Meder
D,M,Teen Men 16-17,123,Single-ply,,,363.7,,363.7,Justin Berner
D,M,Teen Men 16-17,123,Single-ply,,,264.5,,264.5,Julian Kong
D,M,Teen Men 16-17,165,Single-ply,,,336,,336,Jacob Chan
D,M,Teen Men 16-17,181,Single-ply,,,523.5,,523.5,Joshua Olivarez
D,M,Teen Men 16-17,181,Single-ply,,,470.4,,470.4,Drayden-Steele Kawewehi
D,M,Teen Men 16-17,181,Single-ply,,,374.7,,374.7,Pao-Heng Hsu
D,M,Teen Men 16-17,220,Single-ply,,,385.7,,385.7,Mario Adolfo Valdes-Hernandez
D,M,Teen Men 18-19,148,Single-ply,,,402.2,,402.2,Jun Yang
D,M,Teen Men 18-19,165,Single-ply,,,518,,518,Alex Kovatch
D,M,Teen Men 18-19,165,Single-ply,,,341.5,,341.5,Pengye Yang
D,M,Teen Men 18-19,165,Single-ply,,,275.5,,275.5,Shu Hashimoto
D,M,Teen Men 18-19,242,Single-ply,,,567.5,,567.5,Yudai Katsumata
D,M,Teen Men 18-19,242,Single-ply,,,562,,562,Marcos Garza
BD,M,Class 1 Men,148,Single-ply,264.5,,440.7,,705.2,Dave Constantineau
BD,M,Class 1 Men,259,Single-ply,446.2,,628.2,,1074.4,Dennis Rolon
BD,M,Class 1 Men,275,Single-ply,512.5,,523.5,,1036,River Newman
BD,M,Class 1 Men,275,Single-ply,540,,633.7,,1173.7,David Palmer
BD,M,Disabled 1 Men 40-59,220,Single-ply,473.7,,486.1,,959.8,Steve Pena
BD,M,Disabled 2 Men 20-39,275,Single-ply,413.2,,501.5,,914.7,Brady Tanner
BD,M,Junior Men 20-25,148,Single-ply,325,,600.7,,925.7,Agustin Soto
BD,M,Junior Men 20-25,181,Single-ply,435.2,,501.5,,936.7,Joseph La Mattina
BD,M,Junior Men 20-25,181,Single-ply,479.5,,661.2,,1140.7,Luis Alaniz
BD,M,Junior Men 20-25,198,Single-ply,402.2,,529,,931.2,Ed Young
BD,M,Junior Men 20-25,198,Single-ply,518,,551,,1069,Jarkko Forss
BD,M,Law-Fire 40-47 Men,220,Single-ply,402.2,,490.5,,892.7,Robert Saludares
BD,M,Law-Fire 40-47 Men,242,Single-ply,617.2,,556.5,,1173.7,Freddy Crosby
BD,M,Law-Fire 40-47 Men,308,Single-ply,562,,684.3,,1246.3,Keoni Reich
BD,M,Law-Fire 48-55 Men,259,Single-ply,,,573,,,J. C. Tolle
BD,M,Law-Fire 48-55 Men,275,Single-ply,501.5,,457.2,,958.7,Darren Kaleleiki
BD,M,Law-Fire 56-63 Men,220,Single-ply,502.6,,,,,Mike Frizzell
BD,M,Law-Fire Open Men,198,Single-ply,677.7,,562,,1239.7,Ryan Marble
BD,M,Law-Fire Open Men,242,Single-ply,617.2,,556.5,,1173.7,Freddy Crosby
BD,M,Law-Fire Open Men,308,Single-ply,562,,684.3,,1212.2,Keoni Reich
BD,M,Master Men 40-46,220,Single-ply,473.7,,486.1,,959.8,Steve Pena
BD,M,Master Men 40-46,220,Single-ply,490.5,,529,,1019.5,Jesse Avila
BD,M,Master Men 40-46,259,Single-ply,457.2,,600.7,,1057.9,Allen Heisler
BD,M,Master Men 40-46,308,Single-ply,749.5,,672.2,,1421.7,Dave Forstner
BD,M,Master Men 47-53,148,Single-ply,363.7,,501.5,,865.2,Chris Balanga
BD,M,Master Men 47-53,220,Single-ply,468.2,,,,,Gary Gulseth
BD,M,Master Men 47-53,220,Single-ply,512.5,,556.5,,1069,John Westleigh
BD,M,Master Men 47-53,242,Single-ply,,,,,,Michael Neely
BD,M,Master Men 47-53,242,Single-ply,473.7,,507,,980.7,Juha Pukkila
BD,M,Master Men 47-53,242,Single-ply,451.7,,551,,1002.7,Steven Petersen
BD,M,Master Men 47-53,242,Single-ply,501.5,,573,,1074.5,Brant Bishop
BD,M,Master Men 47-53,275,Single-ply,540,,633.7,,1173.7,David Palmer
BD,M,Master Men 47-53,Super,Single-ply,551,,584,,1135,Scott Bromeisl
BD,M,Master Men 54-60,148,Single-ply,264.5,,440.7,,705.2,Dave Constantineau
BD,M,Master Men 54-60,181,Single-ply,325,,584,,909,Leamon Woodley
BD,M,Master Men 54-60,220,Single-ply,502.6,,,,,Mike Frizzell
BD,M,Master Men 54-60,Super,Single-ply,655.7,,501.5,,1157.2,James Mersberg
BD,M,Master Men 61-67,242,Single-ply,297.5,,611.7,,909.2,Eddie Morgan
BD,M,Master Men 61-67,259,Single-ply,,,545.5,,,Willard Crossen Jr.
BD,M,Master Men 68-74,198,Single-ply,171.8,,352.5,,524.3,Frank Hammer
BD,M,Master Men 75-79,198,Single-ply,176.2,,402.2,,578.2,John Herbein
BD,M,Master Men 90,165,Single-ply,121.2,,141,,262.2,Donald Dreyer
BD,M,Open Men,114,Single-ply,259,,374.7,,633.7,Landon Sakai
BD,M,Open Men,181,Single-ply,325,,584,,909,Leamon Woodley
BD,M,Open Men,198,Single-ply,473.7,,507,,980.7,Preston Quinn
BD,M,Open Men,198,Single-ply,518,,551,,1069,Jarkko Forss
BD,M,Open Men,220,Single-ply,,,600.7,,,Tyler Carlson
BD,M,Open Men,242,Single-ply,473.7,,507,,980.7,Juha Pukkila
BD,M,Open Men,242,Single-ply,325,,688.7,,1013.7,J. C. Wright
BD,M,Open Men,308,Single-ply,540,,694.2,,1234.2,Kamuela Wassman
BD,M,Open Men,308,Single-ply,749.5,,672.2,,1421.7,Dave Forstner
BD,M,Open Men,Super,Single-ply,760.5,,562,,1322.5,Ray Voigt
BD,M,Submaster Men 33-39,198,Single-ply,473.7,,507,,980.7,Preston Quinn
BD,M,Submaster Men 33-39,242,Single-ply,490.5,,701.9,,1192.4,Matt Krueger
BD,M,Teen Men 14-15,132,Single-ply,110,,231.2,,341.2,Jaden Golston
BD,M,Teen Men 14-15,220,Single-ply,209.2,,303,,512.2,Trevor Meder
