Place,Event,Name,BodyweightKg,WeightClassKg,Sex,Division,Equipment,Age,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg
1,D,Petra Tunturi,66.1,67.5,F,Open,Raw,40,,,,,,130,140,155,,155,155
1,D,Maiju Hilander,73.8,75,F,Masters 60-64,Raw,61,,,,,,157.5,-165,,,157.5,157.5
1,D,Berith Jokinen,82,82.5,F,Masters 65-69,Raw,65,,,,,,100,120,140.5,,140.5,140.5
1,D,Minna Paler,54,56,F,Masters 50-54,Raw,51,,,,,,95,105,-107.5,107.5,105,105
1,D,Olga Mikhailova,59.4,60,F,Masters 45-49,Raw,47,,,,,,145,152.5,-160,,152.5,152.5
1,D,Petra Tunturi,66.1,67.5,F,Masters 40-44,Raw,40,,,,,,130,140,155,,155,155
1,D,Lauriina Malinen,71.5,75,F,Masters 45-49,Raw,46,,,,,,135,155,165,,165,165
1,D,Sari Makkonen,77.6,82.5,F,Masters 45-49,Raw,46,,,,,,120,130,140,,140,140
1,D,Sanna Marika Halenius,83.4,90,F,Masters 40-44,Raw,40,,,,,,170,180,-185,,180,180
1,D,Pivi Kaarto,95.5,90+,F,Masters 40-44,Raw,42,,,,,,190,212.5,-222.5,,212.5,212.5
1,D,Eveliina Anttila,55.9,56,F,Juniors 20-23,Raw,20,,,,,,92.5,100,-105,,100,100
1,D,Maria Tuomi,53.9,56,F,Teen 17-19,Raw,19,,,,,,97.5,107.5,-115,,107.5,107.5
1,D,Elisa Koikkalainen,57.4,60,F,Teen 17-19,Raw,19,,,,,,140,150,-155,,150,150
1,D,Ada Ritamki,69.3,75,F,Teen 13-15,Raw,15,,,,,,85,90,95,100,95,95
1,B,Sannikka Hosio,55.7,56,F,Open,Raw,34,55,-60,-60,,55,,,,,,55
1,B,Johanna Bies,64.4,67.5,F,Open,Raw,47,112.5,117.5,121,123,121,,,,,,121
2,B,Johanna Rasmussen,66.6,67.5,F,Open,Raw,33,95,100,-102.5,,100,,,,,,100
3,B,Tuulikki Kare,67,67.5,F,Open,Raw,51,87.5,95,97.5,,97.5,,,,,,97.5
4,B,Erica Halminen,64.6,67.5,F,Open,Raw,28,85,-90,90,,90,,,,,,90
5,B,Marianne Hartio,66.9,67.5,F,Open,Raw,26,90,-100,-100,,90,,,,,,90
6,B,Angelica Anastasioy,62.2,67.5,F,Open,Raw,28,60,65,-67.5,,65,,,,,,65
1,B,Iryna Piatrovich,71,75,F,Open,Raw,35,105,117.5,120,,120,,,,,,120
2,B,Krista Pellikka,73.9,75,F,Open,Raw,32,107.5,115,120,,120,,,,,,120
3,B,Amina Boulahna,72.5,75,F,Open,Raw,28,90,95,-100,,95,,,,,,95
4,B,Anni Vuorio,69.6,75,F,Open,Raw,25,85,-92.5,-92.5,,85,,,,,,85
5,B,Julia Sieppi,72.5,75,F,Open,Raw,24,55,62.5,70,,70,,,,,,70
6,B,Mari Penttil,71.8,75,F,Open,Raw,31,57.5,-65,-65,,57.5,,,,,,57.5
7,B,Anna Vuorio,74.8,75,F,Open,Raw,24,47.5,-52.5,-52.5,,47.5,,,,,,47.5
1,B,Anna Khudayarov,78.8,82.5,F,Open,Raw,31,135,-145,-145,,135,,,,,,135
1,B,Sanna Marika Halenius,83.4,90,F,Open,Raw,40,80,-85,85,,85,,,,,,85
1,B,Pivi Kaarto,95.5,90+,F,Open,Raw,42,112.5,117.5,122.5,-127.5,122.5,,,,,,122.5
1,B,Tuulikki Kare,67,67.5,F,Masters 50-54,Raw,51,87.5,95,97.5,,97.5,,,,,,97.5
1,B,Maiju Hilander,73.8,75,F,Masters 60-64,Raw,61,65,-70,-70,,65,,,,,,65
1,B,Johanna Bies,64.4,67.5,F,Masters 45-49,Raw,47,112.5,117.5,121,123,121,,,,,,121
1,B,Elina Kulmala,85,90,F,Masters 40-44,Raw,43,100,110,120,,120,,,,,,120
2,B,Sanna Marika Halenius,83.4,90,F,Masters 40-44,Raw,40,80,-85,85,,85,,,,,,85
1,B,Pivi Kaarto,95.5,90+,F,Masters 40-44,Raw,42,112.5,117.5,122.5,-127.5,122.5,,,,,,122.5
1,B,Eveliina Anttila,57.4,60,F,Juniors 20-23,Raw,20,45,50,52.5,,52.5,,,,,,52.5
